step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,99.971173,0.001,0.070240,adafactor,42,1138.7280
20,49.640404,0.001,0.018120,adafactor,42,1138.7280
30,44.566314,0.001,0.019464,adafactor,42,1138.7280
40,40.564419,0.001,0.019358,adafactor,42,1138.7280
50,37.205957,0.001,0.019437,adafactor,42,1138.7280
60,34.614745,0.001,0.019384,adafactor,42,1138.7280
70,32.301224,0.001,0.019951,adafactor,42,1138.7280
80,30.201314,0.001,0.019645,adafactor,42,1138.7280
90,28.283004,0.001,0.019725,adafactor,42,1138.7280
100,26.488671,0.001,0.019852,adafactor,42,1138.7280
110,24.943573,0.001,0.019831,adafactor,42,1138.7280
120,23.461531,0.001,0.019636,adafactor,42,1138.7280
130,22.175895,0.001,0.019725,adafactor,42,1138.7280
140,21.076866,0.001,0.019824,adafactor,42,1138.7280
150,19.856485,0.001,0.019775,adafactor,42,1138.7280
160,19.100206,0.001,0.019685,adafactor,42,1138.7280
170,18.169195,0.001,0.019717,adafactor,42,1138.7280
180,17.437146,0.001,0.019810,adafactor,42,1138.7280
190,16.691885,0.001,0.019774,adafactor,42,1138.7280
200,15.955438,0.001,0.019670,adafactor,42,1138.7280
210,15.458648,0.001,0.019605,adafactor,42,1138.7280
220,14.881010,0.001,0.019655,adafactor,42,1138.7280
230,14.292672,0.001,0.020027,adafactor,42,1138.7280
240,13.779444,0.001,0.019558,adafactor,42,1138.7280
250,13.297387,0.001,0.019728,adafactor,42,1138.7280
260,12.878192,0.001,0.019659,adafactor,42,1138.7280
270,12.397715,0.001,0.019714,adafactor,42,1138.7280
280,12.003186,0.001,0.019657,adafactor,42,1138.7280
290,11.591934,0.001,0.019769,adafactor,42,1138.7280
300,11.201230,0.001,0.019772,adafactor,42,1138.7280
310,10.943542,0.001,0.019705,adafactor,42,1138.7280
320,10.764630,0.001,0.019659,adafactor,42,1138.7280
330,10.664128,0.001,0.019631,adafactor,42,1138.7280
340,10.596715,0.001,0.019673,adafactor,42,1138.7280
350,10.549503,0.001,0.019793,adafactor,42,1138.7280
360,10.525736,0.001,0.019645,adafactor,42,1138.7280
370,10.508770,0.001,0.019783,adafactor,42,1138.7280
380,10.494558,0.001,0.019642,adafactor,42,1138.7280
390,10.489707,0.001,0.019651,adafactor,42,1138.7280
