step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,74.346128,0.001,0.088199,rmsprop,42,1175.9473
20,46.447289,0.001,0.007333,rmsprop,42,1175.9473
30,39.675049,0.001,0.007340,rmsprop,42,1175.9473
40,36.751677,0.001,0.007371,rmsprop,42,1175.9473
50,34.507949,0.001,0.007405,rmsprop,42,1175.9473
60,33.007814,0.001,0.007685,rmsprop,42,1175.9473
70,31.519732,0.001,0.007370,rmsprop,42,1175.9473
80,30.459953,0.001,0.007415,rmsprop,42,1175.9473
90,29.453788,0.001,0.007331,rmsprop,42,1175.9473
100,28.418909,0.001,0.007382,rmsprop,42,1175.9473
110,27.691373,0.001,0.007302,rmsprop,42,1175.9473
120,26.878476,0.001,0.007481,rmsprop,42,1175.9473
130,26.290937,0.001,0.007253,rmsprop,42,1175.9473
140,25.641373,0.001,0.007572,rmsprop,42,1175.9473
150,25.095808,0.001,0.007438,rmsprop,42,1175.9473
160,24.586746,0.001,0.007392,rmsprop,42,1175.9473
170,23.758521,0.001,0.007320,rmsprop,42,1175.9473
180,23.325315,0.001,0.007324,rmsprop,42,1175.9473
190,22.809779,0.001,0.007216,rmsprop,42,1175.9473
200,22.286588,0.001,0.007475,rmsprop,42,1175.9473
210,21.997867,0.001,0.008117,rmsprop,42,1175.9473
220,21.484154,0.001,0.007937,rmsprop,42,1175.9473
230,21.124964,0.001,0.007158,rmsprop,42,1175.9473
240,20.618144,0.001,0.007073,rmsprop,42,1175.9473
250,20.252374,0.001,0.007062,rmsprop,42,1175.9473
260,19.789764,0.001,0.007182,rmsprop,42,1175.9473
270,19.471267,0.001,0.007162,rmsprop,42,1175.9473
280,19.006649,0.001,0.007085,rmsprop,42,1175.9473
290,18.665557,0.001,0.007080,rmsprop,42,1175.9473
300,18.255923,0.001,0.007397,rmsprop,42,1175.9473
310,17.829056,0.001,0.007204,rmsprop,42,1175.9473
320,17.466539,0.001,0.007163,rmsprop,42,1175.9473
330,17.069535,0.001,0.007199,rmsprop,42,1175.9473
340,16.727547,0.001,0.007254,rmsprop,42,1175.9473
350,16.410203,0.001,0.007096,rmsprop,42,1175.9473
360,16.034419,0.001,0.006982,rmsprop,42,1175.9473
370,15.669532,0.001,0.007112,rmsprop,42,1175.9473
380,15.334053,0.001,0.007215,rmsprop,42,1175.9473
390,15.057358,0.001,0.007151,rmsprop,42,1175.9473
400,14.695098,0.001,0.007665,rmsprop,42,1175.9473
410,14.336358,0.001,0.007198,rmsprop,42,1175.9473
420,14.056234,0.001,0.007025,rmsprop,42,1175.9473
430,13.759412,0.001,0.007206,rmsprop,42,1175.9473
440,13.467262,0.001,0.007215,rmsprop,42,1175.9473
450,13.234755,0.001,0.007063,rmsprop,42,1175.9473
460,12.880945,0.001,0.007024,rmsprop,42,1175.9473
470,12.630608,0.001,0.007177,rmsprop,42,1175.9473
480,12.367603,0.001,0.007196,rmsprop,42,1175.9473
490,12.087569,0.001,0.007081,rmsprop,42,1175.9473
500,11.847211,0.001,0.007210,rmsprop,42,1175.9473
510,11.611157,0.001,0.007250,rmsprop,42,1175.9473
520,11.414805,0.001,0.007151,rmsprop,42,1175.9473
530,11.224246,0.001,0.007164,rmsprop,42,1175.9473
540,11.092423,0.001,0.007137,rmsprop,42,1175.9473
550,10.952756,0.001,0.007186,rmsprop,42,1175.9473
560,10.856731,0.001,0.007171,rmsprop,42,1175.9473
570,10.770190,0.001,0.007091,rmsprop,42,1175.9473
580,10.699073,0.001,0.007135,rmsprop,42,1175.9473
590,10.662759,0.001,0.007589,rmsprop,42,1175.9473
600,10.611502,0.001,0.007043,rmsprop,42,1175.9473
610,10.579366,0.001,0.007135,rmsprop,42,1175.9473
620,10.557055,0.001,0.007230,rmsprop,42,1175.9473
630,10.535768,0.001,0.007195,rmsprop,42,1175.9473
640,10.521361,0.001,0.007762,rmsprop,42,1175.9473
650,10.500653,0.001,0.007001,rmsprop,42,1175.9473
660,10.487334,0.001,0.007294,rmsprop,42,1175.9473
670,10.484092,0.001,0.007254,rmsprop,42,1175.9473
680,10.482148,0.001,0.007170,rmsprop,42,1175.9473
690,10.471087,0.001,0.007354,rmsprop,42,1175.9473
700,10.459920,0.001,0.007078,rmsprop,42,1175.9473
710,10.461311,0.001,0.007069,rmsprop,42,1175.9473
720,10.453019,0.001,0.007159,rmsprop,42,1175.9473
730,10.450873,0.001,0.007130,rmsprop,42,1175.9473
740,10.450252,0.001,0.007194,rmsprop,42,1175.9473
750,10.449028,0.001,0.007122,rmsprop,42,1175.9473
760,10.444027,0.001,0.007208,rmsprop,42,1175.9473
770,10.443711,0.001,0.007215,rmsprop,42,1175.9473
780,10.434933,0.001,0.007068,rmsprop,42,1175.9473
790,10.441330,0.001,0.007072,rmsprop,42,1175.9473
800,10.436666,0.001,0.007134,rmsprop,42,1175.9473
810,10.434861,0.001,0.007155,rmsprop,42,1175.9473
820,10.431823,0.001,0.007180,rmsprop,42,1175.9473
830,10.432079,0.001,0.007209,rmsprop,42,1175.9473
840,10.435713,0.001,0.006995,rmsprop,42,1175.9473
850,10.429592,0.001,0.007098,rmsprop,42,1175.9473
860,10.426644,0.001,0.007166,rmsprop,42,1175.9473
870,10.426542,0.001,0.007118,rmsprop,42,1175.9473
880,10.426922,0.001,0.007158,rmsprop,42,1175.9473
890,10.422769,0.001,0.007063,rmsprop,42,1175.9473
900,10.423959,0.001,0.007240,rmsprop,42,1175.9473
910,10.422397,0.001,0.007113,rmsprop,42,1175.9473
920,10.417021,0.001,0.007011,rmsprop,42,1175.9473
930,10.423242,0.001,0.007022,rmsprop,42,1175.9473
940,10.415130,0.001,0.007019,rmsprop,42,1175.9473
950,10.418402,0.001,0.007002,rmsprop,42,1175.9473
960,10.417491,0.001,0.007238,rmsprop,42,1175.9473
970,10.414624,0.001,0.007209,rmsprop,42,1175.9473
980,10.413248,0.001,0.007177,rmsprop,42,1175.9473
990,10.411620,0.001,0.007143,rmsprop,42,1175.9473
1000,10.410859,0.001,0.007080,rmsprop,42,1175.9473
