step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,101.934262,0.001,0.082389,rmsprop_no_memory,42,1175.9473
20,52.446767,0.001,0.007159,rmsprop_no_memory,42,1175.9473
30,47.845078,0.001,0.007089,rmsprop_no_memory,42,1175.9473
40,45.154236,0.001,0.007090,rmsprop_no_memory,42,1175.9473
50,43.167103,0.001,0.007087,rmsprop_no_memory,42,1175.9473
60,41.121062,0.001,0.007125,rmsprop_no_memory,42,1175.9473
70,39.600996,0.001,0.007088,rmsprop_no_memory,42,1175.9473
80,38.076528,0.001,0.007178,rmsprop_no_memory,42,1175.9473
90,36.476474,0.001,0.007059,rmsprop_no_memory,42,1175.9473
100,35.341404,0.001,0.007062,rmsprop_no_memory,42,1175.9473
110,34.166028,0.001,0.007092,rmsprop_no_memory,42,1175.9473
120,33.114576,0.001,0.007137,rmsprop_no_memory,42,1175.9473
130,32.061382,0.001,0.007159,rmsprop_no_memory,42,1175.9473
140,31.241997,0.001,0.007080,rmsprop_no_memory,42,1175.9473
150,30.244986,0.001,0.007511,rmsprop_no_memory,42,1175.9473
160,29.461765,0.001,0.007096,rmsprop_no_memory,42,1175.9473
170,28.515878,0.001,0.006998,rmsprop_no_memory,42,1175.9473
180,27.768162,0.001,0.007140,rmsprop_no_memory,42,1175.9473
190,26.987195,0.001,0.007091,rmsprop_no_memory,42,1175.9473
200,26.239243,0.001,0.007098,rmsprop_no_memory,42,1175.9473
210,25.544829,0.001,0.007081,rmsprop_no_memory,42,1175.9473
220,24.915339,0.001,0.007002,rmsprop_no_memory,42,1175.9473
230,24.190941,0.001,0.007197,rmsprop_no_memory,42,1175.9473
240,23.554321,0.001,0.007147,rmsprop_no_memory,42,1175.9473
250,22.978133,0.001,0.007122,rmsprop_no_memory,42,1175.9473
260,22.384115,0.001,0.007091,rmsprop_no_memory,42,1175.9473
270,21.752593,0.001,0.007120,rmsprop_no_memory,42,1175.9473
280,21.288288,0.001,0.007104,rmsprop_no_memory,42,1175.9473
290,20.631424,0.001,0.007099,rmsprop_no_memory,42,1175.9473
300,20.151699,0.001,0.007104,rmsprop_no_memory,42,1175.9473
310,19.633287,0.001,0.007576,rmsprop_no_memory,42,1175.9473
320,19.106901,0.001,0.007122,rmsprop_no_memory,42,1175.9473
330,18.682957,0.001,0.007047,rmsprop_no_memory,42,1175.9473
340,18.201089,0.001,0.007135,rmsprop_no_memory,42,1175.9473
350,17.735579,0.001,0.007075,rmsprop_no_memory,42,1175.9473
360,17.319847,0.001,0.007101,rmsprop_no_memory,42,1175.9473
