step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,63.404740,0.001,0.075288,rmsprop_pnorm,42,1175.9473
20,29.214102,0.001,0.010303,rmsprop_pnorm,42,1175.9473
30,24.210295,0.001,0.010400,rmsprop_pnorm,42,1175.9473
40,22.535759,0.001,0.010211,rmsprop_pnorm,42,1175.9473
50,21.325570,0.001,0.010249,rmsprop_pnorm,42,1175.9473
60,20.446857,0.001,0.010311,rmsprop_pnorm,42,1175.9473
70,21.545369,0.001,0.010129,rmsprop_pnorm,42,1175.9473
80,19.395819,0.001,0.010392,rmsprop_pnorm,42,1175.9473
90,18.373829,0.001,0.010317,rmsprop_pnorm,42,1175.9473
100,17.602432,0.001,0.010211,rmsprop_pnorm,42,1175.9473
110,16.946086,0.001,0.010146,rmsprop_pnorm,42,1175.9473
120,16.293041,0.001,0.010045,rmsprop_pnorm,42,1175.9473
130,15.500928,0.001,0.010137,rmsprop_pnorm,42,1175.9473
140,14.495837,0.001,0.010142,rmsprop_pnorm,42,1175.9473
150,13.515764,0.001,0.010222,rmsprop_pnorm,42,1175.9473
160,12.603959,0.001,0.010084,rmsprop_pnorm,42,1175.9473
170,11.812289,0.001,0.010023,rmsprop_pnorm,42,1175.9473
180,11.323578,0.001,0.010029,rmsprop_pnorm,42,1175.9473
190,11.027467,0.001,0.010237,rmsprop_pnorm,42,1175.9473
200,10.826313,0.001,0.010632,rmsprop_pnorm,42,1175.9473
210,10.708851,0.001,0.010093,rmsprop_pnorm,42,1175.9473
220,10.649709,0.001,0.009989,rmsprop_pnorm,42,1175.9473
230,10.589751,0.001,0.010100,rmsprop_pnorm,42,1175.9473
240,10.551107,0.001,0.010210,rmsprop_pnorm,42,1175.9473
250,10.531460,0.001,0.010231,rmsprop_pnorm,42,1175.9473
260,10.516268,0.001,0.010180,rmsprop_pnorm,42,1175.9473
270,10.500973,0.001,0.010165,rmsprop_pnorm,42,1175.9473
280,10.487249,0.001,0.010402,rmsprop_pnorm,42,1175.9473
290,10.484530,0.001,0.010165,rmsprop_pnorm,42,1175.9473
300,10.479478,0.001,0.010145,rmsprop_pnorm,42,1175.9473
310,10.475917,0.001,0.010553,rmsprop_pnorm,42,1175.9473
320,10.472823,0.001,0.010059,rmsprop_pnorm,42,1175.9473
330,10.471536,0.001,0.010102,rmsprop_pnorm,42,1175.9473
340,10.464482,0.001,0.010051,rmsprop_pnorm,42,1175.9473
350,10.460145,0.001,0.010051,rmsprop_pnorm,42,1175.9473
360,10.459578,0.001,0.009943,rmsprop_pnorm,42,1175.9473
370,10.455375,0.001,0.010272,rmsprop_pnorm,42,1175.9473
380,10.450828,0.001,0.010042,rmsprop_pnorm,42,1175.9473
390,10.450893,0.001,0.010025,rmsprop_pnorm,42,1175.9473
400,10.448432,0.001,0.010203,rmsprop_pnorm,42,1175.9473
410,10.438800,0.001,0.010164,rmsprop_pnorm,42,1175.9473
420,10.444211,0.001,0.009933,rmsprop_pnorm,42,1175.9473
