step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,173.915549,0.001,0.047642,sgd,42,1175.9473
20,159.788773,0.001,0.006314,sgd,42,1175.9473
30,114.353446,0.001,0.006755,sgd,42,1175.9473
40,52.091030,0.001,0.006856,sgd,42,1175.9473
50,41.184418,0.001,0.006767,sgd,42,1175.9473
60,36.488129,0.001,0.006776,sgd,42,1175.9473
70,32.447573,0.001,0.007269,sgd,42,1175.9473
80,28.916258,0.001,0.006767,sgd,42,1175.9473
90,25.567995,0.001,0.006804,sgd,42,1175.9473
100,22.339317,0.001,0.006771,sgd,42,1175.9473
110,19.498106,0.001,0.006731,sgd,42,1175.9473
120,16.838506,0.001,0.006883,sgd,42,1175.9473
130,14.554116,0.001,0.007107,sgd,42,1175.9473
140,12.808848,0.001,0.006774,sgd,42,1175.9473
150,11.696423,0.001,0.006763,sgd,42,1175.9473
160,11.163188,0.001,0.006722,sgd,42,1175.9473
170,10.911943,0.001,0.006885,sgd,42,1175.9473
180,10.833367,0.001,0.006780,sgd,42,1175.9473
190,10.774167,0.001,0.007099,sgd,42,1175.9473
200,10.758915,0.001,0.006748,sgd,42,1175.9473
210,10.725585,0.001,0.006878,sgd,42,1175.9473
220,10.705492,0.001,0.006745,sgd,42,1175.9473
230,10.696184,0.001,0.006713,sgd,42,1175.9473
240,10.684563,0.001,0.006842,sgd,42,1175.9473
250,10.670193,0.001,0.006773,sgd,42,1175.9473
260,10.662454,0.001,0.006762,sgd,42,1175.9473
270,10.651447,0.001,0.007360,sgd,42,1175.9473
280,10.636541,0.001,0.007321,sgd,42,1175.9473
290,10.637460,0.001,0.007108,sgd,42,1175.9473
300,10.631477,0.001,0.006716,sgd,42,1175.9473
310,10.615367,0.001,0.006823,sgd,42,1175.9473
320,10.604778,0.001,0.006782,sgd,42,1175.9473
330,10.616082,0.001,0.006753,sgd,42,1175.9473
340,10.615550,0.001,0.006723,sgd,42,1175.9473
350,10.602090,0.001,0.007118,sgd,42,1175.9473
360,10.600198,0.001,0.006759,sgd,42,1175.9473
370,10.593955,0.001,0.006718,sgd,42,1175.9473
380,10.589058,0.001,0.006864,sgd,42,1175.9473
390,10.592510,0.001,0.006714,sgd,42,1175.9473
400,10.581514,0.001,0.006743,sgd,42,1175.9473
410,10.581190,0.001,0.006738,sgd,42,1175.9473
420,10.579652,0.001,0.006891,sgd,42,1175.9473
430,10.570328,0.001,0.006753,sgd,42,1175.9473
440,10.572232,0.001,0.006736,sgd,42,1175.9473
450,10.567730,0.001,0.006819,sgd,42,1175.9473
460,10.566093,0.001,0.006720,sgd,42,1175.9473
470,10.564479,0.001,0.006728,sgd,42,1175.9473
480,10.571744,0.001,0.006805,sgd,42,1175.9473
490,10.559192,0.001,0.006775,sgd,42,1175.9473
500,10.556943,0.001,0.006723,sgd,42,1175.9473
510,10.557140,0.001,0.006831,sgd,42,1175.9473
