step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,71.383082,0.001,0.068589,adafactor,42,120.0947
20,21.837049,0.001,0.014240,adafactor,42,120.0947
30,15.097561,0.001,0.015788,adafactor,42,120.0947
40,13.046743,0.001,0.015928,adafactor,42,120.0947
50,10.347012,0.001,0.015558,adafactor,42,120.0947
60,8.620101,0.001,0.015735,adafactor,42,120.0947
70,8.113139,0.001,0.015526,adafactor,42,120.0947
80,7.676734,0.001,0.015591,adafactor,42,120.0947
90,7.065353,0.001,0.015158,adafactor,42,120.0947
100,6.486256,0.001,0.015778,adafactor,42,120.0947
110,6.111430,0.001,0.015798,adafactor,42,120.0947
120,6.273235,0.001,0.015642,adafactor,42,120.0947
130,5.811242,0.001,0.015670,adafactor,42,120.0947
140,5.413485,0.001,0.016130,adafactor,42,120.0947
150,5.348775,0.001,0.015706,adafactor,42,120.0947
160,5.290370,0.001,0.015576,adafactor,42,120.0947
170,4.922389,0.001,0.015788,adafactor,42,120.0947
180,5.095452,0.001,0.015735,adafactor,42,120.0947
190,4.595622,0.001,0.015934,adafactor,42,120.0947
200,4.645302,0.001,0.015876,adafactor,42,120.0947
210,4.481852,0.001,0.015696,adafactor,42,120.0947
220,4.220275,0.001,0.015746,adafactor,42,120.0947
230,4.154738,0.001,0.015651,adafactor,42,120.0947
240,4.343402,0.001,0.015442,adafactor,42,120.0947
250,4.007110,0.001,0.016000,adafactor,42,120.0947
260,4.212334,0.001,0.016082,adafactor,42,120.0947
270,4.135192,0.001,0.015568,adafactor,42,120.0947
280,4.056296,0.001,0.015406,adafactor,42,120.0947
290,3.958704,0.001,0.015618,adafactor,42,120.0947
300,3.736767,0.001,0.015343,adafactor,42,120.0947
