step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,77.392257,0.001,0.076922,adamw,42,132.8374
20,11.323945,0.001,0.007525,adamw,42,132.8374
30,6.343402,0.001,0.007509,adamw,42,132.8374
40,4.338551,0.001,0.007710,adamw,42,132.8374
50,3.500384,0.001,0.007716,adamw,42,132.8374
60,3.207332,0.001,0.007570,adamw,42,132.8374
70,2.984308,0.001,0.007356,adamw,42,132.8374
80,2.833327,0.001,0.007469,adamw,42,132.8374
90,2.739538,0.001,0.007677,adamw,42,132.8374
100,2.617695,0.001,0.007620,adamw,42,132.8374
110,2.576877,0.001,0.007496,adamw,42,132.8374
120,2.547905,0.001,0.007585,adamw,42,132.8374
130,2.532729,0.001,0.007695,adamw,42,132.8374
140,2.482461,0.001,0.007581,adamw,42,132.8374
150,2.444979,0.001,0.008041,adamw,42,132.8374
160,2.413845,0.001,0.007544,adamw,42,132.8374
170,2.431542,0.001,0.007472,adamw,42,132.8374
180,2.378333,0.001,0.007636,adamw,42,132.8374
190,2.377389,0.001,0.007566,adamw,42,132.8374
200,2.367261,0.001,0.007423,adamw,42,132.8374
210,2.360193,0.001,0.007731,adamw,42,132.8374
220,2.335206,0.001,0.007467,adamw,42,132.8374
230,2.372697,0.001,0.007470,adamw,42,132.8374
240,2.361291,0.001,0.007504,adamw,42,132.8374
250,2.344580,0.001,0.007543,adamw,42,132.8374
260,2.359776,0.001,0.007630,adamw,42,132.8374
270,2.346086,0.001,0.008595,adamw,42,132.8374
280,2.332786,0.001,0.007292,adamw,42,132.8374
290,2.328985,0.001,0.007418,adamw,42,132.8374
300,2.328431,0.001,0.007952,adamw,42,132.8374
