step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,76.798739,0.01,0.047326,adafactor,42,0.0000,3.22215904e+02,3.65380291e+01,1.29420133e+01,4.01656564e-02,-3.92491079e-01,nan
20,69.601171,0.01,0.049261,adafactor,42,0.0000,3.24922250e+02,3.58055811e+01,1.29422759e+01,3.98319163e-02,-5.85146924e-01,nan
30,46.208587,0.01,0.049498,adafactor,42,0.0000,3.27252640e+02,1.35550448e+01,1.29382645e+01,3.95360125e-02,-2.99997011e-01,nan
40,25.069958,0.01,0.047375,adafactor,42,0.0000,3.29382856e+02,1.51595527e+01,1.29285299e+01,3.92507677e-02,-2.51070475e-01,nan
50,18.150041,0.01,0.049741,adafactor,42,0.0000,3.31412039e+02,1.68101926e+01,1.29186523e+01,3.89806367e-02,-1.72582342e-01,-2.90032097e+02
60,14.967263,0.01,0.048381,adafactor,42,0.0000,3.33552835e+02,1.23499521e+01,1.29175228e+01,3.87270663e-02,-1.91724816e-01,nan
70,14.422554,0.01,0.051460,adafactor,42,0.0000,3.35459236e+02,1.10678196e+01,1.28737198e+01,3.83764058e-02,-1.60540408e-01,nan
80,11.444407,0.01,0.051362,adafactor,42,0.0000,3.37685278e+02,1.22688190e+01,1.28343924e+01,3.80069644e-02,-1.58606708e-01,nan
90,10.467133,0.01,0.047426,adafactor,42,0.0000,3.40023107e+02,6.53305644e+00,1.28327441e+01,3.77408002e-02,-1.50138876e-01,nan
100,8.864579,0.01,0.047721,adafactor,42,0.0000,3.42138724e+02,7.92139982e+00,1.27421223e+01,3.72425611e-02,-1.41564408e-01,1.28616846e+02
110,8.530119,0.01,0.051003,adafactor,42,0.0000,3.44630892e+02,1.25904112e+01,1.28207696e+01,3.72014521e-02,-1.46167014e-01,nan
120,7.951664,0.01,0.052473,adafactor,42,0.0000,3.46881121e+02,7.72564529e+00,1.26649031e+01,3.65107880e-02,-1.16874438e-01,nan
130,6.140720,0.01,0.048004,adafactor,42,0.0000,3.49336582e+02,6.65960329e+00,1.26973562e+01,3.63470556e-02,-1.25786595e-01,nan
140,6.153007,0.01,0.046347,adafactor,42,0.0000,3.51560431e+02,5.99749040e+00,1.27029621e+01,3.61330826e-02,-1.14361795e-01,nan
150,5.472738,0.01,0.045987,adafactor,42,0.0000,3.53364666e+02,4.45461654e+00,1.24396978e+01,3.52035700e-02,-9.25296970e-02,1.17935031e+02
