step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,75.371279,0.001,0.087364,adamw,42,132.8374,3.20091587e+02,2.74222261e+01,5.82398563e-01,1.81947476e-03,-8.29611457e-02,nan
20,12.248687,0.001,0.008598,adamw,42,145.6421,3.20184201e+02,1.87419526e+01,3.26525726e-01,1.01980586e-03,-2.85063136e-01,nan
30,5.866231,0.001,0.008753,adamw,42,145.6421,3.20206020e+02,1.14713404e+01,1.86547316e-01,5.82585286e-04,-1.06562545e-01,nan
40,4.182217,0.001,0.008743,adamw,42,145.6421,3.20188811e+02,1.06914784e+01,1.39192846e-01,4.34721143e-04,-2.02200300e-01,nan
50,3.308688,0.001,0.008798,adamw,42,145.6421,3.20159952e+02,5.25199591e+00,1.13253262e-01,3.53739627e-04,-1.87047771e-01,3.91159598e+02
60,2.933458,0.001,0.008883,adamw,42,338.0112,3.20122875e+02,4.01352677e+00,8.71883366e-02,2.72358970e-04,-1.43679461e-01,nan
70,2.772114,0.001,0.008916,adamw,42,338.0112,3.20087790e+02,2.91578535e+00,7.70908920e-02,2.40842964e-04,-9.77386212e-02,nan
80,2.649114,0.001,0.009006,adamw,42,338.0112,3.20052984e+02,2.66135396e+00,6.80581384e-02,2.12646473e-04,-1.52870792e-01,nan
90,2.543353,0.001,0.008839,adamw,42,338.0112,3.20016569e+02,2.64381076e+00,5.98052606e-02,1.86881763e-04,-1.84011969e-01,nan
100,2.504933,0.001,0.009264,adamw,42,338.0112,3.19979172e+02,2.35270844e+00,5.74042224e-02,1.79399871e-04,-1.98352147e-01,2.22569546e+02
110,2.443655,0.001,0.009214,adamw,42,338.0112,3.19942248e+02,2.03547572e+00,5.38443018e-02,1.68293816e-04,-1.13204731e-01,nan
120,2.429117,0.001,0.008835,adamw,42,338.0112,3.19906052e+02,1.27628303e+00,5.44982563e-02,1.70357065e-04,-1.35696054e-01,nan
130,2.395172,0.001,0.008798,adamw,42,338.0112,3.19869943e+02,1.31615014e+00,5.28591225e-02,1.65251921e-04,-1.01993423e-01,nan
140,2.354350,0.001,0.009034,adamw,42,338.0112,3.19832773e+02,1.06410070e+00,5.15492790e-02,1.61175725e-04,-1.31432003e-01,nan
150,2.353395,0.001,0.008882,adamw,42,338.0112,3.19795270e+02,1.24215756e+00,5.07011210e-02,1.58542436e-04,-1.41577463e-01,3.18828726e+02
160,2.326627,0.001,0.009151,adamw,42,338.0112,3.19757893e+02,1.99410267e+00,5.04012722e-02,1.57623231e-04,-8.62591401e-02,nan
170,2.320750,0.001,0.008947,adamw,42,338.0112,3.19721032e+02,3.07084511e+00,4.93540946e-02,1.54366118e-04,-1.56165314e-01,nan
180,2.305235,0.001,0.009002,adamw,42,338.0112,3.19684224e+02,1.27855078e+00,5.32163852e-02,1.66465472e-04,-1.39872413e-01,nan
190,2.289573,0.001,0.008997,adamw,42,338.0112,3.19646761e+02,1.61453584e+00,5.39577652e-02,1.68804355e-04,-1.62363862e-01,nan
200,2.267518,0.001,0.008974,adamw,42,338.0112,3.19609632e+02,1.78257653e+00,5.69524420e-02,1.78193760e-04,-1.71938312e-01,2.04186118e+02
210,2.277358,0.001,0.009024,adamw,42,338.0112,3.19573422e+02,2.93723449e+00,5.89129804e-02,1.84348811e-04,-1.88599970e-01,nan
220,2.263289,0.001,0.009496,adamw,42,338.0112,3.19537097e+02,2.27307522e+00,5.97327506e-02,1.86935261e-04,-2.23237649e-01,nan
230,2.233786,0.001,0.009128,adamw,42,338.0112,3.19500292e+02,1.78401463e+00,6.05736345e-02,1.89588667e-04,-1.32492013e-01,nan
240,2.231943,0.001,0.008846,adamw,42,338.0112,3.19464855e+02,2.71227509e+00,6.74233838e-02,2.11051021e-04,-1.99622777e-01,nan
250,2.240069,0.001,0.008921,adamw,42,338.0112,3.19429283e+02,2.95182058e+00,6.93338394e-02,2.17055364e-04,-1.95368489e-01,2.96008773e+02
260,2.217229,0.001,0.008926,adamw,42,338.0112,3.19393950e+02,2.61568848e+00,7.30870021e-02,2.28830264e-04,-1.69650240e-01,nan
270,2.212203,0.001,0.009078,adamw,42,338.0112,3.19359160e+02,1.49650175e+00,7.68206018e-02,2.40546105e-04,-1.67639476e-01,nan
280,2.197384,0.001,0.008811,adamw,42,338.0112,3.19323795e+02,2.04949600e+00,7.03113249e-02,2.20188179e-04,-1.33536090e-01,nan
290,2.169005,0.001,0.008940,adamw,42,338.0112,3.19288528e+02,1.90489014e+00,8.02458634e-02,2.51327111e-04,-1.19353195e-01,nan
300,2.188399,0.001,0.009518,adamw,42,338.0112,3.19253977e+02,2.58303993e+00,8.21515871e-02,2.57323614e-04,-1.32638800e-01,2.71513690e+02
310,2.172267,0.001,0.009285,adamw,42,338.0112,3.19219230e+02,1.69075589e+00,8.22140072e-02,2.57547163e-04,-1.15056810e-01,nan
320,2.159152,0.001,0.008721,adamw,42,338.0112,3.19185184e+02,2.31167527e+00,9.35698957e-02,2.93152378e-04,-1.53714054e-01,nan
330,2.158033,0.001,0.008949,adamw,42,338.0112,3.19151068e+02,3.23344053e+00,8.76661604e-02,2.74685467e-04,-2.24589553e-01,nan
340,2.142407,0.001,0.008980,adamw,42,338.0112,3.19116108e+02,3.51915024e+00,8.58733570e-02,2.69097532e-04,-1.62976745e-01,nan
350,2.143709,0.001,0.008635,adamw,42,338.0112,3.19081454e+02,2.50051693e+00,1.01041948e-01,3.16665061e-04,-2.08689982e-01,1.72777247e+02
360,2.122937,0.001,0.008812,adamw,42,338.0112,3.19046768e+02,2.36332442e+00,1.00393939e-01,3.14668409e-04,-1.33238670e-01,nan
370,2.117446,0.001,0.008878,adamw,42,338.0112,3.19013109e+02,2.46598487e+00,1.08295161e-01,3.39469314e-04,-2.05120181e-01,nan
380,2.094875,0.001,0.008864,adamw,42,338.0112,3.18979078e+02,2.76823783e+00,1.00879860e-01,3.16258548e-04,-1.40315054e-01,nan
390,2.097440,0.001,0.008650,adamw,42,338.0112,3.18945183e+02,2.13886548e+00,1.02066951e-01,3.20014086e-04,-6.19057670e-02,nan
400,2.068303,0.001,0.008619,adamw,42,338.0112,3.18911136e+02,2.99432539e+00,1.11646661e-01,3.50087056e-04,-2.12218940e-01,3.11687710e+02
410,2.070907,0.001,0.008910,adamw,42,338.0112,3.18876437e+02,2.73588335e+00,1.12516311e-01,3.52852384e-04,-1.01700450e-01,nan
420,2.044717,0.001,0.008829,adamw,42,338.0112,3.18841760e+02,2.85112483e+00,1.07844763e-01,3.38239141e-04,-1.33419776e-01,nan
430,2.019135,0.001,0.008763,adamw,42,338.0112,3.18808293e+02,3.01262397e+00,1.12884849e-01,3.54083792e-04,-1.06379909e-01,nan
440,2.009325,0.001,0.008700,adamw,42,338.0112,3.18774451e+02,4.65572231e+00,1.24056282e-01,3.89166327e-04,-2.64397333e-01,nan
450,1.996200,0.001,0.008616,adamw,42,338.0112,3.18740627e+02,3.31243146e+00,1.22425566e-01,3.84091501e-04,-2.00517694e-01,2.67991970e+02
460,1.970198,0.001,0.009256,adamw,42,338.0112,3.18707420e+02,2.22373723e+00,1.22227266e-01,3.83509322e-04,-1.35409928e-01,nan
470,1.942681,0.001,0.008825,adamw,42,338.0112,3.18674641e+02,2.73251941e+00,1.37534181e-01,4.31581819e-04,-2.44261347e-01,nan
480,1.938998,0.001,0.008821,adamw,42,338.0112,3.18642253e+02,2.84332335e+00,1.28362684e-01,4.02842631e-04,-2.20386972e-01,nan
490,1.904690,0.001,0.008768,adamw,42,338.0112,3.18608698e+02,2.04730328e+00,1.29588082e-01,4.06731148e-04,-1.93865983e-01,nan
