step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,84.859110,0.01,0.075278,sgd,42,126.4351,3.18408740e+02,2.53121148e+01,1.10837437e+00,3.48097971e-03,-1.88755658e-01,nan
20,10.728782,0.01,0.007624,sgd,42,139.2397,3.15983965e+02,8.24655382e+00,5.48069306e-01,1.73448455e-03,-1.75418130e-01,nan
30,5.921433,0.01,0.008057,sgd,42,139.2397,3.13102396e+02,5.52879360e+00,3.70032407e-01,1.18182554e-03,-2.42672370e-01,nan
40,4.047683,0.01,0.007740,sgd,42,139.2397,3.10059403e+02,4.29321631e+00,3.28037734e-01,1.05798350e-03,-1.09380220e-01,nan
50,3.516511,0.01,0.008117,sgd,42,139.2397,3.06978998e+02,3.20048676e+00,3.14817361e-01,1.02553387e-03,-3.39191588e-02,7.91700037e+01
60,3.244637,0.01,0.008211,sgd,42,331.6089,3.03906380e+02,2.05491552e+00,3.09203497e-01,1.01743010e-03,-7.89745348e-02,nan
70,3.140044,0.01,0.007746,sgd,42,331.6089,3.00856811e+02,1.39108032e+00,3.05912287e-01,1.01680360e-03,-5.31488302e-02,nan
80,3.095833,0.01,0.007988,sgd,42,331.6089,2.97835334e+02,1.18284424e+00,3.02285016e-01,1.01494007e-03,-4.54895449e-02,nan
90,3.051950,0.01,0.007985,sgd,42,331.6089,2.94843595e+02,9.99570421e-01,2.98806877e-01,1.01344198e-03,-3.23935509e-02,nan
100,2.994065,0.01,0.007840,sgd,42,331.6089,2.91881814e+02,1.23750382e+00,2.95669990e-01,1.01297846e-03,-2.75991013e-02,4.82742481e+01
110,2.968498,0.01,0.007762,sgd,42,331.6089,2.88949935e+02,1.20853992e+00,2.92542409e-01,1.01243286e-03,-2.49722656e-02,nan
120,2.941532,0.01,0.008516,sgd,42,331.6089,2.86047645e+02,1.30225420e+00,2.89672639e-01,1.01267270e-03,-2.38129394e-02,nan
130,2.927393,0.01,0.007809,sgd,42,331.6089,2.83174628e+02,1.43245496e+00,2.87023833e-01,1.01359304e-03,-5.89983088e-02,nan
140,2.888346,0.01,0.007732,sgd,42,331.6089,2.80330578e+02,8.05531624e-01,2.83818202e-01,1.01244111e-03,-2.39797286e-02,nan
150,2.860690,0.01,0.007658,sgd,42,331.6089,2.77515238e+02,9.39906726e-01,2.81190483e-01,1.01324340e-03,-5.07274998e-02,7.10805158e+01
160,2.830285,0.01,0.007996,sgd,42,331.6089,2.74728377e+02,8.86610937e-01,2.78041450e-01,1.01205945e-03,-2.46255539e-02,nan
170,2.837252,0.01,0.007889,sgd,42,331.6089,2.71969527e+02,5.65672864e-01,2.75200768e-01,1.01188089e-03,-1.64962201e-02,nan
180,2.794615,0.01,0.007933,sgd,42,331.6089,2.69238555e+02,7.34488734e-01,2.72334377e-01,1.01149843e-03,-1.76924773e-02,nan
190,2.781514,0.01,0.008495,sgd,42,331.6089,2.66535048e+02,6.62691268e-01,2.69746857e-01,1.01205023e-03,-4.34333963e-02,nan
200,2.775672,0.01,0.007710,sgd,42,331.6089,2.63858774e+02,7.79531992e-01,2.66907734e-01,1.01155527e-03,-1.66932906e-02,7.11981122e+01
210,2.746789,0.01,0.007715,sgd,42,331.6089,2.61209489e+02,5.70815102e-01,2.64202296e-01,1.01145750e-03,-3.19243726e-02,nan
220,2.736407,0.01,0.007652,sgd,42,331.6089,2.58586894e+02,5.63417954e-01,2.61561705e-01,1.01150411e-03,-2.93832393e-02,nan
230,2.745667,0.01,0.007794,sgd,42,331.6089,2.55990688e+02,6.66228491e-01,2.58905451e-01,1.01138621e-03,-3.16951221e-02,nan
240,2.709139,0.01,0.007812,sgd,42,331.6089,2.53420728e+02,7.40245730e-01,2.56384601e-01,1.01169546e-03,-3.36030786e-02,nan
250,2.697081,0.01,0.007631,sgd,42,331.6089,2.50876599e+02,9.76999988e-01,2.53807116e-01,1.01168111e-03,-3.31667796e-02,6.43776631e+01
260,2.711093,0.01,0.007733,sgd,42,331.6089,2.48358082e+02,6.34125576e-01,2.51240011e-01,1.01160393e-03,-2.15748521e-02,nan
270,2.698832,0.01,0.007980,sgd,42,331.6089,2.45864942e+02,5.17640428e-01,2.48651920e-01,1.01133540e-03,-3.11374014e-02,nan
280,2.686352,0.01,0.007797,sgd,42,331.6089,2.43396979e+02,4.20662974e-01,2.46094351e-01,1.01108219e-03,-9.61691188e-03,nan
290,2.676390,0.01,0.007740,sgd,42,331.6089,2.40953861e+02,5.45421099e-01,2.43746785e-01,1.01159111e-03,-3.25567284e-02,nan
300,2.661638,0.01,0.007796,sgd,42,331.6089,2.38535311e+02,4.61280754e-01,2.41230515e-01,1.01129897e-03,-3.02969947e-02,5.76831519e+01
310,2.643493,0.01,0.007798,sgd,42,331.6089,2.36141176e+02,6.37529972e-01,2.38894797e-01,1.01166091e-03,-3.20529254e-02,nan
320,2.659017,0.01,0.007738,sgd,42,331.6089,2.33771179e+02,6.78947555e-01,2.36442801e-01,1.01142836e-03,-3.09735329e-02,nan
330,2.636253,0.01,0.007757,sgd,42,331.6089,2.31425079e+02,4.46607912e-01,2.34059597e-01,1.01138389e-03,-1.71769463e-02,nan
340,2.630921,0.01,0.007677,sgd,42,331.6089,2.29102522e+02,7.19523632e-01,2.31647026e-01,1.01110640e-03,-1.77803592e-02,nan
350,2.611403,0.01,0.008221,sgd,42,331.6089,2.26803413e+02,6.31333069e-01,2.29276998e-01,1.01090629e-03,-2.05954387e-02,5.09813071e+01
360,2.629476,0.01,0.007758,sgd,42,331.6089,2.24527409e+02,6.11080892e-01,2.26964045e-01,1.01085229e-03,-2.25839495e-02,nan
370,2.610051,0.01,0.007612,sgd,42,331.6089,2.22274247e+02,4.70507905e-01,2.24670506e-01,1.01078064e-03,-1.72130026e-03,nan
380,2.584358,0.01,0.008067,sgd,42,331.6089,2.20043842e+02,4.10079798e-01,2.22368465e-01,1.01056436e-03,-1.74534347e-02,nan
390,2.579281,0.01,0.007779,sgd,42,331.6089,2.17835962e+02,5.15131889e-01,2.20360554e-01,1.01158942e-03,-2.66878334e-02,nan
400,2.582852,0.01,0.007658,sgd,42,331.6089,2.15650241e+02,4.18949421e-01,2.18094738e-01,1.01133547e-03,-2.69908167e-02,5.25509408e+01
410,2.597783,0.01,0.007631,sgd,42,331.6089,2.13486459e+02,9.30456570e-01,2.15930275e-01,1.01144717e-03,-4.47310073e-02,nan
420,2.588870,0.01,0.007457,sgd,42,331.6089,2.11344423e+02,4.10104393e-01,2.13634750e-01,1.01083694e-03,-9.59132796e-03,nan
430,2.567373,0.01,0.007733,sgd,42,331.6089,2.09224084e+02,5.11461342e-01,2.11454290e-01,1.01065942e-03,-1.78628674e-02,nan
440,2.588470,0.01,0.007810,sgd,42,331.6089,2.07125110e+02,5.01893629e-01,2.09362441e-01,1.01080183e-03,-3.08035397e-02,nan
450,2.585958,0.01,0.007869,sgd,42,331.6089,2.05047288e+02,4.25225485e-01,2.07219644e-01,1.01059442e-03,-2.28087379e-02,4.67608265e+01
460,2.571724,0.01,0.007812,sgd,42,331.6089,2.02990407e+02,4.46697479e-01,2.05184757e-01,1.01081011e-03,-3.06689731e-02,nan
470,2.572768,0.01,0.008104,sgd,42,331.6089,2.00954238e+02,4.24668412e-01,2.03159087e-01,1.01097190e-03,-8.03408504e-03,nan
480,2.534444,0.01,0.008068,sgd,42,331.6089,1.98938650e+02,2.98491421e-01,2.01088069e-01,1.01080443e-03,-1.32440334e-02,nan
490,2.548949,0.01,0.007791,sgd,42,331.6089,1.96943302e+02,3.09856169e-01,1.99033624e-01,1.01061383e-03,-8.35646956e-03,nan
500,2.541942,0.01,0.008036,sgd,42,331.6089,1.94968076e+02,4.57096676e-01,1.97000862e-01,1.01042625e-03,-1.96193257e-02,4.22410535e+01
510,2.558079,0.01,0.007555,sgd,42,331.6089,1.93012789e+02,4.87904401e-01,1.95028838e-01,1.01044516e-03,-1.38041335e-02,nan
520,2.560039,0.01,0.007761,sgd,42,331.6089,1.91077234e+02,5.68020016e-01,1.93138279e-01,1.01078645e-03,-3.24964483e-02,nan
530,2.539482,0.01,0.007775,sgd,42,331.6089,1.89161095e+02,3.24535635e-01,1.91073309e-01,1.01010892e-03,-1.34995567e-02,nan
540,2.523678,0.01,0.007583,sgd,42,331.6089,1.87264255e+02,3.87805311e-01,1.89176152e-01,1.01020962e-03,-2.04569210e-02,nan
550,2.519273,0.01,0.007690,sgd,42,331.6089,1.85386652e+02,5.36135334e-01,1.87293738e-01,1.01028707e-03,-2.50998004e-02,4.24058971e+01
560,2.530857,0.01,0.007566,sgd,42,331.6089,1.83528038e+02,4.26161467e-01,1.85449341e-01,1.01046871e-03,-3.11491296e-02,nan
570,2.522788,0.01,0.007816,sgd,42,331.6089,1.81688098e+02,4.54617339e-01,1.83537845e-01,1.01018089e-03,-1.98387466e-02,nan
580,2.491256,0.01,0.007647,sgd,42,331.6089,1.79866646e+02,3.91130799e-01,1.81693694e-01,1.01015779e-03,-2.12451917e-02,nan
590,2.527614,0.01,0.007718,sgd,42,331.6089,1.78063493e+02,4.33225177e-01,1.79910075e-01,1.01037035e-03,-3.09770692e-02,nan
600,2.525938,0.01,0.007661,sgd,42,331.6089,1.76278518e+02,4.14523746e-01,1.78122619e-01,1.01046129e-03,-2.59299804e-02,3.81957168e+01
610,2.502045,0.01,0.007686,sgd,42,331.6089,1.74511762e+02,3.41564485e-01,1.76348070e-01,1.01052255e-03,-2.06132650e-02,nan
620,2.520467,0.01,0.007676,sgd,42,331.6089,1.72762861e+02,3.68282175e-01,1.74560737e-01,1.01040661e-03,-2.58552808e-03,nan
630,2.519848,0.01,0.007716,sgd,42,331.6089,1.71031499e+02,3.80721367e-01,1.72758320e-01,1.01009651e-03,-1.95468994e-02,nan
640,2.528595,0.01,0.007508,sgd,42,331.6089,1.69317514e+02,3.61699855e-01,1.71109864e-01,1.01058573e-03,-3.64860900e-02,nan
650,2.531728,0.01,0.007672,sgd,42,331.6089,1.67620836e+02,3.46488838e-01,1.69301021e-01,1.01002372e-03,-2.57443938e-02,3.28134029e+01
660,2.493311,0.01,0.007766,sgd,42,331.6089,1.65941189e+02,4.65520641e-01,1.67662393e-01,1.01037237e-03,-3.71449291e-02,nan
670,2.501456,0.01,0.007328,sgd,42,331.6089,1.64278583e+02,3.80005216e-01,1.66033535e-01,1.01068278e-03,-3.70412055e-02,nan
680,2.519082,0.01,0.007433,sgd,42,331.6089,1.62632689e+02,3.34109745e-01,1.64313061e-01,1.01033231e-03,-3.31355703e-02,nan
690,2.513301,0.01,0.007545,sgd,42,331.6089,1.61003424e+02,3.91746230e-01,1.62622289e-01,1.01005485e-03,-2.02470203e-02,nan
700,2.492180,0.01,0.007762,sgd,42,331.6089,1.59390707e+02,3.70713100e-01,1.60988118e-01,1.01002199e-03,-2.64405785e-02,3.20095120e+01
710,2.495288,0.01,0.007700,sgd,42,331.6089,1.57794275e+02,4.47138741e-01,1.59371775e-01,1.00999719e-03,-2.21895439e-02,nan
720,2.492696,0.01,0.007593,sgd,42,331.6089,1.56213770e+02,3.18968423e-01,1.57784212e-01,1.01005316e-03,-2.51503512e-02,nan
730,2.499248,0.01,0.007727,sgd,42,331.6089,1.54649272e+02,3.35404033e-01,1.56240909e-01,1.01029191e-03,-2.83528977e-02,nan
740,2.473321,0.01,0.007515,sgd,42,331.6089,1.53100497e+02,3.21365849e-01,1.54682504e-01,1.01033313e-03,-2.59418615e-02,nan
750,2.478189,0.01,0.007605,sgd,42,331.6089,1.51567320e+02,3.21125036e-01,1.53097056e-01,1.01009278e-03,-1.33636323e-02,2.67950497e+01
760,2.493857,0.01,0.007708,sgd,42,331.6089,1.50049585e+02,3.35602567e-01,1.51539873e-01,1.00993197e-03,-2.88758764e-02,nan
770,2.490260,0.01,0.007735,sgd,42,331.6089,1.48547344e+02,4.32036605e-01,1.50067410e-01,1.01023288e-03,-3.63277116e-02,nan
780,2.504756,0.01,0.007606,sgd,42,331.6089,1.47060199e+02,3.73530576e-01,1.48618004e-01,1.01059298e-03,-3.85430067e-02,nan
790,2.487703,0.01,0.007637,sgd,42,331.6089,1.45588073e+02,3.72149428e-01,1.47079414e-01,1.01024357e-03,-9.40277173e-03,nan
