step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,73.595478,0.01,0.081245,adafactor,42,120.0947,3.22127893e+02,3.52684611e+01,1.29423151e+01,4.01775675e-02,-4.29420991e-01,nan,5.23769045e+01,4.85165195e+08,4.17480469e-02,9.42078943e-01,-2.12185736e+01
20,65.791273,0.01,0.016245,adafactor,42,132.8994,3.24259953e+02,2.79096266e+01,1.29421580e+01,3.99129091e-02,-3.33842295e-01,nan,6.18268933e+01,4.85165195e+08,1.56860352e-02,9.83433408e-01,-3.96437941e+00
30,48.819888,0.01,0.015815,adafactor,42,132.8994,3.26590781e+02,2.27841747e+01,1.29410926e+01,3.96247947e-02,-2.55674514e-01,nan,4.27164936e+01,4.85165195e+08,1.86767578e-01,8.10078807e-01,-6.10339394e+00
40,30.165660,0.01,0.016256,adafactor,42,132.8994,3.28743995e+02,2.20151245e+01,1.29319493e+01,3.93374464e-02,-2.28965795e-01,nan,2.47429848e+01,4.85165195e+08,6.85424805e-02,7.97005503e-01,-5.42267513e+00
50,24.072120,0.01,0.016117,adafactor,42,132.8994,3.30789392e+02,1.37784986e+01,1.29251568e+01,3.90736739e-02,-1.99665822e-01,3.00489561e+02,2.11683130e+01,4.85165195e+08,1.01196289e-01,5.95207093e-01,-2.90380688e+00
60,18.463902,0.01,0.015749,adafactor,42,325.2686,3.33032798e+02,1.31500170e+01,1.29117163e+01,3.87701041e-02,-1.81055551e-01,nan,2.02279325e+01,4.85165195e+08,1.39526367e-01,7.80933125e-01,1.76403008e+00
70,15.907001,0.01,0.016237,adafactor,42,325.2686,3.34986452e+02,2.33071487e+01,1.29059946e+01,3.85269150e-02,-1.70307464e-01,nan,1.18689637e+01,1.42766216e+05,1.31896973e-01,4.32389779e-01,-4.03803682e+00
80,14.067013,0.01,0.015239,adafactor,42,325.2686,3.36568585e+02,1.26787397e+01,1.29027332e+01,3.83361186e-02,-1.31118069e-01,nan,1.42237706e+01,1.50419829e+06,1.22497559e-01,4.82206901e-01,1.56757736e-01
90,9.697278,0.01,0.016428,adafactor,42,325.2686,3.38205531e+02,9.81185023e+00,1.28098915e+01,3.78760557e-02,-1.20287121e-01,nan,8.37430614e+00,4.33425988e+03,2.18322754e-01,3.78959237e-01,-1.32297183e+00
100,11.311109,0.01,0.015903,adafactor,42,325.2686,3.40495793e+02,1.10298285e+01,1.28732118e+01,3.78072565e-02,-1.37830431e-01,1.69308210e+02,1.15047916e+01,9.91899143e+04,1.08459473e-01,4.89697651e-01,1.93682647e-01
110,8.862918,0.01,0.016122,adafactor,42,325.2686,3.42540077e+02,6.33432169e+00,1.27512796e+01,3.72256575e-02,-1.33770160e-01,nan,8.69507968e+00,5.97344854e+03,1.05773926e-01,4.70699522e-01,-1.67838740e-01
120,8.632995,0.01,0.016261,adafactor,42,325.2686,3.44805909e+02,9.45973501e+00,1.27483786e+01,3.69726222e-02,-1.44388137e-01,nan,9.19708467e+00,9.86831763e+03,1.37023926e-01,2.71852149e-01,5.64090109e-01
130,6.818694,0.01,0.015971,adafactor,42,325.2686,3.46100901e+02,8.26126507e+00,1.26657934e+01,3.65956674e-02,-1.45142699e-01,nan,9.13603008e+00,9.28383577e+03,1.75537109e-01,4.81268060e-01,2.31733572e+00
140,7.643305,0.01,0.016316,adafactor,42,325.2686,3.47495413e+02,1.12621710e+01,1.26090079e+01,3.62853937e-02,-1.13138881e-01,nan,6.52589124e+00,6.82587855e+02,2.50793457e-01,3.84013165e-01,-1.11741415e+00
150,5.453721,0.01,0.016252,adafactor,42,325.2686,3.49540836e+02,4.24653424e+00,1.18459101e+01,3.38899175e-02,-1.31108568e-01,8.04213171e+01,5.91672343e+00,3.71193478e+02,1.22314453e-01,4.61943893e-01,4.63002717e-01
160,5.325994,0.01,0.015505,adafactor,42,325.2686,3.52374663e+02,5.87947785e+00,1.17131885e+01,3.32407227e-02,-1.10346832e-01,nan,4.80859429e+00,1.22559213e+02,1.68334961e-01,2.02356059e-01,-5.17399967e-01
170,4.703373,0.01,0.015914,adafactor,42,325.2686,3.55170568e+02,3.52828816e+00,1.13557945e+01,3.19727915e-02,-1.06857912e-01,nan,4.57504779e+00,9.70326763e+01,1.74194336e-01,2.94600898e-01,-1.28325260e-01
180,4.412276,0.01,0.016035,adafactor,42,325.2686,3.58451475e+02,5.44599646e+00,1.13302619e+01,3.16089142e-02,-1.02247370e-01,nan,4.84364986e+00,1.26931791e+02,2.38525391e-01,2.84956739e-01,4.31373715e-01
