step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,76.798739,0.01,0.046725,adafactor,42,0.0000
20,69.601171,0.01,0.049238,adafactor,42,0.0000
30,46.208587,0.01,0.051069,adafactor,42,0.0000
40,25.069958,0.01,0.047009,adafactor,42,0.0000
50,18.150041,0.01,0.048658,adafactor,42,0.0000
60,15.335697,0.01,0.048672,adafactor,42,0.0000
70,12.483626,0.01,0.049874,adafactor,42,0.0000
80,11.352024,0.01,0.050861,adafactor,42,0.0000
90,12.207450,0.01,0.050555,adafactor,42,0.0000
100,9.064988,0.01,0.049783,adafactor,42,0.0000
110,9.651171,0.01,0.047594,adafactor,42,0.0000
120,7.751196,0.01,0.049590,adafactor,42,0.0000
130,8.038808,0.01,0.050158,adafactor,42,0.0000
140,6.229340,0.01,0.049734,adafactor,42,0.0000
150,6.859410,0.01,0.048726,adafactor,42,0.0000
160,5.375125,0.01,0.050157,adafactor,42,0.0000
170,5.100443,0.01,0.050721,adafactor,42,0.0000
180,4.605357,0.01,0.049128,adafactor,42,0.0000
190,4.206720,0.01,0.050585,adafactor,42,0.0000
200,3.961719,0.01,0.048726,adafactor,42,0.0000
210,3.785224,0.01,0.048791,adafactor,42,0.0000
220,3.397493,0.01,0.048248,adafactor,42,0.0000
230,3.337856,0.01,0.047975,adafactor,42,0.0000
240,3.128104,0.01,0.049266,adafactor,42,0.0000
250,3.119351,0.01,0.048031,adafactor,42,0.0000
260,3.084987,0.01,0.051251,adafactor,42,0.0000
270,3.030050,0.01,0.049178,adafactor,42,0.0000
280,2.991519,0.01,0.047036,adafactor,42,0.0000
290,2.882805,0.01,0.049558,adafactor,42,0.0000
300,2.854973,0.01,0.047013,adafactor,42,0.0000
310,2.812059,0.01,0.049284,adafactor,42,0.0000
320,2.816690,0.01,0.048069,adafactor,42,0.0000
330,2.771447,0.01,0.047275,adafactor,42,0.0000
340,2.737696,0.01,0.048501,adafactor,42,0.0000
350,2.706749,0.01,0.049149,adafactor,42,0.0000
360,2.745016,0.01,0.047031,adafactor,42,0.0000
370,2.683251,0.01,0.049311,adafactor,42,0.0000
380,2.661342,0.01,0.047666,adafactor,42,0.0000
390,2.627705,0.01,0.046806,adafactor,42,0.0000
400,2.596778,0.01,0.049296,adafactor,42,0.0000
410,2.672730,0.01,0.047645,adafactor,42,0.0000
420,2.623174,0.01,0.048163,adafactor,42,0.0000
430,2.602047,0.01,0.046062,adafactor,42,0.0000
440,2.600501,0.01,0.045798,adafactor,42,0.0000
450,2.572988,0.01,0.045091,adafactor,42,0.0000
460,2.586275,0.01,0.046016,adafactor,42,0.0000
470,2.558925,0.01,0.046081,adafactor,42,0.0000
480,2.527468,0.01,0.045649,adafactor,42,0.0000
490,2.540053,0.01,0.045882,adafactor,42,0.0000
500,2.519810,0.01,0.044722,adafactor,42,0.0000
510,2.553501,0.01,0.044994,adafactor,42,0.0000
520,2.541784,0.01,0.047384,adafactor,42,0.0000
530,2.509072,0.01,0.046385,adafactor,42,0.0000
540,2.484919,0.01,0.044423,adafactor,42,0.0000
550,2.475565,0.01,0.044861,adafactor,42,0.0000
560,2.508627,0.01,0.045535,adafactor,42,0.0000
570,2.465811,0.01,0.046604,adafactor,42,0.0000
580,2.442152,0.01,0.045101,adafactor,42,0.0000
590,2.485916,0.01,0.045520,adafactor,42,0.0000
600,2.473673,0.01,0.045132,adafactor,42,0.0000
610,2.424870,0.01,0.044313,adafactor,42,0.0000
620,2.454812,0.01,0.043756,adafactor,42,0.0000
630,2.449864,0.01,0.044878,adafactor,42,0.0000
640,2.469675,0.01,0.044734,adafactor,42,0.0000
650,2.447620,0.01,0.044327,adafactor,42,0.0000
660,2.413340,0.01,0.045682,adafactor,42,0.0000
670,2.428331,0.01,0.045031,adafactor,42,0.0000
680,2.434295,0.01,0.044619,adafactor,42,0.0000
690,2.433792,0.01,0.044887,adafactor,42,0.0000
700,2.417118,0.01,0.044723,adafactor,42,0.0000
710,2.433823,0.01,0.046238,adafactor,42,0.0000
720,2.392232,0.01,0.045248,adafactor,42,0.0000
730,2.416091,0.01,0.044994,adafactor,42,0.0000
740,2.382159,0.01,0.045235,adafactor,42,0.0000
750,2.385021,0.01,0.045605,adafactor,42,0.0000
760,2.401635,0.01,0.048380,adafactor,42,0.0000
770,2.403677,0.01,0.046368,adafactor,42,0.0000
780,2.417915,0.01,0.045462,adafactor,42,0.0000
790,2.417170,0.01,0.046055,adafactor,42,0.0000
800,2.400506,0.01,0.044297,adafactor,42,0.0000
810,2.400082,0.01,0.049163,adafactor,42,0.0000
820,2.388511,0.01,0.044110,adafactor,42,0.0000
830,2.399721,0.01,0.044309,adafactor,42,0.0000
840,2.360460,0.01,0.046478,adafactor,42,0.0000
850,2.399352,0.01,0.045267,adafactor,42,0.0000
860,2.388681,0.01,0.046860,adafactor,42,0.0000
870,2.369789,0.01,0.047658,adafactor,42,0.0000
880,2.390225,0.01,0.045232,adafactor,42,0.0000
890,2.385225,0.01,0.044583,adafactor,42,0.0000
900,2.387779,0.01,0.049134,adafactor,42,0.0000
910,2.386904,0.01,0.045407,adafactor,42,0.0000
920,2.388699,0.01,0.044088,adafactor,42,0.0000
930,2.401280,0.01,0.044838,adafactor,42,0.0000
940,2.372903,0.01,0.044289,adafactor,42,0.0000
950,2.376878,0.01,0.045163,adafactor,42,0.0000
960,2.360649,0.01,0.044010,adafactor,42,0.0000
970,2.361379,0.01,0.043751,adafactor,42,0.0000
980,2.383581,0.01,0.045363,adafactor,42,0.0000
990,2.334387,0.01,0.043628,adafactor,42,0.0000
1000,2.379714,0.01,0.044266,adafactor,42,0.0000
