step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,78.128182,0.001,0.081162,adamw,42,132.8374,3.20043762e+02,2.47178103e+01,5.99075033e-01,1.87185349e-03,-1.27567803e-01,nan,1.71402571e+01,2.77919542e+07,1.19262695e-01,7.19979971e-01,-6.09879251e+01
20,12.413717,0.001,0.007805,adamw,42,145.6421,3.20120448e+02,1.26056468e+01,3.43065736e-01,1.07167705e-03,-2.63110170e-01,nan,7.23446393e+00,1.38639749e+03,1.81457520e-01,3.68296764e-01,-5.17925267e+00
30,6.270332,0.001,0.007881,adamw,42,145.6421,3.20136305e+02,9.58813782e+00,1.98401102e-01,6.19739465e-04,-1.09781515e-01,nan,5.10959280e+00,1.65602907e+02,2.59216309e-01,2.95773404e-01,-1.16073964e+00
40,4.395339,0.001,0.007784,adamw,42,145.6421,3.20122279e+02,7.53255685e+00,1.56204119e-01,4.87951415e-04,-1.30655090e-01,nan,3.72683841e+00,4.15475440e+01,2.51525879e-01,1.78532799e-01,-6.68500507e-01
50,3.555253,0.001,0.007866,adamw,42,145.6421,3.20091463e+02,5.28493885e+00,1.28983605e-01,4.02958590e-04,-7.87780150e-02,3.61486535e+02,3.23655835e+00,2.54459946e+01,2.75268555e-01,9.85839729e-02,-3.18694156e-01
60,3.238192,0.001,0.007591,adamw,42,338.0112,3.20056618e+02,3.34007324e+00,1.02617677e-01,3.20623513e-04,-2.24379438e-01,nan,2.97829676e+00,1.96543120e+01,2.90527344e-01,4.31153927e-02,-2.59895706e-01
70,2.960060,0.001,0.008021,adamw,42,338.0112,3.20021943e+02,3.31280804e+00,9.04471085e-02,2.82627833e-04,-1.66544312e-01,nan,2.82140476e+00,1.68004346e+01,2.92175293e-01,4.07241883e-02,-1.38655198e-01
80,2.789929,0.001,0.007625,adamw,42,338.0112,3.19984597e+02,2.90747406e+00,8.44451306e-02,2.63903736e-04,-1.66397544e-01,nan,2.70271337e+00,1.49201608e+01,2.99377441e-01,2.38289856e-02,-8.72154713e-02
90,2.723691,0.001,0.007750,adamw,42,338.0112,3.19944675e+02,1.49210527e+00,7.95367409e-02,2.48595295e-04,-2.02938690e-01,nan,2.65345246e+00,1.42029893e+01,2.91320801e-01,1.72825735e-02,-7.02388883e-02
100,2.629564,0.001,0.007810,adamw,42,338.0112,3.19904564e+02,3.20341878e+00,7.07905880e-02,2.21286583e-04,-1.18674943e-01,2.92444846e+02,2.60689673e+00,1.35569147e+01,2.89550781e-01,2.38710933e-02,-2.26670325e-02
110,2.588408,0.001,0.008258,adamw,42,338.0112,3.19866411e+02,2.29268097e+00,6.65830428e-02,2.08158908e-04,-1.66423499e-01,nan,2.55382398e+00,1.28561716e+01,2.98034668e-01,4.23774008e-02,-3.45842779e-02
120,2.541034,0.001,0.008144,adamw,42,338.0112,3.19827722e+02,2.15509583e+00,6.23647815e-02,1.94994921e-04,-1.79749907e-01,nan,2.52618140e+00,1.25056607e+01,3.07678223e-01,1.76314430e-02,-1.48529649e-02
