step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,77.392255,0.001,0.057811,adamw,42,0.0000
20,11.323945,0.001,0.051232,adamw,42,0.0000
30,6.343403,0.001,0.038291,adamw,42,0.0000
40,4.338551,0.001,0.032004,adamw,42,0.0000
50,3.500384,0.001,0.032821,adamw,42,0.0000
60,3.207332,0.001,0.031199,adamw,42,0.0000
70,2.984308,0.001,0.029142,adamw,42,0.0000
80,2.833327,0.001,0.027983,adamw,42,0.0000
90,2.739538,0.001,0.027582,adamw,42,0.0000
100,2.617695,0.001,0.026931,adamw,42,0.0000
110,2.576877,0.001,0.028747,adamw,42,0.0000
120,2.547905,0.001,0.026362,adamw,42,0.0000
130,2.532729,0.001,0.031262,adamw,42,0.0000
140,2.482461,0.001,0.029073,adamw,42,0.0000
150,2.444979,0.001,0.027153,adamw,42,0.0000
160,2.413845,0.001,0.027121,adamw,42,0.0000
170,2.431542,0.001,0.027760,adamw,42,0.0000
180,2.378333,0.001,0.026144,adamw,42,0.0000
190,2.377389,0.001,0.029816,adamw,42,0.0000
200,2.367261,0.001,0.026672,adamw,42,0.0000
210,2.360193,0.001,0.031207,adamw,42,0.0000
220,2.335206,0.001,0.025983,adamw,42,0.0000
230,2.372697,0.001,0.025480,adamw,42,0.0000
240,2.361291,0.001,0.025784,adamw,42,0.0000
250,2.344580,0.001,0.026065,adamw,42,0.0000
260,2.359776,0.001,0.027700,adamw,42,0.0000
270,2.346086,0.001,0.026374,adamw,42,0.0000
280,2.332786,0.001,0.029238,adamw,42,0.0000
290,2.328985,0.001,0.025648,adamw,42,0.0000
300,2.328431,0.001,0.030793,adamw,42,0.0000
310,2.300144,0.001,0.025952,adamw,42,0.0000
320,2.321214,0.001,0.027212,adamw,42,0.0000
330,2.313919,0.001,0.025929,adamw,42,0.0000
340,2.304490,0.001,0.026263,adamw,42,0.0000
350,2.284091,0.001,0.026815,adamw,42,0.0000
360,2.307261,0.001,0.025818,adamw,42,0.0000
370,2.298234,0.001,0.025770,adamw,42,0.0000
380,2.270861,0.001,0.026840,adamw,42,0.0000
390,2.262556,0.001,0.025901,adamw,42,0.0000
400,2.282973,0.001,0.026112,adamw,42,0.0000
410,2.298527,0.001,0.025815,adamw,42,0.0000
420,2.289915,0.001,0.027550,adamw,42,0.0000
430,2.282448,0.001,0.028789,adamw,42,0.0000
440,2.300339,0.001,0.029392,adamw,42,0.0000
450,2.302813,0.001,0.025673,adamw,42,0.0000
460,2.275201,0.001,0.026014,adamw,42,0.0000
470,2.307280,0.001,0.026603,adamw,42,0.0000
480,2.271475,0.001,0.028425,adamw,42,0.0000
490,2.291414,0.001,0.029464,adamw,42,0.0000
500,2.263452,0.001,0.026503,adamw,42,0.0000
510,2.277161,0.001,0.025718,adamw,42,0.0000
520,2.266146,0.001,0.026682,adamw,42,0.0000
530,2.280218,0.001,0.029169,adamw,42,0.0000
540,2.256377,0.001,0.026928,adamw,42,0.0000
550,2.256333,0.001,0.026663,adamw,42,0.0000
560,2.269599,0.001,0.026006,adamw,42,0.0000
570,2.239771,0.001,0.025955,adamw,42,0.0000
580,2.214874,0.001,0.025990,adamw,42,0.0000
590,2.260288,0.001,0.025173,adamw,42,0.0000
600,2.232812,0.001,0.026710,adamw,42,0.0000
610,2.207022,0.001,0.029390,adamw,42,0.0000
620,2.272989,0.001,0.026885,adamw,42,0.0000
630,2.246845,0.001,0.026180,adamw,42,0.0000
640,2.246234,0.001,0.026811,adamw,42,0.0000
650,2.248784,0.001,0.026699,adamw,42,0.0000
660,2.200042,0.001,0.025518,adamw,42,0.0000
670,2.204786,0.001,0.028008,adamw,42,0.0000
680,2.228561,0.001,0.028658,adamw,42,0.0000
690,2.224317,0.001,0.026488,adamw,42,0.0000
700,2.188402,0.001,0.026169,adamw,42,0.0000
710,2.205703,0.001,0.026074,adamw,42,0.0000
720,2.174857,0.001,0.026111,adamw,42,0.0000
730,2.197166,0.001,0.027100,adamw,42,0.0000
740,2.156221,0.001,0.025970,adamw,42,0.0000
750,2.147536,0.001,0.027208,adamw,42,0.0000
760,2.155611,0.001,0.025554,adamw,42,0.0000
770,2.143557,0.001,0.026423,adamw,42,0.0000
780,2.148404,0.001,0.027350,adamw,42,0.0000
790,2.143512,0.001,0.025761,adamw,42,0.0000
800,2.100161,0.001,0.027374,adamw,42,0.0000
810,2.115118,0.001,0.026189,adamw,42,0.0000
820,2.091514,0.001,0.027810,adamw,42,0.0000
830,2.094918,0.001,0.026318,adamw,42,0.0000
840,2.051613,0.001,0.026012,adamw,42,0.0000
850,2.092672,0.001,0.026297,adamw,42,0.0000
860,2.083735,0.001,0.026075,adamw,42,0.0000
870,2.033612,0.001,0.025343,adamw,42,0.0000
880,2.060926,0.001,0.028288,adamw,42,0.0000
890,2.060263,0.001,0.025522,adamw,42,0.0000
900,2.048060,0.001,0.025753,adamw,42,0.0000
910,2.025331,0.001,0.025797,adamw,42,0.0000
920,2.017915,0.001,0.025812,adamw,42,0.0000
930,2.007642,0.001,0.026230,adamw,42,0.0000
940,1.980815,0.001,0.026338,adamw,42,0.0000
950,1.980979,0.001,0.025938,adamw,42,0.0000
960,1.953874,0.001,0.025973,adamw,42,0.0000
970,1.962147,0.001,0.027037,adamw,42,0.0000
980,1.957593,0.001,0.026412,adamw,42,0.0000
990,1.931765,0.001,0.026284,adamw,42,0.0000
1000,1.975462,0.001,0.025766,adamw,42,0.0000
