step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,84.288196,0.0001,0.086735,rmsprop,42,126.4351,3.18622622e+02,1.94389840e+01,2.73609255e-01,8.58725137e-04,-6.42701809e-01,nan,2.77075453e+01,4.85165195e+08,3.89404297e-02,9.16145445e-01,-5.65806505e+01
20,22.062156,0.0001,0.008219,rmsprop,42,139.2397,3.17994434e+02,3.70869427e+01,2.66409105e-01,8.37779145e-04,-6.80812625e-01,nan,1.72895546e+01,3.22669678e+07,4.93164062e-02,8.62252738e-01,-4.77260113e+00
30,13.688569,0.0001,0.007444,rmsprop,42,139.2397,3.17492864e+02,1.77687056e+01,1.66471774e-01,5.24332331e-04,-6.18156184e-01,nan,1.06366262e+01,4.16320775e+04,9.75952148e-02,6.73342260e-01,-3.05194263e+00
40,9.865779,0.0001,0.007537,rmsprop,42,139.2397,3.17054318e+02,2.21870561e+01,1.62412689e-01,5.12255093e-04,-6.38212363e-01,nan,8.81790197e+00,6.75407948e+03,7.64770508e-02,6.77088813e-01,-1.04787714e+00
50,7.631497,0.0001,0.007762,rmsprop,42,139.2397,3.16654574e+02,1.97113436e+01,1.44802634e-01,4.57288939e-04,-6.42980962e-01,5.81277697e+02,6.67577618e+00,7.92962700e+02,1.06140137e-01,5.78949260e-01,-9.55721009e-01
60,6.509532,0.0001,0.007506,rmsprop,42,331.6089,3.16280539e+02,1.13107566e+01,1.13706371e-01,3.59511122e-04,-6.40798628e-01,nan,5.70201361e+00,2.99469810e+02,1.95678711e-01,3.68099589e-01,-8.07518077e-01
70,5.722360,0.0001,0.007526,rmsprop,42,331.6089,3.15925934e+02,1.09765046e+01,9.71102071e-02,3.07382828e-04,-5.90922061e-01,nan,5.19574511e+00,1.80502587e+02,1.64489746e-01,3.67774877e-01,-5.26614833e-01
80,5.116051,0.0001,0.007894,rmsprop,42,331.6089,3.15586403e+02,1.94822609e+01,1.35542332e-01,4.29493575e-04,-6.54393559e-01,nan,5.30100572e+00,2.00538394e+02,1.68212891e-01,3.41139203e-01,1.84954333e-01
90,4.935418,0.0001,0.007969,rmsprop,42,331.6089,3.15258821e+02,1.11126149e+01,1.01269151e-01,3.21225433e-04,-6.25678359e-01,nan,4.45769316e+00,8.62882262e+01,2.41027832e-01,2.87873333e-01,-4.77725303e-01
100,4.503839,0.0001,0.007668,rmsprop,42,331.6089,3.14940815e+02,1.21068955e+01,9.64097200e-02,3.06120120e-04,-6.01710713e-01,1.05491345e+03,4.41797882e+00,8.29285027e+01,2.31689453e-01,3.17648850e-01,-8.58605742e-02
