step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,84.504092,0.0001,0.039937,rmsprop,42,0.0000
20,21.813849,0.0001,0.031741,rmsprop,42,0.0000
30,13.669733,0.0001,0.032330,rmsprop,42,0.0000
40,9.993037,0.0001,0.030307,rmsprop,42,0.0000
50,7.633971,0.0001,0.026720,rmsprop,42,0.0000
60,6.540891,0.0001,0.026373,rmsprop,42,0.0000
70,5.675060,0.0001,0.030406,rmsprop,42,0.0000
80,5.224575,0.0001,0.026584,rmsprop,42,0.0000
90,4.823319,0.0001,0.026376,rmsprop,42,0.0000
100,4.661260,0.0001,0.025274,rmsprop,42,0.0000
110,4.338965,0.0001,0.025996,rmsprop,42,0.0000
120,4.183010,0.0001,0.026073,rmsprop,42,0.0000
130,4.079781,0.0001,0.026101,rmsprop,42,0.0000
140,3.926686,0.0001,0.025741,rmsprop,42,0.0000
150,3.827669,0.0001,0.026688,rmsprop,42,0.0000
160,3.654603,0.0001,0.026434,rmsprop,42,0.0000
170,3.580106,0.0001,0.025808,rmsprop,42,0.0000
180,3.592713,0.0001,0.026655,rmsprop,42,0.0000
190,3.495306,0.0001,0.027623,rmsprop,42,0.0000
200,3.542735,0.0001,0.025236,rmsprop,42,0.0000
210,3.308403,0.0001,0.025641,rmsprop,42,0.0000
220,3.380061,0.0001,0.025934,rmsprop,42,0.0000
230,3.328785,0.0001,0.026943,rmsprop,42,0.0000
240,3.262691,0.0001,0.025932,rmsprop,42,0.0000
250,3.213649,0.0001,0.030065,rmsprop,42,0.0000
260,3.235865,0.0001,0.025284,rmsprop,42,0.0000
270,3.179251,0.0001,0.028098,rmsprop,42,0.0000
280,3.136409,0.0001,0.024723,rmsprop,42,0.0000
290,3.111735,0.0001,0.026001,rmsprop,42,0.0000
300,3.129058,0.0001,0.024550,rmsprop,42,0.0000
310,3.102193,0.0001,0.024903,rmsprop,42,0.0000
320,3.076509,0.0001,0.025029,rmsprop,42,0.0000
330,3.098137,0.0001,0.029072,rmsprop,42,0.0000
340,3.006138,0.0001,0.025074,rmsprop,42,0.0000
350,2.980396,0.0001,0.024816,rmsprop,42,0.0000
360,3.021963,0.0001,0.024502,rmsprop,42,0.0000
370,3.025268,0.0001,0.026611,rmsprop,42,0.0000
380,2.912122,0.0001,0.025658,rmsprop,42,0.0000
390,2.887597,0.0001,0.025409,rmsprop,42,0.0000
400,2.878875,0.0001,0.024933,rmsprop,42,0.0000
410,2.955489,0.0001,0.024735,rmsprop,42,0.0000
420,2.935783,0.0001,0.024669,rmsprop,42,0.0000
430,2.854131,0.0001,0.025023,rmsprop,42,0.0000
440,2.929186,0.0001,0.025150,rmsprop,42,0.0000
450,2.868086,0.0001,0.025756,rmsprop,42,0.0000
460,2.880606,0.0001,0.025145,rmsprop,42,0.0000
470,2.855739,0.0001,0.024718,rmsprop,42,0.0000
480,2.848956,0.0001,0.025713,rmsprop,42,0.0000
490,2.815045,0.0001,0.025587,rmsprop,42,0.0000
500,2.829033,0.0001,0.025756,rmsprop,42,0.0000
510,2.796526,0.0001,0.025532,rmsprop,42,0.0000
520,2.885363,0.0001,0.025610,rmsprop,42,0.0000
530,2.859817,0.0001,0.026457,rmsprop,42,0.0000
540,2.770766,0.0001,0.027917,rmsprop,42,0.0000
550,2.739245,0.0001,0.028049,rmsprop,42,0.0000
560,2.807208,0.0001,0.025390,rmsprop,42,0.0000
570,2.797482,0.0001,0.025151,rmsprop,42,0.0000
580,2.722954,0.0001,0.025587,rmsprop,42,0.0000
590,2.811151,0.0001,0.024998,rmsprop,42,0.0000
600,2.733704,0.0001,0.026924,rmsprop,42,0.0000
610,2.712971,0.0001,0.025542,rmsprop,42,0.0000
620,2.739662,0.0001,0.024883,rmsprop,42,0.0000
630,2.719967,0.0001,0.027383,rmsprop,42,0.0000
640,2.789653,0.0001,0.024900,rmsprop,42,0.0000
650,2.775970,0.0001,0.024415,rmsprop,42,0.0000
660,2.692243,0.0001,0.025738,rmsprop,42,0.0000
670,2.753935,0.0001,0.024630,rmsprop,42,0.0000
680,2.742291,0.0001,0.024432,rmsprop,42,0.0000
690,2.723269,0.0001,0.024641,rmsprop,42,0.0000
