step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,84.621169,0.01,0.092206,sgd,42,126.4351,3.18409815e+02,2.16244634e+01,1.10707026e+00,3.47687229e-03,-1.63588717e-01,nan,1.51842092e+01,3.93023283e+06,6.86645508e-02,5.63558065e-01,-6.94369599e+01
20,11.915217,0.01,0.007797,sgd,42,139.2397,3.15982422e+02,1.28951316e+01,5.58868992e-01,1.76867114e-03,-2.91483855e-01,nan,6.96048403e+00,1.05414367e+03,1.55029297e-02,2.54004615e-01,-4.95473337e+00
30,6.348419,0.01,0.007716,sgd,42,139.2397,3.13098393e+02,6.78072903e+00,3.66226746e-01,1.16968581e-03,-1.03410643e-01,nan,5.12720084e+00,1.68544674e+02,1.56921387e-01,1.12140449e-01,-1.22121849e+00
40,4.396669,0.01,0.007649,sgd,42,139.2397,3.10053157e+02,5.42937804e+00,3.31982230e-01,1.07072682e-03,-1.16862880e-01,nan,3.75858426e+00,4.28876652e+01,9.00878906e-02,1.84755060e-01,-6.38084388e-01
50,3.603034,0.01,0.007489,sgd,42,139.2397,3.06971907e+02,2.59883223e+00,3.17091324e-01,1.03296529e-03,-7.24147137e-02,7.80109676e+01,3.41867787e+00,3.05290249e+01,2.17651367e-01,3.03195118e-02,-1.84355891e-01
60,3.317943,0.01,0.007474,sgd,42,331.6089,3.03898664e+02,2.69811897e+00,3.10523088e-01,1.02179814e-03,-6.18286729e-02,nan,3.13872355e+00,2.30743948e+01,1.90002441e-01,4.10816063e-02,-1.79219663e-01
70,3.159992,0.01,0.007658,sgd,42,331.6089,3.00848805e+02,1.69303556e+00,3.06542842e-01,1.01892657e-03,-6.91179264e-02,nan,3.07825589e+00,2.17204865e+01,2.25402832e-01,1.63071476e-02,-8.17365646e-02
80,3.064261,0.01,0.008110,sgd,42,331.6089,2.97827389e+02,1.16526977e+00,3.01933367e-01,1.01378644e-03,-3.51807389e-02,nan,3.02247068e+00,2.05419818e+01,2.26318359e-01,4.60317961e-02,-4.17898953e-02
90,3.027881,0.01,0.008332,sgd,42,331.6089,2.94835890e+02,8.06655459e-01,2.98836843e-01,1.01357010e-03,-4.42515088e-02,nan,2.99202898e+00,1.99260711e+01,2.43225098e-01,6.16875209e-02,-3.58520210e-02
100,2.988198,0.01,0.007677,sgd,42,331.6089,2.91874402e+02,8.30410238e-01,2.95628527e-01,1.01286212e-03,-2.61306335e-02,8.15962488e+01,2.95924956e+00,1.92834951e+01,2.32788086e-01,3.72086536e-02,-2.89487958e-02
110,2.972226,0.01,0.007383,sgd,42,331.6089,2.88942661e+02,8.30840011e-01,2.92723855e-01,1.01308631e-03,-4.29611767e-02,nan,2.93215278e+00,1.87679904e+01,2.55798340e-01,6.12480438e-02,-4.00736034e-02
120,2.939891,0.01,0.007657,sgd,42,331.6089,2.86040557e+02,7.40480890e-01,2.89574666e-01,1.01235527e-03,-3.19679036e-02,nan,2.90447655e+00,1.82556853e+01,2.54760742e-01,5.03114972e-02,-3.54147851e-02
130,2.890463,0.01,0.007519,sgd,42,331.6089,2.83167812e+02,7.32176446e-01,2.86763320e-01,1.01269745e-03,-4.25900428e-02,nan,2.89048484e+00,1.80020356e+01,2.67578125e-01,6.10435493e-02,2.17020512e-05
140,2.894767,0.01,0.007448,sgd,42,331.6089,2.80323955e+02,9.15918950e-01,2.83698976e-01,1.01203972e-03,-3.10481737e-02,nan,2.86543739e+00,1.75567306e+01,2.62268066e-01,4.07989485e-02,-2.93292046e-02
150,2.848859,0.01,0.007891,sgd,42,331.6089,2.77508818e+02,8.29072341e-01,2.80896087e-01,1.01220599e-03,-3.62825871e-02,7.82598527e+01,2.85051650e+00,1.72967133e+01,2.71667480e-01,4.05661332e-02,1.65704489e-03
160,2.839509,0.01,0.007802,sgd,42,331.6089,2.74722036e+02,7.52435168e-01,2.78089534e-01,1.01225784e-03,-3.59920511e-02,nan,2.82870746e+00,1.69235722e+01,2.82104492e-01,5.68069525e-02,-1.08013868e-02
170,2.828303,0.01,0.007699,sgd,42,331.6089,2.71963320e+02,8.77653082e-01,2.75193136e-01,1.01187592e-03,-2.56462915e-02,nan,2.81638527e+00,1.67163163e+01,2.84362793e-01,6.46136450e-02,-1.19174719e-02
180,2.806578,0.01,0.007452,sgd,42,331.6089,2.69232415e+02,8.16573558e-01,2.72558679e-01,1.01235462e-03,-4.34334410e-02,nan,2.79916987e+00,1.64310012e+01,2.85949707e-01,6.08878321e-02,-7.40845799e-03
