step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,84.859114,0.01,0.034468,sgd,42,0.0000
20,10.728783,0.01,0.028053,sgd,42,0.0000
30,5.921433,0.01,0.027747,sgd,42,0.0000
40,4.047683,0.01,0.031402,sgd,42,0.0000
50,3.516511,0.01,0.026344,sgd,42,0.0000
60,3.244637,0.01,0.026164,sgd,42,0.0000
70,3.140044,0.01,0.024846,sgd,42,0.0000
80,3.095833,0.01,0.029205,sgd,42,0.0000
90,3.051950,0.01,0.025625,sgd,42,0.0000
100,2.994065,0.01,0.025420,sgd,42,0.0000
110,2.968498,0.01,0.025331,sgd,42,0.0000
120,2.941532,0.01,0.025361,sgd,42,0.0000
130,2.927393,0.01,0.025529,sgd,42,0.0000
140,2.888346,0.01,0.024975,sgd,42,0.0000
150,2.860690,0.01,0.025748,sgd,42,0.0000
160,2.830285,0.01,0.024424,sgd,42,0.0000
170,2.837252,0.01,0.026361,sgd,42,0.0000
180,2.794615,0.01,0.029604,sgd,42,0.0000
190,2.781514,0.01,0.024379,sgd,42,0.0000
200,2.775672,0.01,0.026286,sgd,42,0.0000
210,2.746789,0.01,0.024424,sgd,42,0.0000
220,2.736407,0.01,0.024556,sgd,42,0.0000
230,2.745667,0.01,0.024745,sgd,42,0.0000
240,2.709138,0.01,0.025085,sgd,42,0.0000
250,2.697081,0.01,0.026612,sgd,42,0.0000
260,2.711093,0.01,0.024305,sgd,42,0.0000
270,2.698832,0.01,0.027810,sgd,42,0.0000
280,2.686352,0.01,0.024334,sgd,42,0.0000
290,2.676390,0.01,0.024863,sgd,42,0.0000
300,2.661638,0.01,0.025787,sgd,42,0.0000
310,2.643494,0.01,0.025946,sgd,42,0.0000
320,2.659017,0.01,0.024417,sgd,42,0.0000
330,2.636253,0.01,0.024914,sgd,42,0.0000
340,2.630921,0.01,0.024313,sgd,42,0.0000
350,2.611403,0.01,0.026487,sgd,42,0.0000
360,2.629475,0.01,0.029018,sgd,42,0.0000
370,2.610051,0.01,0.024620,sgd,42,0.0000
380,2.584358,0.01,0.024499,sgd,42,0.0000
390,2.579281,0.01,0.024316,sgd,42,0.0000
400,2.582852,0.01,0.023949,sgd,42,0.0000
410,2.597783,0.01,0.024369,sgd,42,0.0000
420,2.588870,0.01,0.024371,sgd,42,0.0000
430,2.567373,0.01,0.024297,sgd,42,0.0000
440,2.588470,0.01,0.024498,sgd,42,0.0000
450,2.585958,0.01,0.023942,sgd,42,0.0000
460,2.571724,0.01,0.024391,sgd,42,0.0000
470,2.572767,0.01,0.028800,sgd,42,0.0000
480,2.534444,0.01,0.031486,sgd,42,0.0000
490,2.548949,0.01,0.030483,sgd,42,0.0000
500,2.541942,0.01,0.029283,sgd,42,0.0000
510,2.558079,0.01,0.028855,sgd,42,0.0000
520,2.560039,0.01,0.024785,sgd,42,0.0000
530,2.539482,0.01,0.024499,sgd,42,0.0000
540,2.523678,0.01,0.024745,sgd,42,0.0000
550,2.519273,0.01,0.024996,sgd,42,0.0000
560,2.530857,0.01,0.025367,sgd,42,0.0000
570,2.522788,0.01,0.025081,sgd,42,0.0000
580,2.491256,0.01,0.024885,sgd,42,0.0000
590,2.527614,0.01,0.026396,sgd,42,0.0000
600,2.525938,0.01,0.025658,sgd,42,0.0000
610,2.502045,0.01,0.025204,sgd,42,0.0000
620,2.520467,0.01,0.025022,sgd,42,0.0000
630,2.519848,0.01,0.024572,sgd,42,0.0000
640,2.528595,0.01,0.024291,sgd,42,0.0000
650,2.531728,0.01,0.024867,sgd,42,0.0000
660,2.493311,0.01,0.024746,sgd,42,0.0000
670,2.501456,0.01,0.026613,sgd,42,0.0000
680,2.519082,0.01,0.025104,sgd,42,0.0000
690,2.513301,0.01,0.025383,sgd,42,0.0000
700,2.492180,0.01,0.025729,sgd,42,0.0000
710,2.495288,0.01,0.028459,sgd,42,0.0000
720,2.492696,0.01,0.024666,sgd,42,0.0000
730,2.499248,0.01,0.026483,sgd,42,0.0000
740,2.473322,0.01,0.024537,sgd,42,0.0000
750,2.478189,0.01,0.024834,sgd,42,0.0000
760,2.493857,0.01,0.024962,sgd,42,0.0000
770,2.490260,0.01,0.024622,sgd,42,0.0000
780,2.504756,0.01,0.024183,sgd,42,0.0000
790,2.487703,0.01,0.024510,sgd,42,0.0000
800,2.470904,0.01,0.024758,sgd,42,0.0000
810,2.483041,0.01,0.024785,sgd,42,0.0000
820,2.467558,0.01,0.025022,sgd,42,0.0000
830,2.481264,0.01,0.024870,sgd,42,0.0000
840,2.451377,0.01,0.024725,sgd,42,0.0000
850,2.477907,0.01,0.024451,sgd,42,0.0000
860,2.479185,0.01,0.024028,sgd,42,0.0000
870,2.452421,0.01,0.024804,sgd,42,0.0000
880,2.466836,0.01,0.024343,sgd,42,0.0000
890,2.461683,0.01,0.024592,sgd,42,0.0000
900,2.466834,0.01,0.024953,sgd,42,0.0000
910,2.457477,0.01,0.027912,sgd,42,0.0000
920,2.455151,0.01,0.024619,sgd,42,0.0000
930,2.465089,0.01,0.024448,sgd,42,0.0000
940,2.447113,0.01,0.026273,sgd,42,0.0000
950,2.456709,0.01,0.024806,sgd,42,0.0000
960,2.442650,0.01,0.024701,sgd,42,0.0000
970,2.442716,0.01,0.024860,sgd,42,0.0000
980,2.464860,0.01,0.024241,sgd,42,0.0000
990,2.425143,0.01,0.024337,sgd,42,0.0000
1000,2.468483,0.01,0.024728,sgd,42,0.0000
