step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,60.972144,0.003,0.087147,adafactor,42,120.0947,3.19807856e+02,3.22951635e+01,3.88260115e+00,1.21404183e-02,-5.42213828e-01,nan
20,34.739673,0.003,0.015997,adafactor,42,132.8994,3.19884037e+02,2.26127608e+01,3.88270767e+00,1.21378600e-02,-5.09386479e-01,nan
30,23.121140,0.003,0.016246,adafactor,42,132.8994,3.19947372e+02,2.26487064e+01,3.88263211e+00,1.21352211e-02,-5.08947668e-01,nan
40,18.237514,0.003,0.015783,adafactor,42,132.8994,3.20064242e+02,1.63690405e+01,3.88155652e+00,1.21274295e-02,-4.35646618e-01,nan
50,13.139198,0.003,0.016389,adafactor,42,132.8994,3.20148555e+02,2.10830220e+01,3.88049433e+00,1.21209178e-02,-4.09321360e-01,3.65678066e+02
60,13.636987,0.003,0.016096,adafactor,42,325.2686,3.20267987e+02,1.50240257e+01,3.87952656e+00,1.21133760e-02,-3.56119071e-01,nan
70,10.482066,0.003,0.016253,adafactor,42,325.2686,3.20370222e+02,1.20620442e+01,3.87476347e+00,1.20946430e-02,-2.98700560e-01,nan
80,10.238734,0.003,0.016228,adafactor,42,325.2686,3.20372434e+02,1.76906681e+01,3.87771403e+00,1.21037693e-02,-2.93990643e-01,nan
90,9.398902,0.003,0.016245,adafactor,42,325.2686,3.20433752e+02,1.13809947e+01,3.87091841e+00,1.20802456e-02,-3.07734415e-01,nan
100,8.258210,0.003,0.016038,adafactor,42,325.2686,3.20487436e+02,1.31445532e+01,3.87174396e+00,1.20807980e-02,-3.11638898e-01,2.33383565e+02
110,8.023770,0.003,0.016705,adafactor,42,325.2686,3.20533451e+02,1.68262139e+01,3.87162291e+00,1.20786860e-02,-2.46607586e-01,nan
120,7.763783,0.003,0.016032,adafactor,42,325.2686,3.20536614e+02,1.46503013e+01,3.86615428e+00,1.20615060e-02,-2.60118900e-01,nan
130,7.367531,0.003,0.016117,adafactor,42,325.2686,3.20537506e+02,1.27322737e+01,3.86551504e+00,1.20594781e-02,-2.55290329e-01,nan
140,6.276376,0.003,0.016000,adafactor,42,325.2686,3.20637562e+02,8.89599829e+00,3.85030873e+00,1.20082897e-02,-2.23161106e-01,nan
150,6.452291,0.003,0.016268,adafactor,42,325.2686,3.20722497e+02,1.40048555e+01,3.85896603e+00,1.20321027e-02,-2.38984524e-01,1.17459250e+02
160,6.549769,0.003,0.016213,adafactor,42,325.2686,3.20822809e+02,1.42826111e+01,3.85929397e+00,1.20293628e-02,-2.37235256e-01,nan
170,5.996079,0.003,0.016192,adafactor,42,325.2686,3.20747127e+02,1.26398489e+01,3.82996838e+00,1.19407722e-02,-2.46171368e-01,nan
180,5.872952,0.003,0.015898,adafactor,42,325.2686,3.20797003e+02,6.40340507e+00,3.77133531e+00,1.17561426e-02,-2.41121782e-01,nan
190,5.526312,0.003,0.016252,adafactor,42,325.2686,3.20801872e+02,6.94248910e+00,3.73695792e+00,1.16488034e-02,-1.97383309e-01,nan
200,5.625854,0.003,0.016873,adafactor,42,325.2686,3.20803435e+02,1.19051823e+01,3.68068234e+00,1.14733259e-02,-2.27456380e-01,9.26567892e+01
210,5.340324,0.003,0.016226,adafactor,42,325.2686,3.20697057e+02,1.08850984e+01,3.25469060e+00,1.01488009e-02,-2.91595347e-01,nan
220,5.128098,0.003,0.016058,adafactor,42,325.2686,3.20777285e+02,1.07742878e+01,3.23624121e+00,1.00887481e-02,-2.39385464e-01,nan
230,5.011257,0.003,0.016349,adafactor,42,325.2686,3.20772603e+02,7.05554494e+00,3.20334252e+00,9.98633451e-03,-2.16858832e-01,nan
240,5.151996,0.003,0.016040,adafactor,42,325.2686,3.20754412e+02,1.37455782e+01,3.22458257e+00,1.00531199e-02,-2.87788470e-01,nan
250,4.962748,0.003,0.016225,adafactor,42,325.2686,3.20668401e+02,6.95206657e+00,3.20799719e+00,1.00040951e-02,-2.12665080e-01,1.81144323e+02
260,4.823771,0.003,0.015958,adafactor,42,325.2686,3.20572420e+02,5.45702132e+00,3.19309990e+00,9.96061951e-03,-2.60563780e-01,nan
270,4.963289,0.003,0.016257,adafactor,42,325.2686,3.20514248e+02,1.14514485e+01,3.21877497e+00,1.00425332e-02,-2.28860350e-01,nan
280,4.953226,0.003,0.016240,adafactor,42,325.2686,3.20485829e+02,8.32243179e+00,3.21809111e+00,1.00412899e-02,-2.61083179e-01,nan
290,5.031817,0.003,0.016361,adafactor,42,325.2686,3.20462116e+02,7.41673787e+00,3.22515029e+00,1.00640610e-02,-2.79824227e-01,nan
300,4.656985,0.003,0.016030,adafactor,42,325.2686,3.20501763e+02,9.11896860e+00,3.21262702e+00,1.00237421e-02,-2.57435318e-01,3.69763139e+01
