step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,76.798739,0.01,0.046128,adafactor,42,0.0000
20,69.601171,0.01,0.047992,adafactor,42,0.0000
30,46.208587,0.01,0.049685,adafactor,42,0.0000
40,25.069958,0.01,0.045564,adafactor,42,0.0000
50,18.150041,0.01,0.048321,adafactor,42,0.0000
60,15.335697,0.01,0.048835,adafactor,42,0.0000
70,12.483626,0.01,0.049125,adafactor,42,0.0000
80,11.352024,0.01,0.049414,adafactor,42,0.0000
90,12.207450,0.01,0.047881,adafactor,42,0.0000
100,9.064988,0.01,0.048451,adafactor,42,0.0000
110,9.651171,0.01,0.046265,adafactor,42,0.0000
120,7.751196,0.01,0.047718,adafactor,42,0.0000
130,8.038808,0.01,0.046951,adafactor,42,0.0000
140,6.229340,0.01,0.049757,adafactor,42,0.0000
150,6.859410,0.01,0.048347,adafactor,42,0.0000
160,5.375125,0.01,0.048875,adafactor,42,0.0000
170,5.100443,0.01,0.047863,adafactor,42,0.0000
180,4.605357,0.01,0.050180,adafactor,42,0.0000
190,4.206720,0.01,0.046938,adafactor,42,0.0000
200,3.961719,0.01,0.048175,adafactor,42,0.0000
210,3.785224,0.01,0.048186,adafactor,42,0.0000
220,3.397493,0.01,0.048653,adafactor,42,0.0000
230,3.337856,0.01,0.048773,adafactor,42,0.0000
240,3.128104,0.01,0.048319,adafactor,42,0.0000
250,3.119351,0.01,0.047492,adafactor,42,0.0000
260,3.084987,0.01,0.050465,adafactor,42,0.0000
270,3.030050,0.01,0.047372,adafactor,42,0.0000
280,2.991519,0.01,0.047372,adafactor,42,0.0000
290,2.882805,0.01,0.045605,adafactor,42,0.0000
300,2.854973,0.01,0.046724,adafactor,42,0.0000
