step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,77.392255,0.001,0.036791,adamw,42,0.0000
20,11.323945,0.001,0.029523,adamw,42,0.0000
30,6.343403,0.001,0.029070,adamw,42,0.0000
40,4.338551,0.001,0.032475,adamw,42,0.0000
50,3.500384,0.001,0.028731,adamw,42,0.0000
60,3.207332,0.001,0.027690,adamw,42,0.0000
70,2.984308,0.001,0.033002,adamw,42,0.0000
80,2.833327,0.001,0.028233,adamw,42,0.0000
90,2.739538,0.001,0.028446,adamw,42,0.0000
100,2.617695,0.001,0.027984,adamw,42,0.0000
110,2.576877,0.001,0.029864,adamw,42,0.0000
120,2.547905,0.001,0.028144,adamw,42,0.0000
130,2.532729,0.001,0.027495,adamw,42,0.0000
140,2.482461,0.001,0.027287,adamw,42,0.0000
150,2.444979,0.001,0.029199,adamw,42,0.0000
160,2.413845,0.001,0.027072,adamw,42,0.0000
170,2.431542,0.001,0.026505,adamw,42,0.0000
180,2.378333,0.001,0.028980,adamw,42,0.0000
190,2.377389,0.001,0.030557,adamw,42,0.0000
200,2.367261,0.001,0.029591,adamw,42,0.0000
210,2.360193,0.001,0.029372,adamw,42,0.0000
220,2.335206,0.001,0.032432,adamw,42,0.0000
230,2.372697,0.001,0.029837,adamw,42,0.0000
240,2.361291,0.001,0.027211,adamw,42,0.0000
250,2.344580,0.001,0.026537,adamw,42,0.0000
260,2.359776,0.001,0.026314,adamw,42,0.0000
270,2.346086,0.001,0.026720,adamw,42,0.0000
280,2.332786,0.001,0.025856,adamw,42,0.0000
290,2.328985,0.001,0.026379,adamw,42,0.0000
300,2.328431,0.001,0.026581,adamw,42,0.0000
