step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,53.947931,0.0003,0.085012,rmsprop,42,126.4351,3.16209856e+02,2.93297694e+01,8.13584166e-01,2.57292475e-03,-5.74937587e-01,nan
20,12.834353,0.0003,0.007966,rmsprop,42,139.2397,3.14287902e+02,1.86572773e+01,4.59558875e-01,1.46222261e-03,-5.15072236e-01,nan
30,7.579269,0.0003,0.007946,rmsprop,42,139.2397,3.12757841e+02,2.04153080e+01,4.13869763e-01,1.32329140e-03,-5.50888630e-01,nan
40,5.614694,0.0003,0.007809,rmsprop,42,139.2397,3.11428465e+02,2.08123721e+01,3.91056347e-01,1.25568595e-03,-5.63190071e-01,nan
50,4.988805,0.0003,0.007723,rmsprop,42,139.2397,3.10227644e+02,3.74352583e+01,5.79568621e-01,1.86820431e-03,-6.09050001e-01,5.49386628e+02
60,5.130099,0.0003,0.008898,rmsprop,42,331.6089,3.09115714e+02,1.51946978e+01,3.11069012e-01,1.00631899e-03,-5.35659306e-01,nan
70,4.888412,0.0003,0.009356,rmsprop,42,331.6089,3.08070414e+02,1.33251143e+01,2.57831610e-01,8.36924281e-04,-5.06491865e-01,nan
80,4.208225,0.0003,0.008977,rmsprop,42,331.6089,3.07075935e+02,1.50929512e+01,2.76755788e-01,9.01261729e-04,-5.29886822e-01,nan
90,4.131902,0.0003,0.008588,rmsprop,42,331.6089,3.06122120e+02,2.27850750e+01,3.83357246e-01,1.25230168e-03,-5.91579919e-01,nan
100,3.877269,0.0003,0.009333,rmsprop,42,331.6089,3.05201830e+02,8.44230130e+00,2.01122343e-01,6.58981443e-04,-4.74153523e-01,4.52693558e+02
110,3.752859,0.0003,0.007813,rmsprop,42,331.6089,3.04308992e+02,3.04295221e+01,4.50175159e-01,1.47933571e-03,-5.89468546e-01,nan
120,3.960585,0.0003,0.008274,rmsprop,42,331.6089,3.03439520e+02,1.65795815e+01,2.71992025e-01,8.96363220e-04,-5.46009766e-01,nan
130,3.535815,0.0003,0.007886,rmsprop,42,331.6089,3.02590621e+02,1.42518406e+01,2.53487538e-01,8.37724373e-04,-5.30112621e-01,nan
140,3.626047,0.0003,0.008076,rmsprop,42,331.6089,3.01758684e+02,1.79341911e+01,3.00226406e-01,9.94922177e-04,-5.58751108e-01,nan
150,3.730680,0.0003,0.007758,rmsprop,42,331.6089,3.00942125e+02,1.49160619e+01,2.69524976e-01,8.95604017e-04,-5.37793684e-01,4.17746501e+02
160,3.528933,0.0003,0.007746,rmsprop,42,331.6089,3.00137440e+02,1.51902190e+01,2.67374785e-01,8.90841159e-04,-5.39435761e-01,nan
170,3.440422,0.0003,0.007876,rmsprop,42,331.6089,2.99344817e+02,2.36995859e+01,3.74999291e-01,1.25273354e-03,-5.68265464e-01,nan
180,3.565380,0.0003,0.007490,rmsprop,42,331.6089,2.98562460e+02,1.28009358e+01,2.56962199e-01,8.60664797e-04,-5.25837353e-01,nan
190,3.340897,0.0003,0.007694,rmsprop,42,331.6089,2.97788469e+02,1.32781494e+01,2.74331012e-01,9.21227786e-04,-5.43867100e-01,nan
200,3.329056,0.0003,0.007619,rmsprop,42,331.6089,2.97023357e+02,8.73934067e+00,2.11358970e-01,7.11590401e-04,-4.99671971e-01,5.41625904e+02
210,3.102429,0.0003,0.007780,rmsprop,42,331.6089,2.96263938e+02,1.12998378e+01,2.38844506e-01,8.06188251e-04,-5.09491272e-01,nan
220,3.295226,0.0003,0.008235,rmsprop,42,331.6089,2.95511776e+02,9.93777627e+00,2.53396583e-01,8.57483877e-04,-5.18236990e-01,nan
230,3.268508,0.0003,0.007639,rmsprop,42,331.6089,2.94765901e+02,1.34904569e+01,2.82164772e-01,9.57250383e-04,-5.19419907e-01,nan
240,3.257397,0.0003,0.007647,rmsprop,42,331.6089,2.94024568e+02,1.80006071e+01,3.36918793e-01,1.14588653e-03,-5.53695493e-01,nan
250,3.173735,0.0003,0.007702,rmsprop,42,331.6089,2.93288679e+02,1.36082192e+01,2.68925009e-01,9.16929389e-04,-5.20574748e-01,3.27505640e+02
260,3.240031,0.0003,0.007752,rmsprop,42,331.6089,2.92557074e+02,1.30569678e+01,2.97166228e-01,1.01575472e-03,-5.50206112e-01,nan
270,3.443265,0.0003,0.007746,rmsprop,42,331.6089,2.91830478e+02,1.55793389e+01,3.28484840e-01,1.12560155e-03,-5.42482331e-01,nan
280,3.187887,0.0003,0.007615,rmsprop,42,331.6089,2.91106302e+02,1.54950898e+01,2.89093202e-01,9.93084659e-04,-5.29383550e-01,nan
290,3.310943,0.0003,0.007732,rmsprop,42,331.6089,2.90386685e+02,1.27676827e+01,2.63334939e-01,9.06842333e-04,-5.14084602e-01,nan
300,3.183148,0.0003,0.008418,rmsprop,42,331.6089,2.89670419e+02,9.69896766e+00,2.52183914e-01,8.70589119e-04,-4.99751163e-01,5.44825072e+02
