step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,63.765033,0.01,0.091830,adafactor,1,120.0947,3.20692954e+02,2.87619351e+01,1.29421424e+01,4.03568031e-02,-3.97977705e-01,nan,6.28502870e+01,4.85165195e+08,4.99877930e-02,9.32919730e-01,-9.14746380e-01
20,52.960909,0.01,0.016199,adafactor,1,132.8994,3.23318895e+02,1.23066995e+01,1.29421631e+01,4.00290960e-02,-3.87397990e-01,nan,5.67016492e+01,4.85165195e+08,5.86547852e-02,9.11683463e-01,3.74074011e+00
30,35.538922,0.01,0.015780,adafactor,1,132.8994,3.25673887e+02,1.91203740e+01,1.29390906e+01,3.97302060e-02,-2.56051427e-01,nan,2.79097135e+01,4.85165195e+08,3.44848633e-02,4.46979014e-01,-7.62920842e+00
40,22.284701,0.01,0.015988,adafactor,1,132.8994,3.27805922e+02,2.02690864e+01,1.29348387e+01,3.94588316e-02,-1.93962654e-01,nan,1.52691528e+01,4.27866995e+06,1.84692383e-01,6.62004247e-01,-7.01554859e+00
50,15.562960,0.01,0.015489,adafactor,1,132.8994,3.29986369e+02,1.20684928e+01,1.29074359e+01,3.91150576e-02,-1.59680534e-01,8.78812012e+01,1.52314118e+01,4.12019815e+06,1.39404297e-01,6.31151122e-01,-3.31548429e-01
60,15.325259,0.01,0.015651,adafactor,1,325.2686,3.32125303e+02,2.30707076e+01,1.28672347e+01,3.87421089e-02,-1.62251788e-01,nan,1.66258974e+01,1.66163450e+07,9.42993164e-02,4.32538193e-01,1.30063791e+00
70,11.746422,0.01,0.015735,adafactor,1,325.2686,3.33854646e+02,7.07011117e+00,1.28175689e+01,3.83926628e-02,-1.48738683e-01,nan,1.10068096e+01,6.02832516e+04,1.07238770e-01,4.71607831e-01,-7.39612031e-01
80,11.371325,0.01,0.015424,adafactor,1,325.2686,3.36139873e+02,1.25109475e+01,1.28421334e+01,3.82047310e-02,-1.41039976e-01,nan,1.06052605e+01,4.03465227e+04,8.66699219e-02,3.85786633e-01,-7.66064525e-01
90,9.978367,0.01,0.016369,adafactor,1,325.2686,3.37996612e+02,9.69018336e+00,1.28266381e+01,3.79490137e-02,-1.22045577e-01,nan,9.36775863e+00,1.17048508e+04,1.17431641e-01,3.86061693e-01,-6.10608220e-01
100,8.605494,0.01,0.015986,adafactor,1,325.2686,3.40354172e+02,8.16239770e+00,1.27546173e+01,3.74745437e-02,-1.44303292e-01,8.25887022e+01,9.31276834e+00,1.10785750e+04,1.14868164e-01,2.70159101e-01,7.07273889e-01
110,7.073907,0.01,0.015190,adafactor,1,325.2686,3.42519939e+02,5.77487943e+00,1.26605090e+01,3.69628378e-02,-9.70676877e-02,nan,4.67088574e+00,1.06792291e+02,2.41394043e-01,2.86939473e-01,-2.40302135e+00
120,7.101901,0.01,0.015507,adafactor,1,325.2686,3.44981234e+02,8.78080768e+00,1.27349090e+01,3.69147876e-02,-1.12705281e-01,nan,7.21840012e+00,1.36430459e+03,1.56860352e-01,1.79202032e-01,1.16499305e-01
130,5.343754,0.01,0.016011,adafactor,1,325.2686,3.47986328e+02,4.73234076e+00,1.26339134e+01,3.63057752e-02,-1.16678051e-01,nan,5.02605760e+00,1.52331277e+02,1.40258789e-01,3.27590989e-01,-3.17696643e-01
140,5.366837,0.01,0.015456,adafactor,1,325.2686,3.50202364e+02,6.29047192e+00,1.26298158e+01,3.60643362e-02,-8.53012874e-02,nan,4.35312867e+00,7.77212472e+01,2.50671387e-01,2.75984160e-01,-1.01370859e+00
150,4.594188,0.01,0.015899,adafactor,1,325.2686,3.53433011e+02,6.17978783e+00,1.26014816e+01,3.56545122e-02,-9.51124348e-02,8.17015919e+01,4.52953720e+00,9.27156424e+01,1.70104980e-01,1.70250381e-01,-6.46505594e-02
160,4.305319,0.01,0.015263,adafactor,1,325.2686,3.57698909e+02,2.89208165e+00,1.23461790e+01,3.45155624e-02,-8.58293109e-02,nan,4.58093041e+00,9.76051650e+01,1.23962402e-01,2.07520821e-01,2.75611746e-01
