step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,69.397085,0.01,0.097061,adafactor,2,120.0947,3.19522312e+02,3.30015166e+01,1.29422547e+01,4.05050109e-02,-3.87152005e-01,nan
20,47.486760,0.01,0.016466,adafactor,2,132.8994,3.22285241e+02,2.83304837e+01,1.29419308e+01,4.01567590e-02,-2.75939494e-01,nan
30,36.831728,0.01,0.016061,adafactor,2,132.8994,3.24842600e+02,1.68309318e+01,1.29381723e+01,3.98290504e-02,-2.71212174e-01,nan
40,28.509010,0.01,0.016219,adafactor,2,132.8994,3.27090191e+02,1.81933121e+01,1.29367337e+01,3.95509680e-02,-1.92365047e-01,nan
50,19.337234,0.01,0.016702,adafactor,2,132.8994,3.29160421e+02,1.30289602e+01,1.29150511e+01,3.92363427e-02,-1.90579383e-01,1.26376819e+01
60,14.592028,0.01,0.016167,adafactor,2,325.2686,3.30977307e+02,1.68431391e+01,1.29003916e+01,3.89766649e-02,-1.36154507e-01,nan
70,12.243350,0.01,0.016320,adafactor,2,325.2686,3.33601535e+02,9.07237820e+00,1.28470641e+01,3.85102067e-02,-1.18986540e-01,nan
80,10.756407,0.01,0.016192,adafactor,2,325.2686,3.35668922e+02,9.80227738e+00,1.28711873e+01,3.83448882e-02,-1.47973315e-01,nan
90,10.379077,0.01,0.016901,adafactor,2,325.2686,3.37302714e+02,8.65500975e+00,1.27837814e+01,3.79000254e-02,-1.08100075e-01,nan
100,7.770531,0.01,0.016339,adafactor,2,325.2686,3.39440455e+02,6.33123928e+00,1.27505606e+01,3.75634678e-02,-1.03553009e-01,5.64499999e+01
110,7.129694,0.01,0.016672,adafactor,2,325.2686,3.41565562e+02,1.20268464e+01,1.27355904e+01,3.72859323e-02,-9.14197253e-02,nan
120,6.884506,0.01,0.016601,adafactor,2,325.2686,3.44132002e+02,5.82190682e+00,1.26315370e+01,3.67054993e-02,-7.56975842e-02,nan
130,5.169416,0.01,0.016312,adafactor,2,325.2686,3.47433958e+02,7.01074647e+00,1.26495783e+01,3.64085835e-02,-7.42005469e-02,nan
140,5.531770,0.01,0.016520,adafactor,2,325.2686,3.50875409e+02,4.04599715e+00,1.25723378e+01,3.58313448e-02,-8.41551638e-02,nan
150,4.787116,0.01,0.016294,adafactor,2,325.2686,3.53697222e+02,5.94358376e+00,1.24945603e+01,3.53255822e-02,-6.51409717e-02,3.21898465e+01
160,4.308572,0.01,0.016123,adafactor,2,325.2686,3.56705491e+02,3.23224566e+00,1.24897859e+01,3.50142799e-02,-8.51009576e-02,nan
170,3.813712,0.01,0.016228,adafactor,2,325.2686,3.61062862e+02,3.95337426e+00,1.22267590e+01,3.38632417e-02,-8.60072812e-02,nan
180,3.868390,0.01,0.016428,adafactor,2,325.2686,3.65724530e+02,3.64757170e+00,1.22947755e+01,3.36175851e-02,-6.87227246e-02,nan
190,3.643314,0.01,0.016601,adafactor,2,325.2686,3.71684850e+02,5.29201440e+00,1.23383205e+01,3.31956508e-02,-5.95265127e-02,nan
200,3.314995,0.01,0.016390,adafactor,2,325.2686,3.77990878e+02,3.21126024e+00,1.19117475e+01,3.15133201e-02,-6.92501926e-02,4.79297010e+01
210,3.425632,0.01,0.016446,adafactor,2,325.2686,3.85467927e+02,3.11239103e+00,1.21493304e+01,3.15183952e-02,-5.70765664e-02,nan
220,3.160938,0.01,0.016172,adafactor,2,325.2686,3.93505919e+02,3.24781689e+00,1.20668036e+01,3.06648591e-02,-6.06489168e-02,nan
230,3.111653,0.01,0.016930,adafactor,2,325.2686,4.01329489e+02,2.33023669e+00,1.21166188e+01,3.01912000e-02,-6.24058680e-02,nan
240,3.018005,0.01,0.016642,adafactor,2,325.2686,4.10830558e+02,3.17228813e+00,1.21347711e+01,2.95371678e-02,-6.37777784e-02,nan
250,3.009290,0.01,0.016597,adafactor,2,325.2686,4.20120385e+02,4.60684548e+00,1.21989979e+01,2.90369103e-02,-6.10622908e-02,4.00937103e+01
260,2.962404,0.01,0.016479,adafactor,2,325.2686,4.30018527e+02,4.41717704e+00,1.20435967e+01,2.80071578e-02,-5.14993132e-02,nan
270,2.928388,0.01,0.016176,adafactor,2,325.2686,4.40149200e+02,4.27440889e+00,1.19384853e+01,2.71237237e-02,-4.23180417e-02,nan
