step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,71.406047,0.01,0.043563,adafactor,3,0.0000
20,58.895764,0.01,0.047278,adafactor,3,0.0000
30,43.432574,0.01,0.057763,adafactor,3,0.0000
40,28.211394,0.01,0.055566,adafactor,3,0.0000
50,24.432553,0.01,0.052736,adafactor,3,0.0000
60,14.975956,0.01,0.054208,adafactor,3,0.0000
70,13.690927,0.01,0.053953,adafactor,3,0.0000
80,10.682672,0.01,0.054566,adafactor,3,0.0000
90,8.715504,0.01,0.055425,adafactor,3,0.0000
100,9.472707,0.01,0.054159,adafactor,3,0.0000
110,8.830265,0.01,0.052020,adafactor,3,0.0000
120,7.923148,0.01,0.053863,adafactor,3,0.0000
130,5.983438,0.01,0.049595,adafactor,3,0.0000
140,5.750985,0.01,0.050120,adafactor,3,0.0000
150,5.210868,0.01,0.050206,adafactor,3,0.0000
160,4.495104,0.01,0.049535,adafactor,3,0.0000
170,4.146315,0.01,0.049685,adafactor,3,0.0000
180,4.085140,0.01,0.050360,adafactor,3,0.0000
190,3.588653,0.01,0.052910,adafactor,3,0.0000
200,3.613736,0.01,0.053199,adafactor,3,0.0000
210,3.334313,0.01,0.054855,adafactor,3,0.0000
220,3.287262,0.01,0.056147,adafactor,3,0.0000
230,3.118193,0.01,0.058042,adafactor,3,0.0000
240,2.960673,0.01,0.056664,adafactor,3,0.0000
250,3.007947,0.01,0.053315,adafactor,3,0.0000
260,2.914218,0.01,0.054061,adafactor,3,0.0000
270,2.866818,0.01,0.055269,adafactor,3,0.0000
280,2.841464,0.01,0.055654,adafactor,3,0.0000
290,2.812181,0.01,0.052229,adafactor,3,0.0000
300,2.792282,0.01,0.052420,adafactor,3,0.0000
310,2.753997,0.01,0.051711,adafactor,3,0.0000
320,2.759710,0.01,0.053157,adafactor,3,0.0000
330,2.717689,0.01,0.053587,adafactor,3,0.0000
340,2.695257,0.01,0.055222,adafactor,3,0.0000
350,2.663757,0.01,0.054410,adafactor,3,0.0000
360,2.658598,0.01,0.052962,adafactor,3,0.0000
370,2.641945,0.01,0.055152,adafactor,3,0.0000
380,2.629339,0.01,0.053374,adafactor,3,0.0000
390,2.644502,0.01,0.051388,adafactor,3,0.0000
400,2.559904,0.01,0.051984,adafactor,3,0.0000
410,2.593238,0.01,0.052491,adafactor,3,0.0000
420,2.617726,0.01,0.053589,adafactor,3,0.0000
430,2.598472,0.01,0.051390,adafactor,3,0.0000
440,2.566430,0.01,0.051285,adafactor,3,0.0000
450,2.570306,0.01,0.050846,adafactor,3,0.0000
460,2.550077,0.01,0.048950,adafactor,3,0.0000
470,2.517814,0.01,0.049925,adafactor,3,0.0000
480,2.529739,0.01,0.049060,adafactor,3,0.0000
490,2.502783,0.01,0.050119,adafactor,3,0.0000
500,2.520578,0.01,0.048461,adafactor,3,0.0000
510,2.541446,0.01,0.048172,adafactor,3,0.0000
520,2.487542,0.01,0.046964,adafactor,3,0.0000
530,2.507393,0.01,0.046542,adafactor,3,0.0000
540,2.508390,0.01,0.045410,adafactor,3,0.0000
550,2.506069,0.01,0.045315,adafactor,3,0.0000
560,2.468511,0.01,0.043707,adafactor,3,0.0000
570,2.513785,0.01,0.046660,adafactor,3,0.0000
580,2.494396,0.01,0.043808,adafactor,3,0.0000
590,2.442998,0.01,0.044051,adafactor,3,0.0000
600,2.495115,0.01,0.044433,adafactor,3,0.0000
610,2.451966,0.01,0.043374,adafactor,3,0.0000
620,2.471227,0.01,0.044902,adafactor,3,0.0000
630,2.456511,0.01,0.043846,adafactor,3,0.0000
640,2.471370,0.01,0.042370,adafactor,3,0.0000
650,2.447779,0.01,0.042566,adafactor,3,0.0000
660,2.442186,0.01,0.042494,adafactor,3,0.0000
670,2.421626,0.01,0.043323,adafactor,3,0.0000
680,2.446441,0.01,0.043588,adafactor,3,0.0000
690,2.432968,0.01,0.042866,adafactor,3,0.0000
700,2.445870,0.01,0.044126,adafactor,3,0.0000
710,2.413646,0.01,0.044184,adafactor,3,0.0000
720,2.430718,0.01,0.045253,adafactor,3,0.0000
730,2.418904,0.01,0.042397,adafactor,3,0.0000
740,2.376184,0.01,0.042753,adafactor,3,0.0000
750,2.438432,0.01,0.042951,adafactor,3,0.0000
760,2.424293,0.01,0.043200,adafactor,3,0.0000
770,2.466977,0.01,0.042205,adafactor,3,0.0000
780,2.429783,0.01,0.043315,adafactor,3,0.0000
790,2.409109,0.01,0.041465,adafactor,3,0.0000
