step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,75.504283,0.001,0.078674,adamw,1,132.8374,3.18578668e+02,3.75824443e+01,6.39452108e-01,2.00720316e-03,-2.32121363e-01,nan,1.59283421e+01,8.27162966e+06,7.70263672e-02,6.50078788e-01,-5.95759410e+01
20,10.547220,0.001,0.007832,adamw,1,145.6421,3.18675937e+02,1.52456996e+01,3.07238283e-01,9.64108824e-04,-1.25441926e-01,nan,7.25642753e+00,1.41718463e+03,1.67846680e-01,4.14437063e-01,-3.29079256e+00
30,5.562864,0.001,0.007928,adamw,1,145.6421,3.18698587e+02,1.07358672e+01,2.00895410e-01,6.30361783e-04,-1.97642803e-01,nan,4.17687935e+00,6.51621870e+01,2.12219238e-01,2.95910165e-01,-1.38598443e+00
40,3.917410,0.001,0.007779,adamw,1,145.6421,3.18679727e+02,6.15088298e+00,1.51181778e-01,4.74400362e-04,-1.41410610e-01,nan,3.47469845e+00,3.22880907e+01,2.34924316e-01,1.22940134e-01,-4.42711443e-01
50,3.351202,0.001,0.007903,adamw,1,145.6421,3.18650234e+02,3.99053095e+00,1.08915286e-01,3.41801997e-04,-2.07891793e-01,3.03004264e+02,3.11201146e+00,2.24661889e+01,2.57751465e-01,1.13255979e-01,-2.39190310e-01
60,3.071168,0.001,0.007514,adamw,1,338.0112,3.18616299e+02,2.72961393e+00,9.38366212e-02,2.94512934e-04,-1.73123998e-01,nan,2.89746401e+00,1.81281143e+01,2.81005859e-01,6.75043124e-02,-1.73704487e-01
70,2.873961,0.001,0.007661,adamw,1,338.0112,3.18580231e+02,1.79069597e+00,8.30468923e-02,2.60678109e-04,-1.27899850e-01,nan,2.78032836e+00,1.61243147e+01,2.88696289e-01,6.96299078e-02,-9.36326563e-02
80,2.810107,0.001,0.007738,adamw,1,338.0112,3.18541748e+02,1.08745193e+00,7.70919486e-02,2.42015212e-04,-1.61279947e-01,nan,2.70337820e+00,1.49300834e+01,2.89428711e-01,2.18540663e-02,-1.06729150e-01
90,2.691063,0.001,0.007811,adamw,1,338.0112,3.18503089e+02,1.59924767e+00,7.03579029e-02,2.20901791e-04,-1.64893671e-01,nan,2.63721526e+00,1.39742347e+01,2.99194336e-01,1.81292316e-02,-5.38473129e-02
100,2.643200,0.001,0.007908,adamw,1,338.0112,3.18465116e+02,1.62294471e+00,6.54528805e-02,2.05526060e-04,-1.23729755e-01,2.61300794e+02,2.60291716e+00,1.35030713e+01,2.95227051e-01,2.05920029e-02,-4.02827561e-02
110,2.584525,0.001,0.007539,adamw,1,338.0112,3.18427380e+02,1.93682489e+00,6.67516862e-02,2.09629229e-04,-1.63635003e-01,nan,2.57183573e+00,1.30898317e+01,3.01696777e-01,1.44272854e-02,-1.26895964e-02
120,2.538829,0.001,0.007597,adamw,1,338.0112,3.18390427e+02,2.04075747e+00,5.85850251e-02,1.84003726e-04,-1.61741145e-01,nan,2.53249839e+00,1.25849089e+01,3.03039551e-01,2.86663609e-02,-6.33060336e-03
130,2.506307,0.001,0.008017,adamw,1,338.0112,3.18354064e+02,1.60989648e+00,6.01524728e-02,1.88948343e-04,-1.74431976e-01,nan,2.50882828e+00,1.22905206e+01,3.02001953e-01,1.77681036e-02,2.52084732e-03
140,2.479056,0.001,0.007675,adamw,1,338.0112,3.18317395e+02,2.30340904e+00,6.28095134e-02,1.97317251e-04,-2.20586334e-01,nan,2.48103267e+00,1.19536022e+01,3.02124023e-01,1.49967793e-02,1.97716951e-03
150,2.472065,0.001,0.007736,adamw,1,338.0112,3.18282267e+02,2.08633634e+00,6.26335702e-02,1.96786239e-04,-1.70271163e-01,2.49364283e+02,2.46938893e+00,1.18152247e+01,3.00964355e-01,2.78966221e-02,-2.67584920e-03
160,2.423993,0.001,0.007507,adamw,1,338.0112,3.18247394e+02,2.10615080e+00,5.98646511e-02,1.88107278e-04,-2.00639804e-01,nan,2.43896970e+00,1.14612262e+01,3.09875488e-01,1.82979544e-02,1.49769247e-02
170,2.405168,0.001,0.007876,adamw,1,338.0112,3.18212194e+02,2.94069453e+00,6.39687612e-02,2.01025487e-04,-2.72793955e-01,nan,2.44857848e+00,1.15718853e+01,3.02612305e-01,1.75660688e-02,4.34106350e-02
180,2.412147,0.001,0.008017,adamw,1,338.0112,3.18174636e+02,1.65893796e+00,5.71504099e-02,1.79619629e-04,-1.37800047e-01,nan,2.41585860e+00,1.11993820e+01,3.01391602e-01,2.25256318e-02,3.71176600e-03
190,2.359134,0.001,0.007648,adamw,1,338.0112,3.18136801e+02,1.56627665e+00,5.26929050e-02,1.65629707e-04,-9.37098141e-02,nan,2.40001270e+00,1.10233164e+01,3.07128906e-01,3.15987292e-02,4.08786237e-02
200,2.367504,0.001,0.007655,adamw,1,338.0112,3.18099728e+02,1.71207232e+00,5.67492989e-02,1.78400966e-04,-2.88899498e-01,2.31233395e+02,2.39458826e+00,1.09636830e+01,3.08349609e-01,2.11557605e-02,2.70841897e-02
210,2.395753,0.001,0.007519,adamw,1,338.0112,3.18062847e+02,3.24644528e+00,6.13667473e-02,1.92939062e-04,-1.87738166e-01,nan,2.38656005e+00,1.08760166e+01,3.17077637e-01,2.81515429e-02,-9.19249654e-03
