step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,72.238114,0.001,0.086113,adamw,3,132.8374,3.17457301e+02,3.00394194e+01,6.23654718e-01,1.96453103e-03,-1.85119994e-01,nan
20,10.554482,0.001,0.007580,adamw,3,145.6421,3.17549368e+02,2.77752938e+01,3.13690842e-01,9.87849052e-04,-1.38521281e-01,nan
30,5.691315,0.001,0.007715,adamw,3,145.6421,3.17574228e+02,1.44885291e+01,1.89812429e-01,5.97694689e-04,-1.98475691e-01,nan
40,4.356353,0.001,0.007742,adamw,3,145.6421,3.17558058e+02,5.60757055e+00,1.46806929e-01,4.62299492e-04,-2.85758993e-01,nan
50,3.673938,0.001,0.007507,adamw,3,145.6421,3.17527494e+02,3.17577556e+00,1.16789032e-01,3.67807619e-04,-9.12712753e-02,2.35243924e+02
60,3.328267,0.001,0.007938,adamw,3,338.0112,3.17492982e+02,2.50162903e+00,1.00527755e-01,3.16629851e-04,-1.58153047e-01,nan
70,3.126715,0.001,0.007567,adamw,3,338.0112,3.17456964e+02,1.88706676e+00,9.44790048e-02,2.97612009e-04,-1.71484331e-01,nan
80,2.875937,0.001,0.007610,adamw,3,338.0112,3.17419097e+02,1.92829854e+00,8.93466470e-02,2.81478486e-04,-9.24654169e-02,nan
90,2.776756,0.001,0.007682,adamw,3,338.0112,3.17380409e+02,1.75110237e+00,7.94820574e-02,2.50431517e-04,-1.31485710e-01,nan
100,2.714396,0.001,0.007866,adamw,3,338.0112,3.17343043e+02,2.17897404e+00,7.32011866e-02,2.30668950e-04,-1.79485540e-01,2.08270913e+02
110,2.661117,0.001,0.007663,adamw,3,338.0112,3.17305533e+02,2.33047889e+00,7.21258184e-02,2.27307156e-04,-1.83039728e-01,nan
120,2.568715,0.001,0.007817,adamw,3,338.0112,3.17267590e+02,1.95111947e+00,6.57109788e-02,2.07115321e-04,-1.81243892e-01,nan
130,2.512153,0.001,0.007645,adamw,3,338.0112,3.17230431e+02,2.46128455e+00,6.37277678e-02,2.00887940e-04,-1.42880559e-01,nan
140,2.493422,0.001,0.007625,adamw,3,338.0112,3.17192410e+02,2.06743852e+00,6.10831164e-02,1.92574332e-04,-1.35654717e-01,nan
150,2.437512,0.001,0.007550,adamw,3,338.0112,3.17156521e+02,1.89895468e+00,5.82300144e-02,1.83600243e-04,-1.37877456e-01,2.00630242e+02
160,2.403356,0.001,0.007780,adamw,3,338.0112,3.17120284e+02,1.77143039e+00,5.86704374e-02,1.85010043e-04,-2.02311450e-01,nan
170,2.430452,0.001,0.007599,adamw,3,338.0112,3.17084398e+02,2.79475592e+00,5.84117027e-02,1.84215001e-04,-1.45242128e-01,nan
180,2.408625,0.001,0.007698,adamw,3,338.0112,3.17047509e+02,1.55659418e+00,6.03414457e-02,1.90323040e-04,-2.90512925e-01,nan
190,2.394282,0.001,0.007818,adamw,3,338.0112,3.17010747e+02,2.20147237e+00,6.44460210e-02,2.03292859e-04,-2.46723938e-01,nan
200,2.410879,0.001,0.007733,adamw,3,338.0112,3.16975890e+02,2.56503918e+00,7.08269195e-02,2.23445763e-04,-3.37312963e-01,1.73054169e+02
210,2.363054,0.001,0.007600,adamw,3,338.0112,3.16940011e+02,2.66085698e+00,5.93420226e-02,1.87234242e-04,-2.14913760e-01,nan
220,2.370745,0.001,0.007750,adamw,3,338.0112,3.16904231e+02,2.29922267e+00,5.87248858e-02,1.85307989e-04,-1.63440757e-01,nan
230,2.365387,0.001,0.007659,adamw,3,338.0112,3.16867715e+02,1.86758545e+00,5.87785755e-02,1.85498783e-04,-1.61656728e-01,nan
240,2.330476,0.001,0.007523,adamw,3,338.0112,3.16833033e+02,2.30736254e+00,6.69673826e-02,2.11364901e-04,-1.80908474e-01,nan
250,2.347061,0.001,0.007825,adamw,3,338.0112,3.16797592e+02,1.84997255e+00,6.40335145e-02,2.02127529e-04,-9.81914785e-02,2.03761932e+02
260,2.320520,0.001,0.007907,adamw,3,338.0112,3.16763011e+02,2.72032420e+00,6.56525664e-02,2.07260836e-04,-2.82938346e-01,nan
270,2.325478,0.001,0.007697,adamw,3,338.0112,3.16728255e+02,2.88471984e+00,6.98541726e-02,2.20549230e-04,-2.42540952e-01,nan
280,2.298100,0.001,0.007831,adamw,3,338.0112,3.16693681e+02,2.02661421e+00,6.68535059e-02,2.11098326e-04,-1.86803676e-01,nan
290,2.321560,0.001,0.007456,adamw,3,338.0112,3.16658831e+02,1.89522003e+00,7.10119455e-02,2.24253798e-04,-2.60006041e-01,nan
300,2.298629,0.001,0.007774,adamw,3,338.0112,3.16624304e+02,1.65452035e+00,7.38011029e-02,2.33087297e-04,-2.63704345e-01,2.07271078e+02
310,2.309256,0.001,0.007820,adamw,3,338.0112,3.16588420e+02,2.75319245e+00,7.44770161e-02,2.35248706e-04,-2.27856284e-01,nan
320,2.329589,0.001,0.007609,adamw,3,338.0112,3.16552996e+02,2.44292639e+00,7.26548122e-02,2.29518637e-04,-1.35855107e-01,nan
330,2.305120,0.001,0.007865,adamw,3,338.0112,3.16518199e+02,3.33641733e+00,8.31571383e-02,2.62724667e-04,-3.38005990e-01,nan
340,2.295597,0.001,0.007681,adamw,3,338.0112,3.16484516e+02,1.63302989e+00,7.58183002e-02,2.39564011e-04,-2.00497942e-01,nan
350,2.281335,0.001,0.007628,adamw,3,338.0112,3.16449980e+02,1.98901504e+00,6.85752184e-02,2.16701604e-04,-1.24314359e-01,2.23132601e+02
360,2.293632,0.001,0.007784,adamw,3,338.0112,3.16415762e+02,2.85977916e+00,7.94309042e-02,2.51033336e-04,-3.17328565e-01,nan
370,2.276905,0.001,0.007649,adamw,3,338.0112,3.16381351e+02,2.32208945e+00,8.98493011e-02,2.83990509e-04,-2.51957012e-01,nan
380,2.271194,0.001,0.007599,adamw,3,338.0112,3.16348233e+02,2.49609266e+00,8.16198785e-02,2.58006431e-04,-3.07048627e-01,nan
390,2.280580,0.001,0.007723,adamw,3,338.0112,3.16313431e+02,2.87309347e+00,8.30863360e-02,2.62670908e-04,-2.85030392e-01,nan
400,2.241981,0.001,0.007583,adamw,3,338.0112,3.16280108e+02,2.39484330e+00,7.95040894e-02,2.51372398e-04,-9.57065124e-02,2.24443997e+02
410,2.281753,0.001,0.007663,adamw,3,338.0112,3.16245756e+02,1.76573022e+00,8.13277259e-02,2.57166221e-04,-1.23732850e-01,nan
