step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig
10,82.122036,0.0001,0.079055,rmsprop,1,126.4351,3.17149275e+02,1.79878720e+01,2.66577755e-01,8.40543480e-04,-6.53498860e-01,nan
20,21.211998,0.0001,0.008945,rmsprop,1,139.2397,3.16516651e+02,1.37530590e+01,1.81616494e-01,5.73797600e-04,-6.56382951e-01,nan
30,13.402014,0.0001,0.008808,rmsprop,1,139.2397,3.16011606e+02,1.48816874e+01,1.44779232e-01,4.58145301e-04,-6.15200113e-01,nan
40,9.821283,0.0001,0.008387,rmsprop,1,139.2397,3.15570352e+02,1.13708002e+01,1.37734398e-01,4.36461782e-04,-6.53012749e-01,nan
50,7.651054,0.0001,0.008477,rmsprop,1,139.2397,3.15168163e+02,1.66594784e+01,1.33958473e-01,4.25038085e-04,-6.32898881e-01,6.72312134e+02
60,6.336558,0.0001,0.008787,rmsprop,1,331.6089,3.14792167e+02,1.28736605e+01,1.27757188e-01,4.05846147e-04,-6.52814763e-01,nan
70,5.500696,0.0001,0.009122,rmsprop,1,331.6089,3.14435253e+02,8.92147688e+00,8.60743427e-02,2.73742660e-04,-5.46562787e-01,nan
80,4.948096,0.0001,0.007970,rmsprop,1,331.6089,3.14092971e+02,7.58131037e+00,8.78513893e-02,2.79698680e-04,-5.83024852e-01,nan
90,4.655756,0.0001,0.007857,rmsprop,1,331.6089,3.13762821e+02,4.83754211e+00,7.06219610e-02,2.25080718e-04,-5.16546871e-01,nan
100,4.396969,0.0001,0.007815,rmsprop,1,331.6089,3.13442313e+02,9.75467792e+00,1.04183997e-01,3.32386511e-04,-6.47558935e-01,3.88593618e+02
110,4.162011,0.0001,0.008099,rmsprop,1,331.6089,3.13129807e+02,6.08579092e+00,7.47013513e-02,2.38563528e-04,-5.52752297e-01,nan
120,3.966509,0.0001,0.008439,rmsprop,1,331.6089,3.12823948e+02,1.11748374e+01,1.00174897e-01,3.20227711e-04,-6.19884590e-01,nan
130,3.824782,0.0001,0.007860,rmsprop,1,331.6089,3.12523679e+02,1.07994758e+01,9.45515103e-02,3.02541909e-04,-6.09190230e-01,nan
140,3.720265,0.0001,0.007911,rmsprop,1,331.6089,3.12228138e+02,1.48041732e+01,1.15225007e-01,3.69041074e-04,-6.41759292e-01,nan
150,3.667244,0.0001,0.007956,rmsprop,1,331.6089,3.11936807e+02,7.79393605e+00,8.01573049e-02,2.56966485e-04,-5.70628348e-01,6.15188253e+02
160,3.550068,0.0001,0.007936,rmsprop,1,331.6089,3.11648997e+02,1.16161991e+01,9.59429180e-02,3.07855693e-04,-5.99826243e-01,nan
170,3.499075,0.0001,0.007880,rmsprop,1,331.6089,3.11364174e+02,1.17660452e+01,1.00648458e-01,3.23249962e-04,-6.10379254e-01,nan
180,3.421410,0.0001,0.008224,rmsprop,1,331.6089,3.11082152e+02,1.35012284e+01,1.10025522e-01,3.53686387e-04,-6.23717491e-01,nan
190,3.364632,0.0001,0.007913,rmsprop,1,331.6089,3.10802457e+02,1.27748393e+01,1.10263049e-01,3.54768910e-04,-6.17871561e-01,nan
200,3.316731,0.0001,0.008221,rmsprop,1,331.6089,3.10525036e+02,8.66157991e+00,8.16195432e-02,2.62843680e-04,-5.61829965e-01,6.40343459e+02
210,3.260907,0.0001,0.008289,rmsprop,1,331.6089,3.10249239e+02,1.20068330e+01,1.09254912e-01,3.52152070e-04,-6.18467451e-01,nan
220,3.282884,0.0001,0.008012,rmsprop,1,331.6089,3.09975200e+02,6.06866479e+00,7.07613116e-02,2.28280558e-04,-5.22878009e-01,nan
230,3.128987,0.0001,0.008543,rmsprop,1,331.6089,3.09702781e+02,9.21224265e+00,8.31922843e-02,2.68619752e-04,-5.59399496e-01,nan
240,3.104043,0.0001,0.008013,rmsprop,1,331.6089,3.09431524e+02,1.02860270e+01,9.06828472e-02,2.93062730e-04,-5.77281272e-01,nan
250,3.112507,0.0001,0.007921,rmsprop,1,331.6089,3.09161414e+02,1.04427482e+01,9.40620546e-02,3.04249012e-04,-5.75054135e-01,4.04051478e+02
260,3.075654,0.0001,0.007832,rmsprop,1,331.6089,3.08892420e+02,7.94670344e+00,8.47592682e-02,2.74397371e-04,-5.59091325e-01,nan
270,3.033344,0.0001,0.007932,rmsprop,1,331.6089,3.08624328e+02,1.14055475e+01,1.30354612e-01,4.22373094e-04,-6.43355182e-01,nan
