step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,78.488153,0.0001,0.085723,rmsprop,3,126.4351,3.16039405e+02,1.66246454e+01,2.53518171e-01,8.02172664e-04,-6.43166028e-01,nan,2.64299827e+01,4.85165195e+08,4.54101562e-02,9.07542993e-01,-5.20581704e+01
20,20.372973,0.0001,0.007758,rmsprop,3,139.2397,3.15407266e+02,1.65395794e+01,1.97654426e-01,6.26664149e-04,-6.71875026e-01,nan,1.54504101e+01,5.12894287e+06,4.77294922e-02,8.35724140e-01,-4.92256322e+00
30,12.991167,0.0001,0.007761,rmsprop,3,139.2397,3.14901266e+02,2.85051878e+01,2.51323923e-01,7.98103884e-04,-6.97953149e-01,nan,1.17319518e+01,1.24486410e+05,6.31713867e-02,7.99202417e-01,-1.25921524e+00
40,9.426682,0.0001,0.007796,rmsprop,3,139.2397,3.14459052e+02,1.39280149e+01,1.48316848e-01,4.71657111e-04,-6.51750071e-01,nan,8.34919488e+00,4.22677633e+03,5.65185547e-02,7.27332788e-01,-1.07748759e+00
50,7.607264,0.0001,0.007802,rmsprop,3,139.2397,3.14055676e+02,1.42221989e+01,1.35928266e-01,4.32815822e-04,-6.46747025e-01,4.97152462e+02,6.70106506e+00,8.13271550e+02,9.51538086e-02,5.78211691e-01,-9.06199360e-01
60,6.345295,0.0001,0.008897,rmsprop,3,331.6089,3.13678642e+02,1.27671559e+01,1.29540392e-01,4.12971670e-04,-6.71272034e-01,nan,5.91348982e+00,3.69995121e+02,1.19873047e-01,4.54890203e-01,-4.31805182e-01
70,5.581179,0.0001,0.008055,rmsprop,3,331.6089,3.13321483e+02,1.12645263e+01,1.01713150e-01,3.24628713e-04,-6.10373065e-01,nan,5.37306833e+00,2.15523151e+02,1.63269043e-01,3.74722792e-01,-2.08110857e-01
80,5.072371,0.0001,0.007496,rmsprop,3,331.6089,3.12979395e+02,1.37605243e+01,1.13400025e-01,3.62324252e-04,-6.36206944e-01,nan,5.05611330e+00,1.56979198e+02,1.69738770e-01,3.35393962e-01,-1.62576079e-02
90,4.823492,0.0001,0.007688,rmsprop,3,331.6089,3.12649532e+02,1.39155999e+01,1.14508815e-01,3.66252954e-04,-6.31602328e-01,nan,4.74438626e+00,1.14937242e+02,1.84265137e-01,3.10324793e-01,-7.91056991e-02
100,4.455316,0.0001,0.008405,rmsprop,3,331.6089,3.12329104e+02,1.11598317e+01,9.71266328e-02,3.10975288e-04,-6.05436227e-01,3.96274785e+02,4.37968731e+00,7.98130727e+01,1.90673828e-01,2.79721008e-01,-7.56290913e-02
