step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
10,82.847618,0.01,0.056962,sgd,1,126.4351,3.16948796e+02,3.25633793e+01,1.13362244e+00,3.57667377e-03,-2.46154528e-01,nan,1.55607113e+01,5.72705082e+06,1.20849609e-02,7.46937969e-01,-6.72869065e+01
20,11.838891,0.01,0.005848,sgd,1,139.2397,3.14537547e+02,2.08992964e+01,5.54941168e-01,1.76430818e-03,-2.33374244e-01,nan,8.68245459e+00,5.89850723e+03,1.57470703e-01,2.14637987e-01,-3.15643682e+00
30,7.313526,0.01,0.006197,sgd,1,139.2397,3.11667284e+02,7.99513249e+00,3.87598193e-01,1.24362810e-03,-2.09675953e-01,nan,5.03171122e+00,1.53194939e+02,1.16821289e-01,1.63178980e-01,-2.28181522e+00
40,4.405265,0.01,0.006358,sgd,1,139.2397,3.08638027e+02,3.95104102e+00,3.33372665e-01,1.08014125e-03,-1.05094161e-01,nan,3.88504067e+00,4.86689218e+01,1.89697266e-01,8.79383140e-02,-5.20224518e-01
50,3.787326,0.01,0.006567,sgd,1,139.2397,3.05570109e+02,2.64478507e+00,3.19611309e-01,1.04595083e-03,-9.94216454e-02,7.17444555e+01,3.38359931e+00,2.94766761e+01,2.21923828e-01,5.94584574e-02,-4.03726429e-01
60,3.388627,0.01,0.007420,sgd,1,331.6089,3.02510219e+02,2.07749526e+00,3.08698856e-01,1.02045761e-03,-4.99273494e-02,nan,3.23533708e+00,2.54149372e+01,2.09228516e-01,4.70898294e-02,-1.53290069e-01
70,3.214629,0.01,0.007466,sgd,1,331.6089,2.99473638e+02,1.84465948e+00,3.04370647e-01,1.01635205e-03,-4.07793696e-02,nan,3.12231824e+00,2.26989402e+01,2.28149414e-01,7.40630205e-02,-9.23109829e-02
80,3.172166,0.01,0.007825,sgd,1,331.6089,2.96465384e+02,1.32462826e+00,3.00734409e-01,1.01439974e-03,-5.55261191e-02,nan,3.06271568e+00,2.13855547e+01,2.50915527e-01,7.12405232e-02,-1.09449857e-01
90,3.084731,0.01,0.007222,sgd,1,331.6089,2.93486808e+02,1.17606791e+00,2.97542403e-01,1.01381866e-03,-5.00047687e-02,nan,3.03785512e+00,2.08604520e+01,2.54882812e-01,7.70135961e-02,-4.68762696e-02
100,3.062041,0.01,0.007468,sgd,1,331.6089,2.90538133e+02,9.69054601e-01,2.94487421e-01,1.01359301e-03,-5.00239678e-02,7.33817311e+01,3.00617850e+00,2.02100195e+01,2.55187988e-01,6.98081723e-02,-5.58627367e-02
