step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,80.314561,0.01,0.033691,sgd,3,0.0000
20,9.394444,0.01,0.025705,sgd,3,0.0000
30,5.659509,0.01,0.025803,sgd,3,0.0000
40,4.251054,0.01,0.030118,sgd,3,0.0000
50,3.547905,0.01,0.025904,sgd,3,0.0000
60,3.321111,0.01,0.025966,sgd,3,0.0000
70,3.239032,0.01,0.026349,sgd,3,0.0000
80,3.142104,0.01,0.029917,sgd,3,0.0000
90,3.092421,0.01,0.026647,sgd,3,0.0000
100,3.054279,0.01,0.027142,sgd,3,0.0000
110,3.028229,0.01,0.025888,sgd,3,0.0000
120,2.961587,0.01,0.026495,sgd,3,0.0000
130,2.928105,0.01,0.025843,sgd,3,0.0000
140,2.899655,0.01,0.025087,sgd,3,0.0000
150,2.856975,0.01,0.024559,sgd,3,0.0000
160,2.836931,0.01,0.025027,sgd,3,0.0000
170,2.831087,0.01,0.024571,sgd,3,0.0000
180,2.806269,0.01,0.024626,sgd,3,0.0000
190,2.790292,0.01,0.027035,sgd,3,0.0000
200,2.777293,0.01,0.024267,sgd,3,0.0000
210,2.729784,0.01,0.027551,sgd,3,0.0000
220,2.733837,0.01,0.023725,sgd,3,0.0000
230,2.733309,0.01,0.027722,sgd,3,0.0000
240,2.690081,0.01,0.024462,sgd,3,0.0000
250,2.704201,0.01,0.023323,sgd,3,0.0000
260,2.682210,0.01,0.024164,sgd,3,0.0000
270,2.675658,0.01,0.023757,sgd,3,0.0000
280,2.649357,0.01,0.027214,sgd,3,0.0000
290,2.668653,0.01,0.023507,sgd,3,0.0000
300,2.648005,0.01,0.024459,sgd,3,0.0000
310,2.639049,0.01,0.023885,sgd,3,0.0000
320,2.647477,0.01,0.026500,sgd,3,0.0000
330,2.625968,0.01,0.023770,sgd,3,0.0000
340,2.626715,0.01,0.024276,sgd,3,0.0000
350,2.606441,0.01,0.023855,sgd,3,0.0000
360,2.617318,0.01,0.025015,sgd,3,0.0000
370,2.604409,0.01,0.024128,sgd,3,0.0000
380,2.586139,0.01,0.023656,sgd,3,0.0000
390,2.591473,0.01,0.024728,sgd,3,0.0000
400,2.576773,0.01,0.024115,sgd,3,0.0000
410,2.578651,0.01,0.023995,sgd,3,0.0000
420,2.570172,0.01,0.023342,sgd,3,0.0000
430,2.578530,0.01,0.023342,sgd,3,0.0000
440,2.564538,0.01,0.023262,sgd,3,0.0000
450,2.559961,0.01,0.023819,sgd,3,0.0000
460,2.567232,0.01,0.023579,sgd,3,0.0000
470,2.566079,0.01,0.023600,sgd,3,0.0000
480,2.549583,0.01,0.028316,sgd,3,0.0000
490,2.538059,0.01,0.027529,sgd,3,0.0000
500,2.533851,0.01,0.023704,sgd,3,0.0000
510,2.554395,0.01,0.025074,sgd,3,0.0000
520,2.517334,0.01,0.023419,sgd,3,0.0000
530,2.532028,0.01,0.024112,sgd,3,0.0000
540,2.523154,0.01,0.024771,sgd,3,0.0000
550,2.553817,0.01,0.023670,sgd,3,0.0000
560,2.521850,0.01,0.023355,sgd,3,0.0000
570,2.551481,0.01,0.026675,sgd,3,0.0000
580,2.528719,0.01,0.022952,sgd,3,0.0000
590,2.506807,0.01,0.023932,sgd,3,0.0000
600,2.548918,0.01,0.023643,sgd,3,0.0000
610,2.507136,0.01,0.023534,sgd,3,0.0000
620,2.525619,0.01,0.026447,sgd,3,0.0000
630,2.510651,0.01,0.024152,sgd,3,0.0000
640,2.548734,0.01,0.023882,sgd,3,0.0000
650,2.504586,0.01,0.024576,sgd,3,0.0000
660,2.495411,0.01,0.022995,sgd,3,0.0000
670,2.498677,0.01,0.026980,sgd,3,0.0000
680,2.503048,0.01,0.024230,sgd,3,0.0000
690,2.494298,0.01,0.025349,sgd,3,0.0000
700,2.475797,0.01,0.023718,sgd,3,0.0000
710,2.465606,0.01,0.023210,sgd,3,0.0000
720,2.478157,0.01,0.022952,sgd,3,0.0000
730,2.481700,0.01,0.023306,sgd,3,0.0000
740,2.455480,0.01,0.024495,sgd,3,0.0000
750,2.489105,0.01,0.023095,sgd,3,0.0000
760,2.480900,0.01,0.023163,sgd,3,0.0000
770,2.501978,0.01,0.024376,sgd,3,0.0000
780,2.484631,0.01,0.026952,sgd,3,0.0000
790,2.476467,0.01,0.023057,sgd,3,0.0000
800,2.462061,0.01,0.023220,sgd,3,0.0000
810,2.498900,0.01,0.023002,sgd,3,0.0000
820,2.478236,0.01,0.023474,sgd,3,0.0000
830,2.483933,0.01,0.023513,sgd,3,0.0000
840,2.484333,0.01,0.023359,sgd,3,0.0000
850,2.470672,0.01,0.022742,sgd,3,0.0000
860,2.475511,0.01,0.023285,sgd,3,0.0000
870,2.461820,0.01,0.023554,sgd,3,0.0000
880,2.454461,0.01,0.025852,sgd,3,0.0000
890,2.457369,0.01,0.023522,sgd,3,0.0000
900,2.435611,0.01,0.023252,sgd,3,0.0000
910,2.457683,0.01,0.023037,sgd,3,0.0000
920,2.458499,0.01,0.023645,sgd,3,0.0000
930,2.456678,0.01,0.023076,sgd,3,0.0000
940,2.442888,0.01,0.024294,sgd,3,0.0000
950,2.433471,0.01,0.023654,sgd,3,0.0000
960,2.449063,0.01,0.023073,sgd,3,0.0000
970,2.436607,0.01,0.025977,sgd,3,0.0000
980,2.461076,0.01,0.023449,sgd,3,0.0000
990,2.446876,0.01,0.025737,sgd,3,0.0000
1000,2.445020,0.01,0.023210,sgd,3,0.0000
