step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,74.842813,0.001,0.081016,rmsprop_no_memory,42,126.4351
20,17.567186,0.001,0.007891,rmsprop_no_memory,42,126.4351
30,12.443408,0.001,0.008203,rmsprop_no_memory,42,126.4351
40,10.973476,0.001,0.007921,rmsprop_no_memory,42,126.4351
50,9.052954,0.001,0.007876,rmsprop_no_memory,42,126.4351
60,7.858094,0.001,0.007977,rmsprop_no_memory,42,126.4351
70,7.280726,0.001,0.007897,rmsprop_no_memory,42,126.4351
80,6.315700,0.001,0.007897,rmsprop_no_memory,42,126.4351
90,5.984923,0.001,0.007924,rmsprop_no_memory,42,126.4351
100,5.460690,0.001,0.007968,rmsprop_no_memory,42,126.4351
110,5.040986,0.001,0.007828,rmsprop_no_memory,42,126.4351
120,4.826153,0.001,0.007961,rmsprop_no_memory,42,126.4351
130,4.588720,0.001,0.007883,rmsprop_no_memory,42,126.4351
140,4.445229,0.001,0.008289,rmsprop_no_memory,42,126.4351
150,4.425398,0.001,0.008171,rmsprop_no_memory,42,126.4351
160,4.155834,0.001,0.007811,rmsprop_no_memory,42,126.4351
170,4.165619,0.001,0.007680,rmsprop_no_memory,42,126.4351
180,3.930526,0.001,0.007698,rmsprop_no_memory,42,126.4351
190,3.941352,0.001,0.007661,rmsprop_no_memory,42,126.4351
200,3.944537,0.001,0.007683,rmsprop_no_memory,42,126.4351
210,3.763887,0.001,0.007786,rmsprop_no_memory,42,126.4351
220,3.753479,0.001,0.007664,rmsprop_no_memory,42,126.4351
230,3.630447,0.001,0.007852,rmsprop_no_memory,42,126.4351
240,3.540533,0.001,0.007735,rmsprop_no_memory,42,126.4351
250,3.544679,0.001,0.007647,rmsprop_no_memory,42,126.4351
260,3.549360,0.001,0.007813,rmsprop_no_memory,42,126.4351
270,3.508519,0.001,0.007975,rmsprop_no_memory,42,126.4351
280,3.513540,0.001,0.007633,rmsprop_no_memory,42,126.4351
290,3.478785,0.001,0.008233,rmsprop_no_memory,42,126.4351
300,3.408233,0.001,0.007640,rmsprop_no_memory,42,126.4351
