step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,69.989712,0.001,0.078814,rmsprop_pnorm,42,126.4351
20,26.869580,0.001,0.011092,rmsprop_pnorm,42,126.4351
30,11.744855,0.001,0.010732,rmsprop_pnorm,42,126.4351
40,6.900312,0.001,0.010732,rmsprop_pnorm,42,126.4351
50,5.266552,0.001,0.010917,rmsprop_pnorm,42,126.4351
60,5.363287,0.001,0.010851,rmsprop_pnorm,42,126.4351
70,4.773129,0.001,0.010731,rmsprop_pnorm,42,126.4351
80,4.684584,0.001,0.010735,rmsprop_pnorm,42,126.4351
90,4.497057,0.001,0.011404,rmsprop_pnorm,42,126.4351
100,4.836899,0.001,0.010637,rmsprop_pnorm,42,126.4351
110,4.568783,0.001,0.010921,rmsprop_pnorm,42,126.4351
120,4.372319,0.001,0.010841,rmsprop_pnorm,42,126.4351
130,4.037550,0.001,0.010817,rmsprop_pnorm,42,126.4351
140,4.146967,0.001,0.010703,rmsprop_pnorm,42,126.4351
150,4.064010,0.001,0.010714,rmsprop_pnorm,42,126.4351
160,4.119237,0.001,0.010877,rmsprop_pnorm,42,126.4351
170,4.303214,0.001,0.010756,rmsprop_pnorm,42,126.4351
180,3.851957,0.001,0.011053,rmsprop_pnorm,42,126.4351
190,4.398199,0.001,0.010642,rmsprop_pnorm,42,126.4351
200,3.780200,0.001,0.010935,rmsprop_pnorm,42,126.4351
210,3.657675,0.001,0.010756,rmsprop_pnorm,42,126.4351
220,3.782134,0.001,0.010833,rmsprop_pnorm,42,126.4351
230,3.472106,0.001,0.010809,rmsprop_pnorm,42,126.4351
240,3.731118,0.001,0.010885,rmsprop_pnorm,42,126.4351
250,3.619828,0.001,0.010757,rmsprop_pnorm,42,126.4351
260,3.497369,0.001,0.010900,rmsprop_pnorm,42,126.4351
270,3.641454,0.001,0.011315,rmsprop_pnorm,42,126.4351
280,3.643987,0.001,0.010762,rmsprop_pnorm,42,126.4351
290,3.521032,0.001,0.010866,rmsprop_pnorm,42,126.4351
300,3.564815,0.001,0.010745,rmsprop_pnorm,42,126.4351
