step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,73.191685,0.001,0.081988,rmsprop,42,126.4351
20,21.714293,0.001,0.007334,rmsprop,42,126.4351
30,12.968157,0.001,0.007654,rmsprop,42,126.4351
40,8.362619,0.001,0.007603,rmsprop,42,126.4351
50,7.161100,0.001,0.007593,rmsprop,42,126.4351
60,6.521771,0.001,0.007710,rmsprop,42,126.4351
70,6.067194,0.001,0.007621,rmsprop,42,126.4351
80,5.798799,0.001,0.007578,rmsprop,42,126.4351
90,5.172071,0.001,0.007886,rmsprop,42,126.4351
100,5.444516,0.001,0.007553,rmsprop,42,126.4351
110,4.609388,0.001,0.007563,rmsprop,42,126.4351
120,4.861251,0.001,0.007691,rmsprop,42,126.4351
130,5.435790,0.001,0.007512,rmsprop,42,126.4351
140,4.447122,0.001,0.007680,rmsprop,42,126.4351
150,4.215689,0.001,0.007572,rmsprop,42,126.4351
160,4.331128,0.001,0.006630,rmsprop,42,126.4351
170,3.890477,0.001,0.007070,rmsprop,42,126.4351
180,3.946211,0.001,0.007571,rmsprop,42,126.4351
190,3.924997,0.001,0.007545,rmsprop,42,126.4351
200,4.204482,0.001,0.006822,rmsprop,42,126.4351
210,3.610102,0.001,0.007298,rmsprop,42,126.4351
220,4.214247,0.001,0.007459,rmsprop,42,126.4351
230,3.913401,0.001,0.007388,rmsprop,42,126.4351
240,3.836339,0.001,0.007618,rmsprop,42,126.4351
250,4.099055,0.001,0.007678,rmsprop,42,126.4351
260,3.434543,0.001,0.007586,rmsprop,42,126.4351
270,3.873161,0.001,0.007616,rmsprop,42,126.4351
280,4.104275,0.001,0.007571,rmsprop,42,126.4351
290,3.559163,0.001,0.007550,rmsprop,42,126.4351
300,3.803577,0.001,0.007435,rmsprop,42,126.4351
