step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,167.148573,0.001,0.050782,sgd,42,126.4351
20,93.541964,0.001,0.007867,sgd,42,126.4351
30,25.210125,0.001,0.007365,sgd,42,126.4351
40,13.220309,0.001,0.007473,sgd,42,126.4351
50,9.109892,0.001,0.007374,sgd,42,126.4351
60,7.566158,0.001,0.007387,sgd,42,126.4351
70,6.627108,0.001,0.007983,sgd,42,126.4351
80,6.010946,0.001,0.007942,sgd,42,126.4351
90,5.501797,0.001,0.007281,sgd,42,126.4351
100,5.034070,0.001,0.007211,sgd,42,126.4351
110,4.724677,0.001,0.007230,sgd,42,126.4351
120,4.496154,0.001,0.007333,sgd,42,126.4351
130,4.328217,0.001,0.007091,sgd,42,126.4351
140,4.142397,0.001,0.007531,sgd,42,126.4351
150,4.006489,0.001,0.007126,sgd,42,126.4351
160,3.817456,0.001,0.007351,sgd,42,126.4351
170,3.764380,0.001,0.007224,sgd,42,126.4351
180,3.662959,0.001,0.007241,sgd,42,126.4351
190,3.597085,0.001,0.007108,sgd,42,126.4351
200,3.576696,0.001,0.007347,sgd,42,126.4351
210,3.447534,0.001,0.007056,sgd,42,126.4351
220,3.460340,0.001,0.007063,sgd,42,126.4351
230,3.413117,0.001,0.007207,sgd,42,126.4351
240,3.354677,0.001,0.007148,sgd,42,126.4351
250,3.310482,0.001,0.007114,sgd,42,126.4351
260,3.332807,0.001,0.007075,sgd,42,126.4351
270,3.271623,0.001,0.007530,sgd,42,126.4351
280,3.204877,0.001,0.007226,sgd,42,126.4351
290,3.198079,0.001,0.007267,sgd,42,126.4351
300,3.180888,0.001,0.007257,sgd,42,126.4351
