step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,168.648071,0.0001,0.049904,adamw,42,0.0000
20,141.469271,0.0001,0.045367,adamw,42,0.0000
30,100.500609,0.0001,0.042438,adamw,42,0.0000
40,60.009834,0.0001,0.037370,adamw,42,0.0000
50,37.660728,0.0001,0.036401,adamw,42,0.0000
60,26.533183,0.0001,0.032976,adamw,42,0.0000
70,20.389872,0.0001,0.028907,adamw,42,0.0000
80,16.410727,0.0001,0.029461,adamw,42,0.0000
90,13.612818,0.0001,0.029583,adamw,42,0.0000
100,11.496452,0.0001,0.028333,adamw,42,0.0000
110,9.802507,0.0001,0.028004,adamw,42,0.0000
120,8.492629,0.0001,0.033424,adamw,42,0.0000
130,7.465182,0.0001,0.027792,adamw,42,0.0000
140,6.553966,0.0001,0.026977,adamw,42,0.0000
150,5.916994,0.0001,0.027319,adamw,42,0.0000
160,5.329621,0.0001,0.027416,adamw,42,0.0000
170,5.032100,0.0001,0.027494,adamw,42,0.0000
180,4.722445,0.0001,0.027699,adamw,42,0.0000
190,4.462141,0.0001,0.032139,adamw,42,0.0000
200,4.312108,0.0001,0.026946,adamw,42,0.0000
210,4.011983,0.0001,0.028088,adamw,42,0.0000
220,3.982355,0.0001,0.028124,adamw,42,0.0000
230,3.856467,0.0001,0.026861,adamw,42,0.0000
240,3.698214,0.0001,0.026177,adamw,42,0.0000
250,3.601509,0.0001,0.028279,adamw,42,0.0000
260,3.587050,0.0001,0.027751,adamw,42,0.0000
270,3.471767,0.0001,0.026936,adamw,42,0.0000
280,3.347594,0.0001,0.027137,adamw,42,0.0000
290,3.308978,0.0001,0.033183,adamw,42,0.0000
300,3.269683,0.0001,0.026642,adamw,42,0.0000
