step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,84.504092,0.0001,0.039465,rmsprop,42,0.0000
20,21.813849,0.0001,0.031216,rmsprop,42,0.0000
30,13.669733,0.0001,0.029604,rmsprop,42,0.0000
40,9.993037,0.0001,0.034384,rmsprop,42,0.0000
50,7.633971,0.0001,0.030305,rmsprop,42,0.0000
60,6.540891,0.0001,0.029842,rmsprop,42,0.0000
70,5.675060,0.0001,0.032186,rmsprop,42,0.0000
80,5.224575,0.0001,0.029638,rmsprop,42,0.0000
90,4.823319,0.0001,0.029296,rmsprop,42,0.0000
100,4.661260,0.0001,0.031862,rmsprop,42,0.0000
110,4.338965,0.0001,0.030156,rmsprop,42,0.0000
120,4.183010,0.0001,0.030218,rmsprop,42,0.0000
130,4.079781,0.0001,0.031448,rmsprop,42,0.0000
140,3.926686,0.0001,0.027308,rmsprop,42,0.0000
150,3.827669,0.0001,0.028154,rmsprop,42,0.0000
160,3.654603,0.0001,0.028100,rmsprop,42,0.0000
170,3.580106,0.0001,0.028002,rmsprop,42,0.0000
180,3.592713,0.0001,0.028884,rmsprop,42,0.0000
190,3.495306,0.0001,0.027222,rmsprop,42,0.0000
200,3.542735,0.0001,0.028365,rmsprop,42,0.0000
210,3.308403,0.0001,0.029008,rmsprop,42,0.0000
220,3.380061,0.0001,0.033830,rmsprop,42,0.0000
230,3.328785,0.0001,0.029270,rmsprop,42,0.0000
240,3.262691,0.0001,0.028044,rmsprop,42,0.0000
250,3.213649,0.0001,0.029521,rmsprop,42,0.0000
260,3.235865,0.0001,0.028707,rmsprop,42,0.0000
270,3.179251,0.0001,0.028697,rmsprop,42,0.0000
280,3.136409,0.0001,0.028577,rmsprop,42,0.0000
290,3.111735,0.0001,0.028130,rmsprop,42,0.0000
300,3.129058,0.0001,0.028565,rmsprop,42,0.0000
