step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,84.859114,0.01,0.033579,sgd,42,0.0000
20,10.728783,0.01,0.026552,sgd,42,0.0000
30,5.921433,0.01,0.026014,sgd,42,0.0000
40,4.047683,0.01,0.030754,sgd,42,0.0000
50,3.516511,0.01,0.024906,sgd,42,0.0000
60,3.244637,0.01,0.025170,sgd,42,0.0000
70,3.140044,0.01,0.025505,sgd,42,0.0000
80,3.095833,0.01,0.028135,sgd,42,0.0000
90,3.051950,0.01,0.025647,sgd,42,0.0000
100,2.994065,0.01,0.025765,sgd,42,0.0000
110,2.968498,0.01,0.025153,sgd,42,0.0000
120,2.941532,0.01,0.025974,sgd,42,0.0000
130,2.927393,0.01,0.026529,sgd,42,0.0000
140,2.888346,0.01,0.026230,sgd,42,0.0000
150,2.860690,0.01,0.025074,sgd,42,0.0000
160,2.830285,0.01,0.028316,sgd,42,0.0000
170,2.837252,0.01,0.027529,sgd,42,0.0000
180,2.794615,0.01,0.024543,sgd,42,0.0000
190,2.781514,0.01,0.025096,sgd,42,0.0000
200,2.775672,0.01,0.024658,sgd,42,0.0000
210,2.746789,0.01,0.026169,sgd,42,0.0000
220,2.736407,0.01,0.030184,sgd,42,0.0000
230,2.745667,0.01,0.024007,sgd,42,0.0000
240,2.709138,0.01,0.024100,sgd,42,0.0000
250,2.697081,0.01,0.025759,sgd,42,0.0000
260,2.711093,0.01,0.025349,sgd,42,0.0000
270,2.698832,0.01,0.027278,sgd,42,0.0000
280,2.686352,0.01,0.024471,sgd,42,0.0000
290,2.676390,0.01,0.025924,sgd,42,0.0000
300,2.661638,0.01,0.024344,sgd,42,0.0000
