step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,80.761424,0.0003,0.076048,rmsprop,42,1175.9473
20,47.810750,0.0003,0.008001,rmsprop,42,1175.9473
30,43.877817,0.0003,0.007747,rmsprop,42,1175.9473
40,41.903785,0.0003,0.008742,rmsprop,42,1175.9473
50,40.497464,0.0003,0.007340,rmsprop,42,1175.9473
60,39.591635,0.0003,0.007346,rmsprop,42,1175.9473
70,38.713791,0.0003,0.007325,rmsprop,42,1175.9473
80,38.062340,0.0003,0.007804,rmsprop,42,1175.9473
90,37.344995,0.0003,0.007340,rmsprop,42,1175.9473
100,36.558442,0.0003,0.007209,rmsprop,42,1175.9473
110,36.130677,0.0003,0.007380,rmsprop,42,1175.9473
120,35.719150,0.0003,0.007317,rmsprop,42,1175.9473
130,35.368074,0.0003,0.007626,rmsprop,42,1175.9473
140,34.895546,0.0003,0.007256,rmsprop,42,1175.9473
150,34.406617,0.0003,0.007624,rmsprop,42,1175.9473
160,34.273232,0.0003,0.007268,rmsprop,42,1175.9473
170,33.567385,0.0003,0.007279,rmsprop,42,1175.9473
180,33.362407,0.0003,0.007349,rmsprop,42,1175.9473
190,33.070887,0.0003,0.007196,rmsprop,42,1175.9473
200,32.672269,0.0003,0.007473,rmsprop,42,1175.9473
210,32.431293,0.0003,0.007259,rmsprop,42,1175.9473
220,32.182054,0.0003,0.007661,rmsprop,42,1175.9473
230,31.838934,0.0003,0.007345,rmsprop,42,1175.9473
240,31.573984,0.0003,0.007321,rmsprop,42,1175.9473
250,31.332736,0.0003,0.007241,rmsprop,42,1175.9473
260,31.131758,0.0003,0.007398,rmsprop,42,1175.9473
270,30.798987,0.0003,0.007312,rmsprop,42,1175.9473
280,30.563540,0.0003,0.007384,rmsprop,42,1175.9473
290,30.207897,0.0003,0.007219,rmsprop,42,1175.9473
300,30.030472,0.0003,0.007710,rmsprop,42,1175.9473
310,29.821065,0.0003,0.007286,rmsprop,42,1175.9473
320,29.465503,0.0003,0.007185,rmsprop,42,1175.9473
330,29.333764,0.0003,0.007261,rmsprop,42,1175.9473
340,29.031450,0.0003,0.007191,rmsprop,42,1175.9473
350,28.812793,0.0003,0.007331,rmsprop,42,1175.9473
360,28.606538,0.0003,0.007331,rmsprop,42,1175.9473
370,28.386539,0.0003,0.007393,rmsprop,42,1175.9473
380,28.075413,0.0003,0.007286,rmsprop,42,1175.9473
390,27.989040,0.0003,0.007378,rmsprop,42,1175.9473
400,27.670418,0.0003,0.007298,rmsprop,42,1175.9473
410,27.440389,0.0003,0.007187,rmsprop,42,1175.9473
420,27.251428,0.0003,0.007142,rmsprop,42,1175.9473
430,26.987853,0.0003,0.007364,rmsprop,42,1175.9473
440,26.795726,0.0003,0.007320,rmsprop,42,1175.9473
450,26.593709,0.0003,0.007290,rmsprop,42,1175.9473
460,26.541809,0.0003,0.007166,rmsprop,42,1175.9473
470,26.210581,0.0003,0.007356,rmsprop,42,1175.9473
480,26.069129,0.0003,0.007252,rmsprop,42,1175.9473
490,25.936370,0.0003,0.007241,rmsprop,42,1175.9473
500,25.695470,0.0003,0.007226,rmsprop,42,1175.9473
510,25.568244,0.0003,0.007322,rmsprop,42,1175.9473
520,25.309849,0.0003,0.007716,rmsprop,42,1175.9473
530,25.232211,0.0003,0.007273,rmsprop,42,1175.9473
540,24.894755,0.0003,0.007207,rmsprop,42,1175.9473
550,24.797917,0.0003,0.007232,rmsprop,42,1175.9473
560,24.659552,0.0003,0.007325,rmsprop,42,1175.9473
570,24.480165,0.0003,0.007366,rmsprop,42,1175.9473
580,24.345217,0.0003,0.007159,rmsprop,42,1175.9473
590,23.995804,0.0003,0.007237,rmsprop,42,1175.9473
600,23.795800,0.0003,0.007864,rmsprop,42,1175.9473
610,23.736286,0.0003,0.007183,rmsprop,42,1175.9473
620,23.468729,0.0003,0.007161,rmsprop,42,1175.9473
630,23.332965,0.0003,0.007201,rmsprop,42,1175.9473
640,23.245464,0.0003,0.007194,rmsprop,42,1175.9473
650,23.004124,0.0003,0.007328,rmsprop,42,1175.9473
660,22.805011,0.0003,0.007174,rmsprop,42,1175.9473
670,22.693928,0.0003,0.007375,rmsprop,42,1175.9473
680,22.508517,0.0003,0.007197,rmsprop,42,1175.9473
690,22.393202,0.0003,0.007177,rmsprop,42,1175.9473
700,22.240551,0.0003,0.007142,rmsprop,42,1175.9473
710,22.068115,0.0003,0.007188,rmsprop,42,1175.9473
720,21.852570,0.0003,0.007233,rmsprop,42,1175.9473
730,21.702795,0.0003,0.007243,rmsprop,42,1175.9473
740,21.523680,0.0003,0.007302,rmsprop,42,1175.9473
750,21.488344,0.0003,0.007261,rmsprop,42,1175.9473
760,21.318710,0.0003,0.007261,rmsprop,42,1175.9473
770,21.112828,0.0003,0.007301,rmsprop,42,1175.9473
780,20.994254,0.0003,0.007250,rmsprop,42,1175.9473
790,20.849677,0.0003,0.007223,rmsprop,42,1175.9473
800,20.758932,0.0003,0.007205,rmsprop,42,1175.9473
810,20.607968,0.0003,0.007298,rmsprop,42,1175.9473
820,20.447325,0.0003,0.007281,rmsprop,42,1175.9473
830,20.299436,0.0003,0.007202,rmsprop,42,1175.9473
840,20.190096,0.0003,0.007178,rmsprop,42,1175.9473
