step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,159.730589,0.0003,0.080732,rmsprop_no_memory,42,1175.9473
20,74.801580,0.0003,0.007153,rmsprop_no_memory,42,1175.9473
30,49.863260,0.0003,0.007092,rmsprop_no_memory,42,1175.9473
40,45.763244,0.0003,0.007047,rmsprop_no_memory,42,1175.9473
50,43.528747,0.0003,0.007018,rmsprop_no_memory,42,1175.9473
60,42.211170,0.0003,0.007266,rmsprop_no_memory,42,1175.9473
70,41.363071,0.0003,0.006981,rmsprop_no_memory,42,1175.9473
80,40.570070,0.0003,0.007013,rmsprop_no_memory,42,1175.9473
90,39.933522,0.0003,0.006992,rmsprop_no_memory,42,1175.9473
100,39.347391,0.0003,0.007056,rmsprop_no_memory,42,1175.9473
110,38.810421,0.0003,0.007100,rmsprop_no_memory,42,1175.9473
120,38.376868,0.0003,0.007066,rmsprop_no_memory,42,1175.9473
130,37.884497,0.0003,0.007038,rmsprop_no_memory,42,1175.9473
140,37.642521,0.0003,0.007523,rmsprop_no_memory,42,1175.9473
150,37.078155,0.0003,0.006990,rmsprop_no_memory,42,1175.9473
160,36.891891,0.0003,0.007043,rmsprop_no_memory,42,1175.9473
170,36.288524,0.0003,0.006996,rmsprop_no_memory,42,1175.9473
180,36.025576,0.0003,0.007041,rmsprop_no_memory,42,1175.9473
190,35.718310,0.0003,0.007050,rmsprop_no_memory,42,1175.9473
200,35.320872,0.0003,0.007028,rmsprop_no_memory,42,1175.9473
210,34.910612,0.0003,0.007033,rmsprop_no_memory,42,1175.9473
220,34.818370,0.0003,0.007120,rmsprop_no_memory,42,1175.9473
230,34.220187,0.0003,0.007025,rmsprop_no_memory,42,1175.9473
240,33.930610,0.0003,0.007068,rmsprop_no_memory,42,1175.9473
250,33.640350,0.0003,0.007088,rmsprop_no_memory,42,1175.9473
260,33.328204,0.0003,0.007064,rmsprop_no_memory,42,1175.9473
270,32.949305,0.0003,0.007068,rmsprop_no_memory,42,1175.9473
280,32.800176,0.0003,0.007070,rmsprop_no_memory,42,1175.9473
290,32.373342,0.0003,0.007027,rmsprop_no_memory,42,1175.9473
300,32.127310,0.0003,0.007200,rmsprop_no_memory,42,1175.9473
310,31.831312,0.0003,0.007015,rmsprop_no_memory,42,1175.9473
320,31.502001,0.0003,0.007032,rmsprop_no_memory,42,1175.9473
330,31.407174,0.0003,0.007080,rmsprop_no_memory,42,1175.9473
340,30.955046,0.0003,0.007038,rmsprop_no_memory,42,1175.9473
350,30.661614,0.0003,0.007021,rmsprop_no_memory,42,1175.9473
360,30.575489,0.0003,0.007178,rmsprop_no_memory,42,1175.9473
370,30.199974,0.0003,0.007077,rmsprop_no_memory,42,1175.9473
380,29.928340,0.0003,0.007427,rmsprop_no_memory,42,1175.9473
390,29.693468,0.0003,0.007020,rmsprop_no_memory,42,1175.9473
400,29.513618,0.0003,0.007007,rmsprop_no_memory,42,1175.9473
410,29.156571,0.0003,0.007063,rmsprop_no_memory,42,1175.9473
420,28.893995,0.0003,0.007035,rmsprop_no_memory,42,1175.9473
430,28.637528,0.0003,0.007042,rmsprop_no_memory,42,1175.9473
440,28.385407,0.0003,0.007055,rmsprop_no_memory,42,1175.9473
450,28.315047,0.0003,0.006994,rmsprop_no_memory,42,1175.9473
460,27.889875,0.0003,0.007031,rmsprop_no_memory,42,1175.9473
470,27.667886,0.0003,0.007016,rmsprop_no_memory,42,1175.9473
480,27.482514,0.0003,0.007053,rmsprop_no_memory,42,1175.9473
490,27.290458,0.0003,0.006997,rmsprop_no_memory,42,1175.9473
500,27.105568,0.0003,0.007002,rmsprop_no_memory,42,1175.9473
510,26.814798,0.0003,0.007028,rmsprop_no_memory,42,1175.9473
520,26.603600,0.0003,0.007044,rmsprop_no_memory,42,1175.9473
530,26.322332,0.0003,0.007015,rmsprop_no_memory,42,1175.9473
540,26.048607,0.0003,0.007035,rmsprop_no_memory,42,1175.9473
550,25.950348,0.0003,0.007019,rmsprop_no_memory,42,1175.9473
560,25.687336,0.0003,0.007021,rmsprop_no_memory,42,1175.9473
570,25.529842,0.0003,0.007030,rmsprop_no_memory,42,1175.9473
580,25.257706,0.0003,0.007134,rmsprop_no_memory,42,1175.9473
590,25.077544,0.0003,0.006991,rmsprop_no_memory,42,1175.9473
600,24.950715,0.0003,0.006993,rmsprop_no_memory,42,1175.9473
610,24.628785,0.0003,0.007005,rmsprop_no_memory,42,1175.9473
620,24.402257,0.0003,0.007009,rmsprop_no_memory,42,1175.9473
630,24.285935,0.0003,0.007014,rmsprop_no_memory,42,1175.9473
640,24.065127,0.0003,0.007049,rmsprop_no_memory,42,1175.9473
650,23.913739,0.0003,0.007033,rmsprop_no_memory,42,1175.9473
660,23.763877,0.0003,0.007002,rmsprop_no_memory,42,1175.9473
670,23.433992,0.0003,0.006968,rmsprop_no_memory,42,1175.9473
680,23.351279,0.0003,0.007119,rmsprop_no_memory,42,1175.9473
690,23.101056,0.0003,0.007154,rmsprop_no_memory,42,1175.9473
700,22.960670,0.0003,0.007117,rmsprop_no_memory,42,1175.9473
710,22.816072,0.0003,0.007009,rmsprop_no_memory,42,1175.9473
720,22.481605,0.0003,0.007049,rmsprop_no_memory,42,1175.9473
730,22.349316,0.0003,0.007028,rmsprop_no_memory,42,1175.9473
740,22.270023,0.0003,0.007033,rmsprop_no_memory,42,1175.9473
750,22.156765,0.0003,0.007031,rmsprop_no_memory,42,1175.9473
760,21.849626,0.0003,0.007013,rmsprop_no_memory,42,1175.9473
770,21.696437,0.0003,0.007029,rmsprop_no_memory,42,1175.9473
780,21.553218,0.0003,0.007064,rmsprop_no_memory,42,1175.9473
790,21.300772,0.0003,0.007001,rmsprop_no_memory,42,1175.9473
800,21.151742,0.0003,0.007005,rmsprop_no_memory,42,1175.9473
810,21.096728,0.0003,0.007040,rmsprop_no_memory,42,1175.9473
820,20.798926,0.0003,0.007037,rmsprop_no_memory,42,1175.9473
830,20.607751,0.0003,0.006984,rmsprop_no_memory,42,1175.9473
840,20.463425,0.0003,0.007012,rmsprop_no_memory,42,1175.9473
850,20.311706,0.0003,0.006994,rmsprop_no_memory,42,1175.9473
860,20.181054,0.0003,0.006975,rmsprop_no_memory,42,1175.9473
870,19.998210,0.0003,0.006942,rmsprop_no_memory,42,1175.9473
880,19.849664,0.0003,0.007021,rmsprop_no_memory,42,1175.9473
890,19.710224,0.0003,0.006980,rmsprop_no_memory,42,1175.9473
900,19.515006,0.0003,0.007004,rmsprop_no_memory,42,1175.9473
910,19.395608,0.0003,0.006984,rmsprop_no_memory,42,1175.9473
920,19.157336,0.0003,0.007061,rmsprop_no_memory,42,1175.9473
930,19.069000,0.0003,0.007062,rmsprop_no_memory,42,1175.9473
940,18.877432,0.0003,0.007010,rmsprop_no_memory,42,1175.9473
950,18.674049,0.0003,0.007056,rmsprop_no_memory,42,1175.9473
960,18.486526,0.0003,0.007010,rmsprop_no_memory,42,1175.9473
970,18.447779,0.0003,0.007088,rmsprop_no_memory,42,1175.9473
980,18.283652,0.0003,0.007007,rmsprop_no_memory,42,1175.9473
990,18.136231,0.0003,0.007055,rmsprop_no_memory,42,1175.9473
1000,17.979002,0.0003,0.007014,rmsprop_no_memory,42,1175.9473
