step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,175.743449,0.0003,0.078854,sgd,42,1175.9473
20,172.035675,0.0003,0.006830,sgd,42,1175.9473
30,166.524309,0.0003,0.006702,sgd,42,1175.9473
40,159.031061,0.0003,0.006701,sgd,42,1175.9473
50,147.414932,0.0003,0.006789,sgd,42,1175.9473
60,121.862149,0.0003,0.006732,sgd,42,1175.9473
70,77.007571,0.0003,0.006978,sgd,42,1175.9473
80,54.964085,0.0003,0.006663,sgd,42,1175.9473
90,48.696155,0.0003,0.006759,sgd,42,1175.9473
100,45.535894,0.0003,0.006649,sgd,42,1175.9473
110,43.420952,0.0003,0.006765,sgd,42,1175.9473
120,41.673767,0.0003,0.006650,sgd,42,1175.9473
130,40.026696,0.0003,0.006812,sgd,42,1175.9473
140,38.598326,0.0003,0.006702,sgd,42,1175.9473
150,37.132772,0.0003,0.006916,sgd,42,1175.9473
160,36.002742,0.0003,0.006674,sgd,42,1175.9473
170,34.433017,0.0003,0.006776,sgd,42,1175.9473
180,33.318686,0.0003,0.006656,sgd,42,1175.9473
190,32.011678,0.0003,0.006828,sgd,42,1175.9473
200,30.748615,0.0003,0.006654,sgd,42,1175.9473
210,29.458429,0.0003,0.006780,sgd,42,1175.9473
220,28.257380,0.0003,0.006669,sgd,42,1175.9473
230,26.970179,0.0003,0.006721,sgd,42,1175.9473
240,25.770265,0.0003,0.006811,sgd,42,1175.9473
250,24.614637,0.0003,0.006672,sgd,42,1175.9473
260,23.376925,0.0003,0.006789,sgd,42,1175.9473
270,22.198381,0.0003,0.006687,sgd,42,1175.9473
280,21.094039,0.0003,0.006782,sgd,42,1175.9473
290,19.971167,0.0003,0.006677,sgd,42,1175.9473
300,18.928569,0.0003,0.006764,sgd,42,1175.9473
310,17.906450,0.0003,0.006892,sgd,42,1175.9473
320,16.982690,0.0003,0.006699,sgd,42,1175.9473
330,16.212959,0.0003,0.006790,sgd,42,1175.9473
340,15.415158,0.0003,0.006677,sgd,42,1175.9473
350,14.713185,0.0003,0.006784,sgd,42,1175.9473
360,14.135368,0.0003,0.006693,sgd,42,1175.9473
370,13.597284,0.0003,0.006725,sgd,42,1175.9473
380,13.125868,0.0003,0.006719,sgd,42,1175.9473
390,12.760548,0.0003,0.006705,sgd,42,1175.9473
400,12.427004,0.0003,0.006756,sgd,42,1175.9473
410,12.145156,0.0003,0.007375,sgd,42,1175.9473
420,11.912252,0.0003,0.006823,sgd,42,1175.9473
430,11.700063,0.0003,0.006688,sgd,42,1175.9473
440,11.554993,0.0003,0.006812,sgd,42,1175.9473
450,11.423286,0.0003,0.006731,sgd,42,1175.9473
460,11.314088,0.0003,0.006796,sgd,42,1175.9473
470,11.230002,0.0003,0.006845,sgd,42,1175.9473
480,11.172653,0.0003,0.006780,sgd,42,1175.9473
490,11.099567,0.0003,0.006710,sgd,42,1175.9473
500,11.045423,0.0003,0.006757,sgd,42,1175.9473
510,11.014538,0.0003,0.006790,sgd,42,1175.9473
520,10.972165,0.0003,0.006700,sgd,42,1175.9473
530,10.938579,0.0003,0.006805,sgd,42,1175.9473
540,10.920192,0.0003,0.006658,sgd,42,1175.9473
550,10.884665,0.0003,0.006801,sgd,42,1175.9473
560,10.877061,0.0003,0.006690,sgd,42,1175.9473
570,10.859661,0.0003,0.006765,sgd,42,1175.9473
580,10.839424,0.0003,0.006700,sgd,42,1175.9473
590,10.826572,0.0003,0.006664,sgd,42,1175.9473
600,10.814189,0.0003,0.006883,sgd,42,1175.9473
610,10.809590,0.0003,0.006744,sgd,42,1175.9473
620,10.793359,0.0003,0.006782,sgd,42,1175.9473
630,10.781026,0.0003,0.006730,sgd,42,1175.9473
640,10.787320,0.0003,0.006690,sgd,42,1175.9473
650,10.764896,0.0003,0.006792,sgd,42,1175.9473
660,10.752342,0.0003,0.006660,sgd,42,1175.9473
670,10.741008,0.0003,0.006778,sgd,42,1175.9473
680,10.751038,0.0003,0.006652,sgd,42,1175.9473
690,10.740237,0.0003,0.006710,sgd,42,1175.9473
700,10.728106,0.0003,0.006756,sgd,42,1175.9473
710,10.727409,0.0003,0.006646,sgd,42,1175.9473
720,10.712026,0.0003,0.007131,sgd,42,1175.9473
730,10.713976,0.0003,0.006753,sgd,42,1175.9473
740,10.711855,0.0003,0.006704,sgd,42,1175.9473
750,10.711182,0.0003,0.006657,sgd,42,1175.9473
760,10.698934,0.0003,0.006834,sgd,42,1175.9473
770,10.700264,0.0003,0.006693,sgd,42,1175.9473
780,10.687461,0.0003,0.006732,sgd,42,1175.9473
790,10.688663,0.0003,0.006764,sgd,42,1175.9473
800,10.687585,0.0003,0.006733,sgd,42,1175.9473
810,10.683889,0.0003,0.006699,sgd,42,1175.9473
820,10.675511,0.0003,0.006735,sgd,42,1175.9473
830,10.681219,0.0003,0.006746,sgd,42,1175.9473
840,10.673388,0.0003,0.006661,sgd,42,1175.9473
850,10.668328,0.0003,0.006799,sgd,42,1175.9473
860,10.670382,0.0003,0.006657,sgd,42,1175.9473
870,10.659981,0.0003,0.006820,sgd,42,1175.9473
880,10.660584,0.0003,0.007267,sgd,42,1175.9473
890,10.655489,0.0003,0.006562,sgd,42,1175.9473
900,10.660176,0.0003,0.007090,sgd,42,1175.9473
910,10.654591,0.0003,0.006744,sgd,42,1175.9473
920,10.646848,0.0003,0.006629,sgd,42,1175.9473
930,10.650384,0.0003,0.006566,sgd,42,1175.9473
940,10.637436,0.0003,0.006559,sgd,42,1175.9473
950,10.650740,0.0003,0.006491,sgd,42,1175.9473
960,10.647684,0.0003,0.006874,sgd,42,1175.9473
970,10.645009,0.0003,0.006582,sgd,42,1175.9473
980,10.633457,0.0003,0.006461,sgd,42,1175.9473
990,10.633982,0.0003,0.006626,sgd,42,1175.9473
1000,10.629595,0.0003,0.006566,sgd,42,1175.9473
