step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,76.000026,0.0003,0.064594,rmsprop_pnorm,42,1175.9473
20,46.931952,0.0003,0.009648,rmsprop_pnorm,42,1175.9473
30,42.553630,0.0003,0.009781,rmsprop_pnorm,42,1175.9473
40,40.478655,0.0003,0.009656,rmsprop_pnorm,42,1175.9473
50,39.081086,0.0003,0.009611,rmsprop_pnorm,42,1175.9473
60,38.142519,0.0003,0.009580,rmsprop_pnorm,42,1175.9473
70,37.119344,0.0003,0.009618,rmsprop_pnorm,42,1175.9473
80,36.299432,0.0003,0.009672,rmsprop_pnorm,42,1175.9473
90,35.690719,0.0003,0.010085,rmsprop_pnorm,42,1175.9473
100,34.880044,0.0003,0.009666,rmsprop_pnorm,42,1175.9473
110,34.490295,0.0003,0.009661,rmsprop_pnorm,42,1175.9473
120,34.037465,0.0003,0.009680,rmsprop_pnorm,42,1175.9473
130,33.598630,0.0003,0.009546,rmsprop_pnorm,42,1175.9473
140,33.252782,0.0003,0.009757,rmsprop_pnorm,42,1175.9473
150,32.792405,0.0003,0.009565,rmsprop_pnorm,42,1175.9473
160,32.568494,0.0003,0.009936,rmsprop_pnorm,42,1175.9473
170,31.978719,0.0003,0.009856,rmsprop_pnorm,42,1175.9473
180,31.629140,0.0003,0.009524,rmsprop_pnorm,42,1175.9473
190,31.406875,0.0003,0.009776,rmsprop_pnorm,42,1175.9473
200,31.153306,0.0003,0.009752,rmsprop_pnorm,42,1175.9473
