step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,81.689531,0.001,0.081597,rmsprop_pnorm,42,1175.9473
20,47.780429,0.001,0.009935,rmsprop_pnorm,42,1175.9473
30,42.059047,0.001,0.010157,rmsprop_pnorm,42,1175.9473
40,39.312251,0.001,0.009820,rmsprop_pnorm,42,1175.9473
50,37.501538,0.001,0.010121,rmsprop_pnorm,42,1175.9473
60,36.157168,0.001,0.009878,rmsprop_pnorm,42,1175.9473
70,34.916438,0.001,0.010014,rmsprop_pnorm,42,1175.9473
80,33.788491,0.001,0.009839,rmsprop_pnorm,42,1175.9473
90,32.803766,0.001,0.009822,rmsprop_pnorm,42,1175.9473
100,31.758768,0.001,0.009908,rmsprop_pnorm,42,1175.9473
110,31.042565,0.001,0.009922,rmsprop_pnorm,42,1175.9473
120,30.365604,0.001,0.009897,rmsprop_pnorm,42,1175.9473
130,29.458033,0.001,0.009958,rmsprop_pnorm,42,1175.9473
140,28.816789,0.001,0.010741,rmsprop_pnorm,42,1175.9473
150,28.128902,0.001,0.009738,rmsprop_pnorm,42,1175.9473
160,27.673195,0.001,0.009635,rmsprop_pnorm,42,1175.9473
170,26.750022,0.001,0.009807,rmsprop_pnorm,42,1175.9473
180,26.152729,0.001,0.009757,rmsprop_pnorm,42,1175.9473
190,25.621155,0.001,0.009654,rmsprop_pnorm,42,1175.9473
200,25.089217,0.001,0.009740,rmsprop_pnorm,42,1175.9473
