step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,157.521567,0.0003,0.101945,adafactor,42,1138.7280
20,71.050019,0.0003,0.019593,adafactor,42,1138.7280
30,47.463975,0.0003,0.019773,adafactor,42,1138.7280
40,42.973063,0.0003,0.019772,adafactor,42,1138.7280
50,40.220097,0.0003,0.019641,adafactor,42,1138.7280
60,38.297062,0.0003,0.019727,adafactor,42,1138.7280
70,36.733692,0.0003,0.019825,adafactor,42,1138.7280
80,35.401156,0.0003,0.019689,adafactor,42,1138.7280
90,34.088122,0.0003,0.019557,adafactor,42,1138.7280
100,32.925099,0.0003,0.019877,adafactor,42,1138.7280
110,32.079157,0.0003,0.020113,adafactor,42,1138.7280
120,31.105462,0.0003,0.019636,adafactor,42,1138.7280
130,30.227654,0.0003,0.019611,adafactor,42,1138.7280
140,29.439889,0.0003,0.019882,adafactor,42,1138.7280
150,28.474451,0.0003,0.019791,adafactor,42,1138.7280
160,27.899411,0.0003,0.019659,adafactor,42,1138.7280
170,27.096608,0.0003,0.019428,adafactor,42,1138.7280
180,26.485449,0.0003,0.019605,adafactor,42,1138.7280
190,25.922173,0.0003,0.019658,adafactor,42,1138.7280
200,25.290254,0.0003,0.020063,adafactor,42,1138.7280
210,24.657486,0.0003,0.019660,adafactor,42,1138.7280
220,24.182695,0.0003,0.019677,adafactor,42,1138.7280
230,23.593255,0.0003,0.019669,adafactor,42,1138.7280
240,22.959531,0.0003,0.019868,adafactor,42,1138.7280
250,22.536207,0.0003,0.019628,adafactor,42,1138.7280
260,22.106250,0.0003,0.019585,adafactor,42,1138.7280
270,21.618046,0.0003,0.019642,adafactor,42,1138.7280
280,21.248135,0.0003,0.019590,adafactor,42,1138.7280
290,20.779890,0.0003,0.019795,adafactor,42,1138.7280
300,20.454370,0.0003,0.019614,adafactor,42,1138.7280
310,19.994418,0.0003,0.019732,adafactor,42,1138.7280
320,19.718322,0.0003,0.019670,adafactor,42,1138.7280
330,19.426286,0.0003,0.019674,adafactor,42,1138.7280
340,19.064672,0.0003,0.019649,adafactor,42,1138.7280
350,18.674140,0.0003,0.019921,adafactor,42,1138.7280
360,18.517487,0.0003,0.019574,adafactor,42,1138.7280
370,18.210759,0.0003,0.019761,adafactor,42,1138.7280
380,17.927840,0.0003,0.019767,adafactor,42,1138.7280
390,17.544820,0.0003,0.019606,adafactor,42,1138.7280
400,17.404580,0.0003,0.019869,adafactor,42,1138.7280
410,17.119873,0.0003,0.019669,adafactor,42,1138.7280
420,16.851918,0.0003,0.019745,adafactor,42,1138.7280
430,16.654955,0.0003,0.019663,adafactor,42,1138.7280
440,16.342331,0.0003,0.019571,adafactor,42,1138.7280
450,16.289094,0.0003,0.019789,adafactor,42,1138.7280
460,15.932014,0.0003,0.020133,adafactor,42,1138.7280
470,15.848002,0.0003,0.019842,adafactor,42,1138.7280
480,15.604128,0.0003,0.019685,adafactor,42,1138.7280
490,15.426298,0.0003,0.019831,adafactor,42,1138.7280
500,15.327004,0.0003,0.019692,adafactor,42,1138.7280
510,15.110378,0.0003,0.019695,adafactor,42,1138.7280
520,14.987201,0.0003,0.019619,adafactor,42,1138.7280
530,14.832129,0.0003,0.019812,adafactor,42,1138.7280
540,14.586845,0.0003,0.019600,adafactor,42,1138.7280
550,14.512665,0.0003,0.019719,adafactor,42,1138.7280
560,14.391497,0.0003,0.019680,adafactor,42,1138.7280
570,14.225313,0.0003,0.019753,adafactor,42,1138.7280
580,14.160020,0.0003,0.019746,adafactor,42,1138.7280
590,13.950378,0.0003,0.019576,adafactor,42,1138.7280
600,13.864596,0.0003,0.019591,adafactor,42,1138.7280
610,13.706243,0.0003,0.020096,adafactor,42,1138.7280
620,13.576705,0.0003,0.019602,adafactor,42,1138.7280
630,13.543153,0.0003,0.019711,adafactor,42,1138.7280
640,13.352956,0.0003,0.019807,adafactor,42,1138.7280
650,13.288705,0.0003,0.019753,adafactor,42,1138.7280
660,13.203849,0.0003,0.019561,adafactor,42,1138.7280
670,13.058491,0.0003,0.019999,adafactor,42,1138.7280
680,12.937681,0.0003,0.019635,adafactor,42,1138.7280
690,12.887232,0.0003,0.019717,adafactor,42,1138.7280
700,12.748294,0.0003,0.019695,adafactor,42,1138.7280
710,12.721845,0.0003,0.019908,adafactor,42,1138.7280
720,12.591468,0.0003,0.019722,adafactor,42,1138.7280
730,12.511219,0.0003,0.019672,adafactor,42,1138.7280
740,12.472198,0.0003,0.019983,adafactor,42,1138.7280
750,12.336408,0.0003,0.019625,adafactor,42,1138.7280
760,12.236921,0.0003,0.019669,adafactor,42,1138.7280
770,12.164270,0.0003,0.019714,adafactor,42,1138.7280
780,12.042466,0.0003,0.019662,adafactor,42,1138.7280
790,11.893740,0.0003,0.019751,adafactor,42,1138.7280
800,11.798262,0.0003,0.019662,adafactor,42,1138.7280
810,11.687041,0.0003,0.019786,adafactor,42,1138.7280
820,11.539690,0.0003,0.019989,adafactor,42,1138.7280
830,11.381020,0.0003,0.019710,adafactor,42,1138.7280
840,11.207022,0.0003,0.019732,adafactor,42,1138.7280
850,11.116202,0.0003,0.019581,adafactor,42,1138.7280
860,10.892407,0.0003,0.019747,adafactor,42,1138.7280
870,10.716998,0.0003,0.019738,adafactor,42,1138.7280
880,10.597530,0.0003,0.020420,adafactor,42,1138.7280
890,10.552749,0.0003,0.019765,adafactor,42,1138.7280
900,10.535724,0.0003,0.019899,adafactor,42,1138.7280
910,10.525882,0.0003,0.019742,adafactor,42,1138.7280
920,10.505540,0.0003,0.019742,adafactor,42,1138.7280
930,10.503587,0.0003,0.019686,adafactor,42,1138.7280
940,10.484191,0.0003,0.019567,adafactor,42,1138.7280
950,10.476958,0.0003,0.019761,adafactor,42,1138.7280
960,10.471449,0.0003,0.019661,adafactor,42,1138.7280
970,10.464920,0.0003,0.019885,adafactor,42,1138.7280
980,10.450930,0.0003,0.019916,adafactor,42,1138.7280
990,10.449628,0.0003,0.020065,adafactor,42,1138.7280
1000,10.445418,0.0003,0.019545,adafactor,42,1138.7280
