step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,163.161377,0.0003,0.084376,adamw,42,1213.3496
20,88.599819,0.0003,0.007137,adamw,42,1213.3496
30,55.564792,0.0003,0.007175,adamw,42,1213.3496
40,50.218995,0.0003,0.007233,adamw,42,1213.3496
50,47.072879,0.0003,0.007035,adamw,42,1213.3496
60,44.906536,0.0003,0.007282,adamw,42,1213.3496
70,43.082042,0.0003,0.007135,adamw,42,1213.3496
80,41.622651,0.0003,0.007190,adamw,42,1213.3496
90,40.147637,0.0003,0.007267,adamw,42,1213.3496
100,38.793088,0.0003,0.007116,adamw,42,1213.3496
110,37.693071,0.0003,0.007149,adamw,42,1213.3496
120,36.578872,0.0003,0.007098,adamw,42,1213.3496
130,35.615036,0.0003,0.007017,adamw,42,1213.3496
140,34.728730,0.0003,0.007647,adamw,42,1213.3496
150,33.619413,0.0003,0.007198,adamw,42,1213.3496
160,32.953996,0.0003,0.007042,adamw,42,1213.3496
170,31.860733,0.0003,0.007163,adamw,42,1213.3496
180,31.178033,0.0003,0.007110,adamw,42,1213.3496
190,30.555496,0.0003,0.007128,adamw,42,1213.3496
200,29.685050,0.0003,0.007134,adamw,42,1213.3496
210,28.969934,0.0003,0.007079,adamw,42,1213.3496
220,28.455434,0.0003,0.007286,adamw,42,1213.3496
230,27.630018,0.0003,0.007115,adamw,42,1213.3496
240,27.015171,0.0003,0.007132,adamw,42,1213.3496
250,26.404115,0.0003,0.007167,adamw,42,1213.3496
260,26.017347,0.0003,0.007065,adamw,42,1213.3496
270,25.323676,0.0003,0.007148,adamw,42,1213.3496
280,25.021490,0.0003,0.007135,adamw,42,1213.3496
290,24.358060,0.0003,0.007372,adamw,42,1213.3496
300,23.840814,0.0003,0.007086,adamw,42,1213.3496
310,23.417847,0.0003,0.007133,adamw,42,1213.3496
320,23.043076,0.0003,0.007113,adamw,42,1213.3496
330,22.696364,0.0003,0.007192,adamw,42,1213.3496
340,22.211875,0.0003,0.007061,adamw,42,1213.3496
350,21.890358,0.0003,0.007180,adamw,42,1213.3496
360,21.528038,0.0003,0.007114,adamw,42,1213.3496
370,21.291208,0.0003,0.007563,adamw,42,1213.3496
380,20.946699,0.0003,0.007068,adamw,42,1213.3496
390,20.465559,0.0003,0.007168,adamw,42,1213.3496
400,20.270908,0.0003,0.007119,adamw,42,1213.3496
410,19.989676,0.0003,0.007300,adamw,42,1213.3496
420,19.660678,0.0003,0.007118,adamw,42,1213.3496
430,19.345202,0.0003,0.007183,adamw,42,1213.3496
440,19.108348,0.0003,0.007078,adamw,42,1213.3496
450,18.996427,0.0003,0.007233,adamw,42,1213.3496
460,18.579989,0.0003,0.007107,adamw,42,1213.3496
470,18.386370,0.0003,0.007190,adamw,42,1213.3496
480,18.190785,0.0003,0.007120,adamw,42,1213.3496
490,18.025005,0.0003,0.007194,adamw,42,1213.3496
500,17.897286,0.0003,0.007178,adamw,42,1213.3496
510,17.659890,0.0003,0.007271,adamw,42,1213.3496
520,17.404659,0.0003,0.007824,adamw,42,1213.3496
530,17.216261,0.0003,0.006861,adamw,42,1213.3496
540,16.985376,0.0003,0.006926,adamw,42,1213.3496
550,16.816796,0.0003,0.007171,adamw,42,1213.3496
560,16.647405,0.0003,0.006922,adamw,42,1213.3496
570,16.572298,0.0003,0.006996,adamw,42,1213.3496
580,16.431916,0.0003,0.007317,adamw,42,1213.3496
590,16.136669,0.0003,0.007117,adamw,42,1213.3496
600,16.149719,0.0003,0.007011,adamw,42,1213.3496
610,15.931266,0.0003,0.006986,adamw,42,1213.3496
620,15.694972,0.0003,0.006904,adamw,42,1213.3496
630,15.649625,0.0003,0.006921,adamw,42,1213.3496
640,15.457120,0.0003,0.007041,adamw,42,1213.3496
650,15.416210,0.0003,0.007034,adamw,42,1213.3496
660,15.220222,0.0003,0.006910,adamw,42,1213.3496
670,15.144258,0.0003,0.007136,adamw,42,1213.3496
680,14.965593,0.0003,0.006937,adamw,42,1213.3496
690,14.948736,0.0003,0.006917,adamw,42,1213.3496
700,14.767836,0.0003,0.006969,adamw,42,1213.3496
710,14.701966,0.0003,0.006891,adamw,42,1213.3496
720,14.524811,0.0003,0.006909,adamw,42,1213.3496
730,14.472735,0.0003,0.007021,adamw,42,1213.3496
740,14.375517,0.0003,0.006991,adamw,42,1213.3496
750,14.315763,0.0003,0.006891,adamw,42,1213.3496
760,14.124659,0.0003,0.006974,adamw,42,1213.3496
770,14.108348,0.0003,0.006980,adamw,42,1213.3496
780,13.995222,0.0003,0.006939,adamw,42,1213.3496
790,13.819151,0.0003,0.006879,adamw,42,1213.3496
800,13.774877,0.0003,0.006986,adamw,42,1213.3496
810,13.832971,0.0003,0.006989,adamw,42,1213.3496
820,13.644516,0.0003,0.006909,adamw,42,1213.3496
830,13.580145,0.0003,0.007030,adamw,42,1213.3496
840,13.413752,0.0003,0.006945,adamw,42,1213.3496
850,13.510000,0.0003,0.006882,adamw,42,1213.3496
860,13.393155,0.0003,0.007041,adamw,42,1213.3496
870,13.322745,0.0003,0.006901,adamw,42,1213.3496
880,13.258826,0.0003,0.006896,adamw,42,1213.3496
890,13.196848,0.0003,0.007026,adamw,42,1213.3496
900,13.121019,0.0003,0.007011,adamw,42,1213.3496
910,13.060469,0.0003,0.006965,adamw,42,1213.3496
920,13.016239,0.0003,0.006999,adamw,42,1213.3496
930,12.910552,0.0003,0.006966,adamw,42,1213.3496
940,12.854012,0.0003,0.006899,adamw,42,1213.3496
950,12.785062,0.0003,0.006964,adamw,42,1213.3496
960,12.641238,0.0003,0.006890,adamw,42,1213.3496
970,12.738485,0.0003,0.006981,adamw,42,1213.3496
980,12.638921,0.0003,0.006935,adamw,42,1213.3496
990,12.608365,0.0003,0.006965,adamw,42,1213.3496
1000,12.569229,0.0003,0.007028,adamw,42,1213.3496
