step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,76.000026,0.0003,0.083303,rmsprop_pnorm,42,1175.9473
20,46.931952,0.0003,0.010142,rmsprop_pnorm,42,1175.9473
30,42.553630,0.0003,0.009920,rmsprop_pnorm,42,1175.9473
40,40.478655,0.0003,0.009865,rmsprop_pnorm,42,1175.9473
50,39.081086,0.0003,0.009878,rmsprop_pnorm,42,1175.9473
60,38.142519,0.0003,0.009909,rmsprop_pnorm,42,1175.9473
70,37.119344,0.0003,0.010021,rmsprop_pnorm,42,1175.9473
80,36.299432,0.0003,0.009910,rmsprop_pnorm,42,1175.9473
90,35.690719,0.0003,0.009861,rmsprop_pnorm,42,1175.9473
100,34.880044,0.0003,0.009751,rmsprop_pnorm,42,1175.9473
110,34.490295,0.0003,0.009949,rmsprop_pnorm,42,1175.9473
120,34.037465,0.0003,0.009788,rmsprop_pnorm,42,1175.9473
130,33.598630,0.0003,0.009771,rmsprop_pnorm,42,1175.9473
140,33.252782,0.0003,0.009890,rmsprop_pnorm,42,1175.9473
150,32.792405,0.0003,0.009796,rmsprop_pnorm,42,1175.9473
160,32.568494,0.0003,0.010005,rmsprop_pnorm,42,1175.9473
170,31.978719,0.0003,0.009870,rmsprop_pnorm,42,1175.9473
180,31.629140,0.0003,0.009850,rmsprop_pnorm,42,1175.9473
190,31.406875,0.0003,0.009723,rmsprop_pnorm,42,1175.9473
200,31.153306,0.0003,0.009690,rmsprop_pnorm,42,1175.9473
210,30.800156,0.0003,0.009936,rmsprop_pnorm,42,1175.9473
220,30.553277,0.0003,0.010211,rmsprop_pnorm,42,1175.9473
230,30.302565,0.0003,0.009983,rmsprop_pnorm,42,1175.9473
240,30.003899,0.0003,0.010239,rmsprop_pnorm,42,1175.9473
250,29.804380,0.0003,0.009861,rmsprop_pnorm,42,1175.9473
260,29.471929,0.0003,0.009802,rmsprop_pnorm,42,1175.9473
270,29.188545,0.0003,0.009804,rmsprop_pnorm,42,1175.9473
280,29.015884,0.0003,0.009679,rmsprop_pnorm,42,1175.9473
290,28.669965,0.0003,0.010030,rmsprop_pnorm,42,1175.9473
300,28.469608,0.0003,0.009901,rmsprop_pnorm,42,1175.9473
310,28.386664,0.0003,0.009716,rmsprop_pnorm,42,1175.9473
320,28.045952,0.0003,0.009776,rmsprop_pnorm,42,1175.9473
330,27.911721,0.0003,0.009763,rmsprop_pnorm,42,1175.9473
340,27.569922,0.0003,0.009828,rmsprop_pnorm,42,1175.9473
350,27.343741,0.0003,0.009851,rmsprop_pnorm,42,1175.9473
360,27.072749,0.0003,0.010608,rmsprop_pnorm,42,1175.9473
370,27.031079,0.0003,0.009841,rmsprop_pnorm,42,1175.9473
380,26.739741,0.0003,0.009681,rmsprop_pnorm,42,1175.9473
390,26.639121,0.0003,0.009618,rmsprop_pnorm,42,1175.9473
400,26.393485,0.0003,0.009783,rmsprop_pnorm,42,1175.9473
410,26.139727,0.0003,0.009684,rmsprop_pnorm,42,1175.9473
420,25.976103,0.0003,0.009758,rmsprop_pnorm,42,1175.9473
430,25.829082,0.0003,0.009691,rmsprop_pnorm,42,1175.9473
440,25.587457,0.0003,0.009791,rmsprop_pnorm,42,1175.9473
450,25.475397,0.0003,0.009787,rmsprop_pnorm,42,1175.9473
460,25.261827,0.0003,0.009803,rmsprop_pnorm,42,1175.9473
470,25.030658,0.0003,0.009831,rmsprop_pnorm,42,1175.9473
480,25.009166,0.0003,0.009695,rmsprop_pnorm,42,1175.9473
490,24.808279,0.0003,0.009705,rmsprop_pnorm,42,1175.9473
500,24.640662,0.0003,0.009702,rmsprop_pnorm,42,1175.9473
510,24.428033,0.0003,0.009771,rmsprop_pnorm,42,1175.9473
520,24.233054,0.0003,0.009781,rmsprop_pnorm,42,1175.9473
530,24.106969,0.0003,0.009743,rmsprop_pnorm,42,1175.9473
540,23.782172,0.0003,0.009709,rmsprop_pnorm,42,1175.9473
550,23.674058,0.0003,0.009746,rmsprop_pnorm,42,1175.9473
560,23.564741,0.0003,0.010097,rmsprop_pnorm,42,1175.9473
570,23.465599,0.0003,0.009816,rmsprop_pnorm,42,1175.9473
580,23.299524,0.0003,0.009772,rmsprop_pnorm,42,1175.9473
590,23.018802,0.0003,0.009811,rmsprop_pnorm,42,1175.9473
600,22.878155,0.0003,0.009764,rmsprop_pnorm,42,1175.9473
610,22.739504,0.0003,0.009820,rmsprop_pnorm,42,1175.9473
620,22.562235,0.0003,0.009608,rmsprop_pnorm,42,1175.9473
630,22.361721,0.0003,0.009781,rmsprop_pnorm,42,1175.9473
640,22.260757,0.0003,0.010200,rmsprop_pnorm,42,1175.9473
650,21.988911,0.0003,0.009858,rmsprop_pnorm,42,1175.9473
660,21.903140,0.0003,0.009845,rmsprop_pnorm,42,1175.9473
670,21.788087,0.0003,0.009655,rmsprop_pnorm,42,1175.9473
680,21.581404,0.0003,0.009850,rmsprop_pnorm,42,1175.9473
690,21.522275,0.0003,0.009723,rmsprop_pnorm,42,1175.9473
700,21.404535,0.0003,0.009852,rmsprop_pnorm,42,1175.9473
710,21.180009,0.0003,0.009874,rmsprop_pnorm,42,1175.9473
720,20.971776,0.0003,0.009761,rmsprop_pnorm,42,1175.9473
730,20.830731,0.0003,0.009966,rmsprop_pnorm,42,1175.9473
740,20.646270,0.0003,0.009964,rmsprop_pnorm,42,1175.9473
750,20.697684,0.0003,0.009578,rmsprop_pnorm,42,1175.9473
760,20.508409,0.0003,0.009795,rmsprop_pnorm,42,1175.9473
770,20.434483,0.0003,0.009740,rmsprop_pnorm,42,1175.9473
780,20.158476,0.0003,0.009690,rmsprop_pnorm,42,1175.9473
790,20.081920,0.0003,0.009703,rmsprop_pnorm,42,1175.9473
800,19.897415,0.0003,0.009660,rmsprop_pnorm,42,1175.9473
810,19.775880,0.0003,0.009754,rmsprop_pnorm,42,1175.9473
820,19.548089,0.0003,0.009752,rmsprop_pnorm,42,1175.9473
830,19.503850,0.0003,0.010053,rmsprop_pnorm,42,1175.9473
840,19.307989,0.0003,0.009908,rmsprop_pnorm,42,1175.9473
850,19.346405,0.0003,0.009955,rmsprop_pnorm,42,1175.9473
860,19.118962,0.0003,0.009885,rmsprop_pnorm,42,1175.9473
870,18.961156,0.0003,0.009710,rmsprop_pnorm,42,1175.9473
880,18.822797,0.0003,0.009730,rmsprop_pnorm,42,1175.9473
890,18.707192,0.0003,0.009857,rmsprop_pnorm,42,1175.9473
900,18.577476,0.0003,0.009942,rmsprop_pnorm,42,1175.9473
910,18.380814,0.0003,0.009719,rmsprop_pnorm,42,1175.9473
920,18.209912,0.0003,0.009889,rmsprop_pnorm,42,1175.9473
930,18.168287,0.0003,0.009787,rmsprop_pnorm,42,1175.9473
940,18.056272,0.0003,0.010203,rmsprop_pnorm,42,1175.9473
950,17.876470,0.0003,0.009766,rmsprop_pnorm,42,1175.9473
960,17.695148,0.0003,0.009775,rmsprop_pnorm,42,1175.9473
970,17.642887,0.0003,0.009718,rmsprop_pnorm,42,1175.9473
980,17.496681,0.0003,0.009717,rmsprop_pnorm,42,1175.9473
990,17.330068,0.0003,0.009798,rmsprop_pnorm,42,1175.9473
1000,17.202972,0.0003,0.009691,rmsprop_pnorm,42,1175.9473
