step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,108.376340,0.001,0.067887,adamw,42,1213.3496
20,49.613618,0.001,0.007440,adamw,42,1213.3496
30,43.851154,0.001,0.007197,adamw,42,1213.3496
40,40.356606,0.001,0.007174,adamw,42,1213.3496
50,37.268267,0.001,0.007501,adamw,42,1213.3496
60,34.543692,0.001,0.007852,adamw,42,1213.3496
70,32.086978,0.001,0.007664,adamw,42,1213.3496
80,30.008916,0.001,0.008407,adamw,42,1213.3496
90,27.998340,0.001,0.007130,adamw,42,1213.3496
100,26.167501,0.001,0.007193,adamw,42,1213.3496
110,24.712647,0.001,0.007111,adamw,42,1213.3496
120,23.237104,0.001,0.007260,adamw,42,1213.3496
130,22.100881,0.001,0.007091,adamw,42,1213.3496
140,21.107047,0.001,0.007724,adamw,42,1213.3496
150,19.978987,0.001,0.007104,adamw,42,1213.3496
160,19.296643,0.001,0.007243,adamw,42,1213.3496
170,18.399693,0.001,0.007106,adamw,42,1213.3496
180,17.777530,0.001,0.007158,adamw,42,1213.3496
190,17.287585,0.001,0.007133,adamw,42,1213.3496
200,16.608480,0.001,0.007104,adamw,42,1213.3496
210,16.134114,0.001,0.007251,adamw,42,1213.3496
220,15.767405,0.001,0.007134,adamw,42,1213.3496
230,15.274937,0.001,0.007696,adamw,42,1213.3496
240,14.922222,0.001,0.007265,adamw,42,1213.3496
250,14.530881,0.001,0.007173,adamw,42,1213.3496
260,14.280400,0.001,0.007232,adamw,42,1213.3496
270,13.950641,0.001,0.007103,adamw,42,1213.3496
280,13.754256,0.001,0.007158,adamw,42,1213.3496
290,13.479697,0.001,0.007230,adamw,42,1213.3496
300,13.210556,0.001,0.007145,adamw,42,1213.3496
310,12.987111,0.001,0.007259,adamw,42,1213.3496
320,12.853389,0.001,0.007561,adamw,42,1213.3496
330,12.691104,0.001,0.007123,adamw,42,1213.3496
340,12.520926,0.001,0.007202,adamw,42,1213.3496
350,12.389911,0.001,0.007140,adamw,42,1213.3496
360,12.230522,0.001,0.007184,adamw,42,1213.3496
370,12.203137,0.001,0.007581,adamw,42,1213.3496
380,12.041704,0.001,0.006976,adamw,42,1213.3496
390,11.856307,0.001,0.006829,adamw,42,1213.3496
400,11.818309,0.001,0.006948,adamw,42,1213.3496
410,11.756793,0.001,0.006985,adamw,42,1213.3496
420,11.673423,0.001,0.006961,adamw,42,1213.3496
430,11.558445,0.001,0.006900,adamw,42,1213.3496
440,11.504850,0.001,0.007005,adamw,42,1213.3496
450,11.470867,0.001,0.006961,adamw,42,1213.3496
460,11.364491,0.001,0.006856,adamw,42,1213.3496
470,11.312860,0.001,0.006975,adamw,42,1213.3496
480,11.250028,0.001,0.006912,adamw,42,1213.3496
490,11.206093,0.001,0.006912,adamw,42,1213.3496
500,11.169717,0.001,0.006957,adamw,42,1213.3496
510,11.132687,0.001,0.006982,adamw,42,1213.3496
520,11.059292,0.001,0.007026,adamw,42,1213.3496
530,11.017931,0.001,0.006969,adamw,42,1213.3496
540,10.995088,0.001,0.006962,adamw,42,1213.3496
550,10.967599,0.001,0.006888,adamw,42,1213.3496
560,10.952624,0.001,0.006960,adamw,42,1213.3496
570,10.918583,0.001,0.007014,adamw,42,1213.3496
580,10.909112,0.001,0.006927,adamw,42,1213.3496
590,10.825944,0.001,0.006881,adamw,42,1213.3496
600,10.845036,0.001,0.006984,adamw,42,1213.3496
610,10.816634,0.001,0.006969,adamw,42,1213.3496
620,10.779760,0.001,0.007065,adamw,42,1213.3496
630,10.782310,0.001,0.007042,adamw,42,1213.3496
640,10.772403,0.001,0.006892,adamw,42,1213.3496
