step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,84.789149,0.0001,0.084389,rmsprop_pnorm,42,1175.9473
20,48.594088,0.0001,0.010078,rmsprop_pnorm,42,1175.9473
30,45.272552,0.0001,0.009896,rmsprop_pnorm,42,1175.9473
40,43.741348,0.0001,0.009878,rmsprop_pnorm,42,1175.9473
50,42.734855,0.0001,0.009890,rmsprop_pnorm,42,1175.9473
60,41.878633,0.0001,0.009938,rmsprop_pnorm,42,1175.9473
70,41.387906,0.0001,0.010325,rmsprop_pnorm,42,1175.9473
80,40.793547,0.0001,0.010014,rmsprop_pnorm,42,1175.9473
90,40.238327,0.0001,0.010047,rmsprop_pnorm,42,1175.9473
100,39.796362,0.0001,0.009722,rmsprop_pnorm,42,1175.9473
110,39.504261,0.0001,0.009973,rmsprop_pnorm,42,1175.9473
120,39.226808,0.0001,0.009827,rmsprop_pnorm,42,1175.9473
130,38.864774,0.0001,0.010015,rmsprop_pnorm,42,1175.9473
140,38.803941,0.0001,0.009927,rmsprop_pnorm,42,1175.9473
150,38.380946,0.0001,0.009850,rmsprop_pnorm,42,1175.9473
160,38.425257,0.0001,0.009946,rmsprop_pnorm,42,1175.9473
170,37.893135,0.0001,0.009691,rmsprop_pnorm,42,1175.9473
180,37.806791,0.0001,0.010236,rmsprop_pnorm,42,1175.9473
190,37.712543,0.0001,0.010013,rmsprop_pnorm,42,1175.9473
200,37.447929,0.0001,0.009743,rmsprop_pnorm,42,1175.9473
