step,loss,lr,step_time,optimizer,seed,peak_memory_mb
10,107.790327,0.0001,0.075581,rmsprop_pnorm,42,1175.9473
20,52.899216,0.0001,0.009749,rmsprop_pnorm,42,1175.9473
30,48.383544,0.0001,0.009938,rmsprop_pnorm,42,1175.9473
40,46.259354,0.0001,0.009857,rmsprop_pnorm,42,1175.9473
50,44.805484,0.0001,0.009980,rmsprop_pnorm,42,1175.9473
60,43.703043,0.0001,0.010052,rmsprop_pnorm,42,1175.9473
70,43.020477,0.0001,0.009789,rmsprop_pnorm,42,1175.9473
80,42.469291,0.0001,0.010027,rmsprop_pnorm,42,1175.9473
90,41.864949,0.0001,0.010109,rmsprop_pnorm,42,1175.9473
100,41.329716,0.0001,0.009770,rmsprop_pnorm,42,1175.9473
110,40.990886,0.0001,0.009971,rmsprop_pnorm,42,1175.9473
120,40.574114,0.0001,0.009917,rmsprop_pnorm,42,1175.9473
130,40.199191,0.0001,0.009761,rmsprop_pnorm,42,1175.9473
140,39.998805,0.0001,0.010152,rmsprop_pnorm,42,1175.9473
150,39.490176,0.0001,0.009913,rmsprop_pnorm,42,1175.9473
160,39.452762,0.0001,0.009681,rmsprop_pnorm,42,1175.9473
170,38.962330,0.0001,0.009969,rmsprop_pnorm,42,1175.9473
180,38.871738,0.0001,0.009927,rmsprop_pnorm,42,1175.9473
190,38.708323,0.0001,0.009831,rmsprop_pnorm,42,1175.9473
200,38.387459,0.0001,0.009973,rmsprop_pnorm,42,1175.9473
