anchor_id,anchor_train_loss,optimizer,matched_step,matched_train_loss,abs_train_loss_error,test_loss,test_ece,test_acc,param_norm_l2,generalization_gap
1,73.595478,adafactor,10,73.595478,0.000000,52.376905,0.942079,0.041748,322.127893,-21.218574
1,73.595478,adamw,10,78.128182,4.532704,17.140257,0.719980,0.119263,320.043762,-60.987925
1,73.595478,rmsprop,10,84.288196,10.692718,27.707545,0.916145,0.038940,318.622622,-56.580650
1,73.595478,sgd,10,84.621169,11.025691,15.184209,0.563558,0.068665,318.409815,-69.436960
2,61.750616,adafactor,20,65.791273,4.040658,61.826893,0.983433,0.015686,324.259953,-3.964379
2,61.750616,adamw,10,78.128182,16.377566,17.140257,0.719980,0.119263,320.043762,-60.987925
2,61.750616,rmsprop,10,84.288196,22.537580,27.707545,0.916145,0.038940,318.622622,-56.580650
2,61.750616,sgd,10,84.621169,22.870553,15.184209,0.563558,0.068665,318.409815,-69.436960
3,49.905753,adafactor,30,48.819888,1.085865,42.716494,0.810079,0.186768,326.590781,-6.103394
3,49.905753,adamw,10,78.128182,28.222429,17.140257,0.719980,0.119263,320.043762,-60.987925
3,49.905753,rmsprop,20,22.062156,27.843597,17.289555,0.862253,0.049316,317.994434,-4.772601
3,49.905753,sgd,10,84.621169,34.715416,15.184209,0.563558,0.068665,318.409815,-69.436960
4,38.060890,adafactor,40,30.165660,7.895231,24.742985,0.797006,0.068542,328.743995,-5.422675
4,38.060890,adamw,20,12.413717,25.647174,7.234464,0.368297,0.181458,320.120448,-5.179253
4,38.060890,rmsprop,20,22.062156,15.998734,17.289555,0.862253,0.049316,317.994434,-4.772601
4,38.060890,sgd,20,11.915217,26.145674,6.960484,0.254005,0.015503,315.982422,-4.954733
5,26.216028,adafactor,50,24.072120,2.143908,21.168313,0.595207,0.101196,330.789392,-2.903807
5,26.216028,adamw,20,12.413717,13.802311,7.234464,0.368297,0.181458,320.120448,-5.179253
5,26.216028,rmsprop,20,22.062156,4.153872,17.289555,0.862253,0.049316,317.994434,-4.772601
5,26.216028,sgd,20,11.915217,14.300811,6.960484,0.254005,0.015503,315.982422,-4.954733
6,14.371166,adafactor,80,14.067013,0.304153,14.223771,0.482207,0.122498,336.568585,0.156758
6,14.371166,adamw,20,12.413717,1.957449,7.234464,0.368297,0.181458,320.120448,-5.179253
6,14.371166,rmsprop,30,13.688569,0.682597,10.636626,0.673342,0.097595,317.492864,-3.051943
6,14.371166,sgd,20,11.915217,2.455949,6.960484,0.254005,0.015503,315.982422,-4.954733
7,2.526303,adafactor,570,2.525042,0.001261,2.484912,0.039251,0.301575,754.787340,-0.040130
7,2.526303,adamw,120,2.541034,0.014731,2.526181,0.017631,0.307678,319.827722,-0.014853
7,2.526303,rmsprop,980,2.526303,0.000000,2.549478,0.138081,0.295898,292.359538,0.023175
7,2.526303,sgd,630,2.528032,0.001729,2.529686,0.023121,0.299194,171.029971,0.001654
